module,time_add_fuzzy,time_rem_fuzzy,cost_add,cost_rem
0,"(35, 59, 75)","(36, 66, 76)",50,23
1,"(28, 38, 66)","(11, 33, 45)",28,30
2,"(48, 77, 88)","(46, 57, 68)",41,50
3,"(48, 63, 79)","(10, 37, 57)",41,28
4,"(29, 55, 75)","(26, 45, 58)",44,28
5,"(49, 74, 93)","(20, 41, 62)",45,18
6,"(25, 55, 65)","(29, 57, 73)",31,46
7,"(25, 44, 71)","(16, 44, 64)",50,14
8,"(38, 63, 86)","(39, 55, 75)",34,39
9,"(28, 42, 67)","(21, 45, 55)",26,48
10,"(22, 51, 65)","(36, 51, 66)",28,18
11,"(16, 37, 49)","(41, 58, 72)",48,39
12,"(32, 54, 73)","(26, 50, 65)",31,38
13,"(36, 66, 81)","(40, 63, 90)",45,22
14,"(43, 57, 85)","(28, 53, 82)",19,50
