kind,task,machine_selectable,module_selectable,process_time
0,0,"(2, 6, 7)","(2, 5)","(72, 26)"
0,1,"(0, 3)","(1,)","(72,)"
0,2,"(0, 1, 2, 3)","(0, 2, 3)","(12, 54, 40)"
0,3,"(0, 3, 6, 7)","(1, 5)","(39, 26)"
1,0,"(0, 2, 4, 5, 6, 7)","(4, 5)","(74, 57)"
1,1,"(0, 2, 3, 4, 5)","(1, 3, 4)","(33, 27, 72)"
1,2,"(0, 2, 3, 4, 5)","(1, 4)","(15, 93)"
1,3,"(0, 2)","(2, 3)","(95, 52)"
2,0,"(2,)","(2,)","(57,)"
2,1,"(0,)","(3,)","(61,)"
2,2,"(0, 3)","(1, 3)","(29, 39)"
2,3,"(0, 2, 4, 5, 6, 7)","(4, 5)","(15, 34)"
3,0,"(1, 3, 6, 7)","(0, 5)","(88, 92)"
3,1,"(2,)","(2,)","(23,)"
3,2,"(1, 3)","(0,)","(64,)"
3,3,"(0,)","(3,)","(54,)"
4,0,"(0,)","(3,)","(70,)"
4,1,"(1, 3)","(0,)","(50,)"
4,2,"(0, 1, 3)","(0, 1)","(20, 21)"
4,3,"(2,)","(2,)","(97,)"
5,0,"(0, 2, 3, 4, 5)","(1, 3, 4)","(77, 92, 92)"
5,1,"(0, 3)","(1,)","(73,)"
5,2,"(0, 2, 3)","(1, 2)","(96, 69)"
5,3,"(0,)","(3,)","(89,)"
6,0,"(1, 3, 6, 7)","(0, 5)","(41, 40)"
6,1,"(0, 3)","(1, 3)","(70, 20)"
6,2,"(2, 6, 7)","(2, 5)","(12, 63)"
6,3,"(0, 2)","(2, 3)","(97, 76)"
7,0,"(0, 2, 4, 5)","(3, 4)","(26, 96)"
7,1,"(0, 2)","(2, 3)","(69, 89)"
7,2,"(0, 2, 4, 5, 6, 7)","(2, 4, 5)","(77, 28, 17)"
7,3,"(0,)","(3,)","(38,)"
