method,instance_id,alpha_t,alpha_c,makespan_mean,makespan_std,cost_mean,cost_std,n_seeds,cid,makespan_norm,cost_norm,score,rank
D-DRL,M12_A12_R4_J2,0.0,1.0,667.075,98.29919828279851,737.5,104.17722753482215,20,C22,0.7699415530197611,0.897919502236049,0.897919502236049,6.0
D-DRL,M12_A12_R4_J2,0.25,0.75,630.8666666666667,95.5047012100262,719.15,95.99137845057808,20,C22,0.6362736689318467,0.6769082391843483,0.6667495966212229,6.0
D-DRL,M12_A12_R4_J2,0.5,0.5,663.9916666666667,104.7299154494955,714.5,99.72725964243413,20,C22,0.8797100884541947,0.5840031112263416,0.7318565998402682,8.0
D-DRL,M12_A12_R4_J2,0.75,0.25,637.9916666666667,86.8853427938088,727.25,124.10771001114527,20,C22,0.5798766740010323,0.4931481308846835,0.5581945382219451,6.0
D-DRL,M12_A12_R4_J2,1.0,0.0,826.6,214.38309018372962,1149.9,204.66015476239727,20,C22,1.0,0.6982248520710062,1.0,9.0
D-DRL,M12_A12_R6_J3,0.0,1.0,1020.6166666666668,84.62993228519377,1500.7,275.5641295119599,20,C23,0.4063780068728524,0.7021261516654856,0.7021261516654856,7.0
D-DRL,M12_A12_R6_J3,0.25,0.75,1021.4833333333333,82.40010610053916,1478.95,166.88145020059187,20,C23,0.3910400532933632,0.6415053763440861,0.5788890455814054,6.0
D-DRL,M12_A12_R6_J3,0.5,0.5,1010.2583333333334,69.77567386806591,1456.3,228.0496483340046,20,C23,0.37235427706283153,0.4779395296752519,0.4251469033690417,6.0
D-DRL,M12_A12_R6_J3,0.75,0.25,1052.8416666666667,115.57050802242506,1530.7,191.38088228781672,20,C23,0.5326848719188011,0.6016857962697275,0.5499351030065327,6.0
D-DRL,M12_A12_R6_J3,1.0,0.0,1093.925,95.87762477631856,1896.4,259.5077120849763,20,C23,0.800936017438133,1.0,0.800936017438133,7.0
D-DRL,M12_A12_R8_J4,0.0,1.0,1654.4083333333335,94.42564875750048,1581.75,204.30598182756736,20,C24,0.20526717250792997,1.0,1.0,9.0
D-DRL,M12_A12_R8_J4,0.25,0.75,1679.1833333333336,101.41232061209229,1513.05,225.2050469192348,20,C24,0.395635515575547,0.5318488102758475,0.49779548660077244,6.0
D-DRL,M12_A12_R8_J4,0.5,0.5,1631.7583333333334,104.13570030948732,1379.7,257.5804626458344,20,C24,0.1995995687663639,0.38999885831715964,0.29479921354176175,5.0
D-DRL,M12_A12_R8_J4,0.75,0.25,1665.8916666666669,93.09404279594656,1459.4,188.4740384188091,20,C24,0.538265375328939,0.3358884596813134,0.48767114641703263,6.0
D-DRL,M12_A12_R8_J4,1.0,0.0,1657.55,95.2562272526545,1610.4,308.9665967297061,20,C24,0.7039687067068697,0.7852052101253382,0.7039687067068697,7.0
D-DRL,M12_A15_R4_J2,0.0,1.0,712.9416666666667,65.56549502159578,1012.15,97.6240236826981,20,C25,0.7774884655794623,0.8197051649167459,0.8197051649167459,6.0
D-DRL,M12_A15_R4_J2,0.25,0.75,723.1666666666667,73.85706125399271,1001.75,114.28168108484819,20,C25,0.9949006977992495,0.7708453465574907,0.8268591843679304,6.0
D-DRL,M12_A15_R4_J2,0.5,0.5,752.7083333333333,81.4550404279018,1026.7,103.97929955929743,20,C25,1.0,0.836115713011342,0.918057856505671,8.0
