group,indicator,cid,method,value
rl,IGD,C1,HCMAGRL,0.040695
rl,IGD,C1,DDQN,0.134645
rl,IGD,C1,EDQN,0.134645
rl,IGD,C1,SAC,0.117001
rl,IGD,C1,D-DRL,0.086059
rl,IGD,C2,HCMAGRL,0.060571
rl,IGD,C2,DDQN,0.313225
rl,IGD,C2,EDQN,0.272652
rl,IGD,C2,SAC,0.289041
rl,IGD,C2,D-DRL,0.26378
rl,IGD,C3,HCMAGRL,0.0
rl,IGD,C3,DDQN,0.465744
rl,IGD,C3,EDQN,0.388148
rl,IGD,C3,SAC,0.323625
rl,IGD,C3,D-DRL,0.305424
rl,IGD,C4,HCMAGRL,0.004597
rl,IGD,C4,DDQN,0.364198
rl,IGD,C4,EDQN,0.408483
rl,IGD,C4,SAC,0.146774
rl,IGD,C4,D-DRL,0.126744
rl,IGD,C5,HCMAGRL,0.002938
rl,IGD,C5,DDQN,0.212607
rl,IGD,C5,EDQN,0.200503
rl,IGD,C5,SAC,0.237835
rl,IGD,C5,D-DRL,0.242426
rl,IGD,C6,HCMAGRL,0.02226
rl,IGD,C6,DDQN,0.19456
rl,IGD,C6,EDQN,0.162541
rl,IGD,C6,SAC,0.174397
rl,IGD,C6,D-DRL,0.175049
rl,IGD,C7,HCMAGRL,0.096019
rl,IGD,C7,DDQN,0.208552
rl,IGD,C7,EDQN,0.208552
rl,IGD,C7,SAC,0.295022
rl,IGD,C7,D-DRL,0.305382
rl,IGD,C8,HCMAGRL,0.019483
rl,IGD,C8,DDQN,0.332764
rl,IGD,C8,EDQN,0.332764
rl,IGD,C8,SAC,0.276035
rl,IGD,C8,D-DRL,0.217192
rl,IGD,C9,HCMAGRL,0.030329
rl,IGD,C9,DDQN,0.224387
rl,IGD,C9,EDQN,0.06444
rl,IGD,C9,SAC,0.265387
rl,IGD,C9,D-DRL,0.162735
rl,IGD,C10,HCMAGRL,0.0
rl,IGD,C10,DDQN,0.388363
rl,IGD,C10,EDQN,0.388363
rl,IGD,C10,SAC,0.003866
rl,IGD,C10,D-DRL,0.0
rl,IGD,C11,HCMAGRL,0.034783
rl,IGD,C11,DDQN,0.082609
rl,IGD,C11,EDQN,0.082609
rl,IGD,C11,SAC,0.12058
rl,IGD,C11,D-DRL,0.148439
rl,IGD,C12,HCMAGRL,0.001965
rl,IGD,C12,DDQN,0.460216
rl,IGD,C12,EDQN,0.338724
rl,IGD,C12,SAC,0.231422
rl,IGD,C12,D-DRL,0.156932
rl,IGD,C13,HCMAGRL,0.010988
rl,IGD,C13,DDQN,0.230122
rl,IGD,C13,EDQN,0.230122
rl,IGD,C13,SAC,0.087216
rl,IGD,C13,D-DRL,0.067208
rl,IGD,C14,HCMAGRL,0.179195
rl,IGD,C14,DDQN,0.288591
rl,IGD,C14,EDQN,0.272367
