instance_id,M,A,R,J,op_types,cid,n_jobs,n_operations,n_orders,avg_elig_machines,avg_elig_modules,avg_reconfig_time,avg_fuzzy_spread,avg_reconfig_cost
M4_A3_R4_J2,4,3,4,2,8,C1,30,60,1,3.5,1.5,50.611111111111114,40.666666666666664,30.666666666666668
M4_A3_R6_J3,4,3,6,3,18,C2,44,132,1,2.611111111111111,1.5,45.333333333333336,38.666666666666664,33.333333333333336
M4_A3_R8_J4,4,3,8,4,32,C3,60,240,1,3.34375,1.75,48.833333333333336,38.0,29.333333333333332
M4_A4_R4_J2,4,4,4,2,8,C4,27,54,1,2.375,1.75,45.020833333333336,38.125,28.875
M4_A4_R6_J3,4,4,6,3,18,C5,49,147,1,2.8333333333333335,1.7777777777777777,52.35416666666667,38.875,30.25
M4_A4_R8_J4,4,4,8,4,32,C6,62,248,1,2.375,1.53125,49.395833333333336,43.875,28.375
M4_A5_R4_J2,4,5,4,2,8,C7,27,54,1,2.75,2.125,50.85,38.9,27.7
M4_A5_R6_J3,4,5,6,3,18,C8,43,129,1,2.2222222222222223,1.7777777777777777,53.78333333333334,45.7,22.6
M4_A5_R8_J4,4,5,8,4,32,C9,60,240,1,2.75,1.78125,54.53333333333334,42.6,37.5
M8_A6_R4_J2,8,6,4,2,8,C10,24,48,1,2.625,1.625,49.52777777777778,39.166666666666664,29.0
M8_A6_R6_J3,8,6,6,3,18,C11,52,156,1,3.4444444444444446,1.8888888888888888,47.291666666666664,40.25,30.25
M8_A6_R8_J4,8,6,8,4,32,C12,61,244,1,2.84375,1.75,41.041666666666664,35.75,27.833333333333332
M8_A8_R4_J2,8,8,4,2,8,C13,29,58,1,5.125,2.375,47.3125,38.75,32.625
M8_A8_R6_J3,8,8,6,3,18,C14,52,156,1,4.944444444444445,2.2777777777777777,53.96875,41.9375,32.1875
M8_A8_R8_J4,8,8,8,4,32,C15,69,276,1,4.78125,2.375,55.1875,40.375,31.75
M8_A10_R4_J2,8,10,4,2,8,C16,37,74,1,5.625,3.0,49.24166666666667,38.05,26.5
M8_A10_R6_J3,8,10,6,3,18,C17,42,126,1,3.2777777777777777,2.8333333333333335,53.2,40.9,29.6
M8_A10_R8_J4,8,10,8,4,32,C18,68,272,1,4.34375,2.53125,53.283333333333324,38.3,31.55
M12_A9_R4_J2,12,9,4,2,8,C19,36,72,1,6.875,2.375,49.75925925925926,38.888888888888886,30.444444444444443
M12_A9_R6_J3,12,9,6,3,18,C20,42,126,1,6.833333333333333,2.6666666666666665,48.277777777777786,38.77777777777778,29.88888888888889
M12_A9_R8_J4,12,9,8,4,32,C21,60,240,1,7.09375,2.71875,49.37037037037037,41.666666666666664,30.444444444444443
M12_A12_R4_J2,12,12,4,2,8,C22,32,64,1,5.5,3.0,53.493055555555564,43.791666666666664,29.666666666666668
M12_A12_R6_J3,12,12,6,3,18,C23,41,123,1,5.277777777777778,2.5,51.236111111111114,42.583333333333336,32.166666666666664
M12_A12_R8_J4,12,12,8,4,32,C24,55,220,1,5.9375,2.71875,49.46527777777778,37.625,28.833333333333332
M12_A15_R4_J2,12,15,4,2,8,C25,33,66,1,4.625,2.5,48.43333333333335,40.8,30.1
M12_A15_R6_J3,12,15,6,3,18,C26,47,141,1,4.888888888888889,2.9444444444444446,48.43333333333333,36.733333333333334,26.833333333333332
M12_A15_R8_J4,12,15,8,4,32,C27,56,224,1,4.65625,2.625,52.29444444444445,39.96666666666667,35.06666666666667
