method,instance_id,M,A,R,J,op_types,sec_per_episode,steps_mean
HCMAGRL,M4_A3_R4_J2,4,3,4,2,8,7.820040410400004,67.79
HCMAGRL,M4_A3_R6_J3,4,3,6,3,18,6.98479941260023,138.1605
HCMAGRL,M4_A3_R8_J4,4,3,8,4,32,12.419925029798645,248.997
HCMAGRL,M4_A4_R4_J2,4,4,4,2,8,4.651146725399886,60.496
HCMAGRL,M4_A4_R6_J3,4,4,6,3,18,7.998908776601078,155.9565
HCMAGRL,M4_A4_R8_J4,4,4,8,4,32,13.875210309201618,255.986
HCMAGRL,M4_A5_R4_J2,4,5,4,2,8,4.814636071400717,60.602
HCMAGRL,M4_A5_R6_J3,4,5,6,3,18,7.3756708229905925,137.5375
HCMAGRL,M4_A5_R8_J4,4,5,8,4,32,12.814675457198172,252.4935
HCMAGRL,M8_A6_R4_J2,8,6,4,2,8,4.532854583596345,57.973
HCMAGRL,M8_A6_R6_J3,8,6,6,3,18,8.972202552600008,168.0955
HCMAGRL,M8_A6_R8_J4,8,6,8,4,32,14.095207536799833,253.79
HCMAGRL,M8_A8_R4_J2,8,8,4,2,8,5.566361929596169,72.25966666666666
HCMAGRL,M8_A8_R6_J3,8,8,6,3,18,22.28635756359878,173.81133333333335
HCMAGRL,M8_A8_R8_J4,8,8,8,4,32,21.753292986598797,300.81266666666664
HCMAGRL,M8_A10_R4_J2,8,10,4,2,8,6.433782578598941,89.11966666666666
HCMAGRL,M8_A10_R6_J3,8,10,6,3,18,8.655100016796961,136.23433333333335
HCMAGRL,M8_A10_R8_J4,8,10,8,4,32,21.58215206240048,296.2453333333333
HCMAGRL,M12_A9_R4_J2,12,9,4,2,8,7.8657327112008355,95.189
HCMAGRL,M12_A9_R6_J3,12,9,6,3,18,12.317933740601875,148.558
HCMAGRL,M12_A9_R8_J4,12,9,8,4,32,23.024647786398884,266.5323333333333
HCMAGRL,M12_A12_R4_J2,12,12,4,2,8,7.099331890000612,80.85266666666668
HCMAGRL,M12_A12_R6_J3,12,12,6,3,18,12.012083864599699,146.692
HCMAGRL,M12_A12_R8_J4,12,12,8,4,32,23.148341906800166,248.7733333333333
HCMAGRL,M12_A15_R4_J2,12,15,4,2,8,7.8112503459987925,87.29866666666666
