metric,method_a,method_b,mean_a,mean_b,rel_gap_pct,statistic,p_value,cohens_d,n_pairs,better
score,HCMAGRL,D-DRL,0.13697253743240093,0.7259177855468959,-81.131122537629,16.0,9.58474432746272e-24,-2.2207293278006577,135,lower
score,HCMAGRL,DDQN,0.13697253743240093,0.7994992020797066,-82.86770805072732,53.0,2.1784269564330478e-23,-2.3383099396645175,135,lower
score,HCMAGRL,EDQN,0.13697253743240093,0.733362056848818,-81.32265827591928,83.0,4.2216893148058713e-23,-1.964764367229884,135,lower
score,HCMAGRL,SAC,0.13697253743240093,0.810878012947826,-83.10812042683736,0.0,6.70985254938608e-24,-2.796043055267225,135,lower
score,HCMAGRL,w/o EdgeAttn,0.13697253743240093,0.21743773556070903,-37.00608724645317,3063.0,0.0007973995895458369,-0.3089812786221897,135,lower
score,HCMAGRL,w/o Graph,0.13697253743240093,0.19479568241972123,-29.683997237028212,3277.0,0.003930389011139558,-0.24295520745231888,135,lower
score,HCMAGRL,w/o Heterogeneity,0.13697253743240093,0.23802573479669767,-42.45473601861085,2369.0,1.7312748772646835e-06,-0.4245034117728847,135,lower
score,HCMAGRL,w/o Hierarchy,0.13697253743240093,0.19379106296981818,-29.319476691382,3120.0,0.0012443743921019537,-0.23124782751419265,135,lower
makespan,HCMAGRL,D-DRL,1606.4845679012342,1848.3518518518522,-13.08556505128029,244.0,1.3615302853058666e-21,-1.1699378781080003,135,lower
makespan,HCMAGRL,DDQN,1606.4845679012342,1915.4203703703706,-16.12887736019012,650.0,5.003916177798223e-18,-0.6768781903886689,135,lower
makespan,HCMAGRL,EDQN,1606.4845679012342,1832.108888888889,-12.315006076112002,766.0,4.521588437663684e-17,-0.9034898359798924,135,lower
makespan,HCMAGRL,SAC,1606.4845679012342,1868.5031481481485,-14.02291350199746,211.0,6.748849565407405e-22,-1.217256722718735,135,lower
makespan,HCMAGRL,w/o EdgeAttn,1606.4845679012342,1642.5018518518518,-2.1928306449097557,3590.0,0.028073018836753394,-0.1891865615451114,135,lower
makespan,HCMAGRL,w/o Graph,1606.4845679012342,1621.3033950617282,-0.9140070393752452,3681.0,0.045889921351095694,-0.11780485956542167,135,lower
makespan,HCMAGRL,w/o Heterogeneity,1606.4845679012342,1630.505802469136,-1.4732382142722507,3220.0,0.003820712003048933,-0.18871671701845433,135,lower
makespan,HCMAGRL,w/o Hierarchy,1606.4845679012342,1673.6859259259259,-4.0151713642160285,2030.5,1.894812581948237e-08,-0.43598016692934327,135,lower
cost,HCMAGRL,D-DRL,648.8251851851852,858.4881481481481,-24.422347986425738,476.0,1.6335176325034428e-19,-0.9393144259907453,135,lower
cost,HCMAGRL,DDQN,648.8251851851852,1000.3007407407408,-35.13698843162723,226.0,9.29081906339697e-22,-0.8524256101619637,135,lower
cost,HCMAGRL,EDQN,648.8251851851852,922.6077777777778,-29.67486283846793,318.0,6.4462220318886174e-21,-0.9345196749527535,135,lower
cost,HCMAGRL,SAC,648.8251851851852,940.2,-30.990726953288114,274.0,2.5654099007540975e-21,-1.0310343546461231,135,lower
cost,HCMAGRL,w/o EdgeAttn,648.8251851851852,689.6662962962963,-5.9218655936123685,3468.5,0.02664983325844628,-0.14191935566846356,135,lower
cost,HCMAGRL,w/o Graph,648.8251851851852,651.2218518518519,-0.3680261434488643,4117.0,0.3678349537909331,-0.01620286984907731,135,lower
cost,HCMAGRL,w/o Heterogeneity,648.8251851851852,691.4511111111111,-6.164705680699418,2642.0,2.963894183234572e-05,-0.2629706337460725,135,lower
cost,HCMAGRL,w/o Hierarchy,648.8251851851852,616.9218518518518,5.171373527711371,3543.0,0.054668773675373164,0.21143359635560366,135,lower
