episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,1311.5,4371.0,1.6653079999996407,219.0,-2.7780494351990845,-2.7780494351990845,-2.7780494351990845,1.0
2,1080.6666666666665,3362.0,1.6286463999986154,206.0,-2.1812293760291097,-2.1812293760291097,-2.1812293760291097,1.0
3,1242.9999999999998,3860.0,1.6579166000010446,212.0,-2.5057227693090827,-2.5057227693090827,-2.5057227693090827,1.0
4,1175.5,3695.0,1.8490880999997898,205.0,-2.3897299767074816,-2.3897299767074816,-2.3897299767074816,1.0
5,1230.5,3827.0,1.7985095999993064,208.0,-2.4831425125200077,-2.4831425125200077,-2.4831425125200077,1.0
6,1037.8333333333335,2783.0,1.5766819000000396,187.0,-1.8941693942683637,-1.8941693942683637,-1.8941693942683637,1.0
7,1169.0,3591.0,1.6241417000001093,203.0,-2.3389063349863397,-2.3389063349863397,-2.3389063349863397,1.0
8,996.0,3342.0,1.557916200001273,201.0,-2.119878929360373,-2.119878929360373,-2.119878929360373,1.0
9,1301.0,4238.0,1.6681104999988747,216.0,-2.7117012814224535,-2.7117012814224535,-2.7117012814224535,1.0
10,1455.333333333333,5410.0,1.8312268999998196,237.0,-3.334578593885768,-3.334578593885768,-3.334578593885768,1.0
11,1317.0,4160.0,1.6981842999994115,213.0,-2.686490598771335,-2.686490598771335,-2.686490598771335,1.0
12,1087.0,3215.0,1.5545472999983758,199.0,-2.118988671332097,-2.118988671332097,-2.118988671332097,1.0
13,1279.0,4080.0,1.7402798999992228,214.0,-2.6269915326239968,-2.6269915326239968,-2.6269915326239968,1.0
14,1143.1666666666665,3331.0,1.5699962999988202,200.0,-2.205921839092401,-2.205921839092401,-2.205921839092401,1.0
15,1169.5,3582.0,1.6243773999995028,208.0,-2.3351650808114615,-2.3351650808114615,-2.3351650808114615,1.0
16,1146.8333333333335,3091.0,1.537318000000596,198.0,-2.1001781443601906,-2.1001781443601906,-2.1001781443601906,1.0
17,1152.0,3153.0,1.5545158999993873,199.0,-2.1312754935839826,-2.1312754935839826,-2.1312754935839826,1.0
18,1066.0,2807.0,1.5013188000011723,193.0,-1.9223859731397703,-1.9223859731397703,-1.9223859731397703,1.0
19,1085.1666666666665,2915.0,1.490814999999202,192.0,-1.9828416168080119,-1.9828416168080119,-1.9828416168080119,1.0
20,1078.8333333333335,3045.0,1.5506630999989284,197.0,-2.0374315564285204,-2.0374315564285204,-2.0374315564285204,1.0
21,1267.0,4314.0,1.6762601999998878,218.0,-2.724882442902164,-2.724882442902164,-2.724882442902164,1.0
22,1076.5,3040.0,1.6152228999999352,199.0,-2.033738627366447,-2.033738627366447,-2.033738627366447,1.0
23,1091.0,2775.0,1.489491199999975,193.0,-1.9234420762768778,-1.9234420762768778,-1.9234420762768778,1.0
24,1142.5,3028.0,1.534764300000461,193.0,-2.069146001574601,-2.069146001574601,-2.069146001574601,1.0
25,1090.5,3348.0,1.628768399999899,205.0,-2.1810087129900126,-2.1810087129900126,-2.1810087129900126,1.0
26,1137.0,3315.0,1.552573900000425,200.0,-2.1949082583443817,-2.1949082583443817,-2.1949082583443817,1.0
27,1065.8333333333335,3183.0,1.549054699999033,200.0,-2.0914998445434,-2.0914998445434,-2.0914998445434,1.0
28,1138.5,3662.0,1.6099033999998937,204.0,-2.352001327502906,-2.352001327502906,-2.352001327502906,1.0
29,1193.5,3512.0,1.60335060000034,206.0,-2.3185011720463047,-2.3185011720463047,-2.3185011720463047,1.0
30,1207.8333333333333,3509.0,1.610598499999469,205.0,-2.326013361847313,-2.326013361847313,-2.326013361847313,1.0
31,1136.0,3504.0,1.5950054000004457,206.0,-2.279348462463725,-2.279348462463725,-2.279348462463725,1.0
32,1074.5,3237.0,1.591888300001301,203.0,-2.121160889790547,-2.121160889790547,-2.121160889790547,1.0
33,1021.5,2546.0,1.46366769999986,189.0,-1.777409799924758,-1.777409799924758,-1.777409799924758,1.0
34,1208.1666666666667,3479.0,1.6147590999989916,205.0,-2.3127181122893825,-2.3127181122893825,-2.3127181122893825,1.0
35,1034.5,2537.0,1.46935780000058,190.0,-1.7813973173904376,-1.7813973173904376,-1.7813973173904376,1.0
36,1099.5,3359.0,1.5851075999999011,204.0,-2.1915239236207227,-2.1915239236207227,-2.1915239236207227,1.0
37,1067.6666666666667,3294.0,1.5987325000005512,203.0,-2.1425883932168976,-2.1425883932168976,-2.1425883932168976,1.0
38,1102.0,2955.0,1.5306058000005578,195.0,-2.011251496130651,-2.011251496130651,-2.011251496130651,1.0
39,1124.0,3413.0,1.593113099999755,203.0,-2.2309747462792444,-2.2309747462792444,-2.2309747462792444,1.0
40,962.6666666666667,2434.0,1.475568400001066,185.0,-1.690628007565802,-1.690628007565802,-1.690628007565802,1.0
41,1191.5,3413.0,1.590492199999062,200.0,-2.2727101131382703,-2.2727101131382703,-2.2727101131382703,1.0
42,1016.0000000000001,2782.0,1.5314731000016764,193.0,-1.8802197614650178,-1.8802197614650178,-1.8802197614650178,1.0
43,1079.5,3136.0,1.5507783999983076,199.0,-2.0787978529922233,-2.0787978529922233,-2.0787978529922233,1.0
44,1000.3333333333334,2661.0,1.5163007999999536,190.0,-1.8160775887976275,-1.8160775887976275,-1.8160775887976275,1.0
45,1078.5,2640.0,1.4861882000004698,187.0,-1.8549572290287573,-1.8549572290287573,-1.8549572290287573,1.0
46,1045.5,2664.0,1.4632688000001508,190.0,-1.8453543520056868,-1.8453543520056868,-1.8453543520056868,1.0
47,1053.8333333333335,3054.0,1.626188500000353,197.0,-2.026024418187903,-2.026024418187903,-2.026024418187903,1.0
48,1049.5,2814.0,1.4962562000000617,194.0,-1.9153343096057338,-1.9153343096057338,-1.9153343096057338,1.0
49,1226.5,4015.0,1.6634587999997166,212.0,-2.565277766441114,-2.565277766441114,-2.565277766441114,1.0
50,1118.5,2749.0,1.491707300001508,188.0,-1.9287442037690992,-1.9287442037690992,-1.9287442037690992,1.0
51,978.5,2707.0,1.535549500000343,190.0,-1.823280071205802,-1.823280071205802,-1.823280071205802,1.0
52,1055.5,2785.0,1.524755099999311,193.0,-1.9059928148626892,-1.9059928148626892,-1.9059928148626892,1.0
53,1153.3333333333333,3082.0,1.5667631000014808,195.0,-2.1001467005727763,-2.1001467005727763,-2.1001467005727763,1.0
54,1032.5,2946.0,1.5318986000002042,194.0,-1.9642291207686315,-1.9642291207686315,-1.9642291207686315,1.0
55,1067.5,2644.0,1.5643817000000126,191.0,-1.8499560900030652,-1.8499560900030652,-1.8499560900030652,1.0
56,1030.6666666666665,2864.0,1.5624344000007113,192.0,-1.9261918772256457,-1.9261918772256457,-1.9261918772256457,1.0
57,1002.0,2923.0,1.550697599999694,192.0,-1.935019882862153,-1.935019882862153,-1.935019882862153,1.0
58,1032.1666666666667,2767.0,1.5135226000002149,191.0,-1.883464964385968,-1.883464964385968,-1.883464964385968,1.0
59,1057.8333333333333,2853.0,1.530474699999104,193.0,-1.9380385792082933,-1.9380385792082933,-1.9380385792082933,1.0
60,1005.0,3058.0,1.5612784000004467,197.0,-1.9976308636634474,-1.9976308636634474,-1.9976308636634474,1.0
61,1151.5,3354.0,1.627191399998992,204.0,-2.22142538862295,-2.22142538862295,-2.22142538862295,1.0
62,1044.5,2531.0,1.533298799999102,191.0,-1.7848800646758822,-1.7848800646758822,-1.7848800646758822,1.0
63,895.1666666666666,2195.0,1.4703298000003997,184.0,-1.5413318846311674,-1.5413318846311674,-1.5413318846311674,1.0
64,1035.5,2596.0,1.5488970999995217,191.0,-1.8085682743872076,-1.8085682743872076,-1.8085682743872076,1.0
65,1065.5,2940.0,1.4970064999997703,192.0,-1.9819328078727083,-1.9819328078727083,-1.9819328078727083,1.0
66,1163.5,2564.0,1.4992814999986877,187.0,-1.8733094558425354,-1.8733094558425354,-1.8733094558425354,1.0
67,1094.0,2897.0,1.504813000001377,191.0,-1.9802024720196678,-1.9802024720196678,-1.9802024720196678,1.0
68,1126.8333333333335,2874.0,1.562169199998607,197.0,-1.9901523437586968,-1.9901523437586968,-1.9901523437586968,1.0
69,1029.6666666666665,2769.0,1.504568599999402,190.0,-1.8828193000668583,-1.8828193000668583,-1.8828193000668583,1.0
70,1021.3333333333334,2980.0,1.5703229999999166,195.0,-1.9726262815894133,-1.9726262815894133,-1.9726262815894133,1.0
71,1031.5,2490.0,1.4854894999989483,186.0,-1.7583902969851801,-1.7583902969851801,-1.7583902969851801,1.0
72,1034.3333333333335,2579.0,1.4938406000001123,190.0,-1.8001961572909149,-1.8001961572909149,-1.8001961572909149,1.0
73,1131.5,2709.0,1.4989198000002943,189.0,-1.918780326095264,-1.918780326095264,-1.918780326095264,1.0
74,1084.5,2719.0,1.5398752000000968,189.0,-1.8942205947717607,-1.8942205947717607,-1.8942205947717607,1.0
75,1114.3333333333335,2635.0,1.5371195000006992,190.0,-1.874862816042527,-1.874862816042527,-1.874862816042527,1.0
76,973.0,2711.0,1.5535675999999512,193.0,-1.8216795917019577,-1.8216795917019577,-1.8216795917019577,1.0
77,988.3333333333333,2158.0,1.4318940000011935,183.0,-1.582285330758963,-1.582285330758963,-1.582285330758963,1.0
78,922.6666666666667,1748.0,1.4077419999994163,178.0,-1.3571650652286995,-1.3571650652286995,-1.3571650652286995,1.0
79,941.3333333333334,2557.0,1.5515482000009797,190.0,-1.7327931061861346,-1.7327931061861346,-1.7327931061861346,1.0
80,1057.5,2877.0,1.5634477000003244,195.0,-1.94863355873922,-1.94863355873922,-1.94863355873922,1.0
81,1066.8333333333333,3237.0,1.568933599999582,200.0,-2.1164205765176676,-2.1164205765176676,-2.1164205765176676,1.0
82,1022.5000000000001,2527.0,1.475154300000213,185.0,-1.7694772465704947,-1.7694772465704947,-1.7694772465704947,1.0
83,975.3333333333334,2444.0,1.4990464000002248,186.0,-1.7029602795399068,-1.7029602795399068,-1.7029602795399068,1.0
