global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,3720.833333333333,881.0,250,True,-1.4893444644618887,-1.4893444644618887,-1.4893444644618887
2,0,4009.5,1141.0,251,True,-1.7309757431476,-1.7309757431476,-1.7309757431476
3,0,3559.3333333333335,651.0,251,True,-1.2985421224209668,-1.2985421224209668,-1.2985421224209668
4,0,3538.6666666666665,1082.0,252,True,-1.577041779264788,-1.577041779264788,-1.577041779264788
5,0,3677.666666666667,1060.0,251,True,-1.5965534251276117,-1.5965534251276117,-1.5965534251276117
6,0,3342.3333333333335,625.0,248,True,-1.2283806245442455,-1.2283806245442455,-1.2283806245442455
7,0,4268.833333333334,1299.0,252,True,-1.898329794535237,-1.898329794535237,-1.898329794535237
8,0,3448.3333333333335,601.0,248,True,-1.2385080212756832,-1.2385080212756832,-1.2385080212756832
9,0,3953.666666666667,1005.0,251,True,-1.6278508771929814,-1.6278508771929814,-1.6278508771929814
10,0,3407.5,805.0,251,True,-1.3627348475099728,-1.3627348475099728,-1.3627348475099728
11,0,3528.5,939.0,255,True,-1.480477094325054,-1.480477094325054,-1.480477094325054
12,0,3608.333333333333,660.0,250,True,-1.3164436151503442,-1.3164436151503442,-1.3164436151503442
13,0,3844.3333333333335,974.0,250,True,-1.5807242740102077,-1.5807242740102077,-1.5807242740102077
14,0,3527.666666666666,944.0,253,True,-1.4835628190280108,-1.4835628190280108,-1.4835628190280108
15,0,3394.3333333333335,720.0,248,True,-1.3035945609745634,-1.3035945609745634,-1.3035945609745634
16,0,3923.5000000000005,920.0,249,True,-1.5645541114399675,-1.5645541114399675,-1.5645541114399675
17,0,4066.5,1301.0,255,True,-1.8501753313601852,-1.8501753313601852,-1.8501753313601852
18,0,3399.166666666667,495.0,249,True,-1.15674998927637,-1.15674998927637,-1.15674998927637
19,0,3457.6666666666665,844.0,252,True,-1.4006584309183707,-1.4006584309183707,-1.4006584309183707
20,0,3363.5,614.0,247,True,-1.2263190065628624,-1.2263190065628624,-1.2263190065628624
21,0,3436.1666666666665,666.0,250,True,-1.2782964440440956,-1.2782964440440956,-1.2782964440440956
22,0,3650.6666666666665,1041.0,251,True,-1.5774519581349462,-1.5774519581349462,-1.5774519581349462
23,0,3426.3333333333335,994.0,253,True,-1.4916816797494967,-1.4916816797494967,-1.4916816797494967
24,0,3801.0,707.0,252,True,-1.3944714322481009,-1.3944714322481009,-1.3944714322481009
25,0,3913.166666666667,846.0,252,True,-1.5133434135460893,-1.5133434135460893,-1.5133434135460893
26,0,3558.0,894.0,252,True,-1.4580845451035893,-1.4580845451035893,-1.4580845451035893
27,0,3529.5,898.0,251,True,-1.4537479088920344,-1.4537479088920344,-1.4537479088920344
28,0,3850.1666666666665,1264.0,254,True,-1.7729399905632062,-1.7729399905632062,-1.7729399905632062
29,0,3574.3333333333335,961.0,254,True,-1.5061569725046113,-1.5061569725046113,-1.5061569725046113
30,0,3555.0,822.0,248,True,-1.4099826277184395,-1.4099826277184395,-1.4099826277184395
31,0,3586.0,601.0,249,True,-1.2721673529790243,-1.2721673529790243,-1.2721673529790243
32,0,3319.6666666666665,662.0,251,True,-1.247180757517265,-1.247180757517265,-1.247180757517265
33,0,3550.0,835.0,250,True,-1.4173127654098572,-1.4173127654098572,-1.4173127654098572
34,0,3427.3333333333335,766.0,250,True,-1.3419261785270018,-1.3419261785270018,-1.3419261785270018
35,0,3827.8333333333335,972.0,253,True,-1.5753742547076732,-1.5753742547076732,-1.5753742547076732
36,0,3566.8333333333335,666.0,251,True,-1.3102442843048938,-1.3102442843048938,-1.3102442843048938
37,0,3499.0,844.0,252,True,-1.4107643803886254,-1.4107643803886254,-1.4107643803886254
38,0,3737.5,1283.0,256,True,-1.757893128297517,-1.757893128297517,-1.757893128297517
39,0,4269.0,1646.0,256,True,-2.126660018015699,-2.126660018015699,-2.126660018015699
40,0,3575.1666666666665,1019.0,253,True,-1.5445186162227078,-1.5445186162227078,-1.5445186162227078
41,0,3566.6666666666665,1256.0,251,True,-1.6983614292454847,-1.6983614292454847,-1.6983614292454847
42,0,3772.3333333333335,1401.0,253,True,-1.8440414146613475,-1.8440414146613475,-1.8440414146613475
43,0,4060.666666666667,1115.0,253,True,-1.7263806674387687,-1.7263806674387687,-1.7263806674387687
44,0,3437.333333333333,874.0,253,True,-1.4154237978810091,-1.4154237978810091,-1.4154237978810091
45,0,3403.3333333333335,885.0,251,True,-1.414347681551066,-1.414347681551066,-1.414347681551066
46,0,3422.9999999999995,1039.0,252,True,-1.5204719469823695,-1.5204719469823695,-1.5204719469823695
47,0,3739.666666666667,909.0,249,True,-1.5123702440698323,-1.5123702440698323,-1.5123702440698323
48,0,3529.6666666666665,861.0,251,True,-1.429446553425128,-1.429446553425128,-1.429446553425128
49,0,3404.1666666666665,928.0,250,True,-1.4428409042165318,-1.4428409042165318,-1.4428409042165318
50,0,3254.8333333333335,776.0,250,True,-1.3063290867756197,-1.3063290867756197,-1.3063290867756197
51,0,3635.6666666666665,974.0,253,True,-1.5297055291039339,-1.5297055291039339,-1.5297055291039339
52,0,3704.5,1039.0,253,True,-1.5892983528503395,-1.5892983528503395,-1.5892983528503395
53,0,3428.166666666667,586.0,249,True,-1.223708874876679,-1.223708874876679,-1.223708874876679
54,0,4179.166666666667,1698.0,258,True,-2.1389064041521877,-2.1389064041521877,-2.1389064041521877
55,0,3744.0,1030.0,252,True,-1.5930350019302535,-1.5930350019302535,-1.5930350019302535
56,0,3891.166666666667,1089.0,254,True,-1.6678328614935864,-1.6678328614935864,-1.6678328614935864
57,0,3320.1666666666665,755.0,251,True,-1.3084872174323334,-1.3084872174323334,-1.3084872174323334
58,0,3351.0,929.0,251,True,-1.4304996139492998,-1.4304996139492998,-1.4304996139492998
59,0,3717.1666666666665,1030.0,254,True,-1.5864742847338402,-1.5864742847338402,-1.5864742847338402
60,0,3583.5,878.0,249,True,-1.4537929481405212,-1.4537929481405212,-1.4537929481405212
61,0,3722.666666666667,1004.0,252,True,-1.5707137648522282,-1.5707137648522282,-1.5707137648522282
62,0,3345.3333333333335,566.0,249,True,-1.1902983314030797,-1.1902983314030797,-1.1902983314030797
63,0,3591.166666666667,1003.0,253,True,-1.5379042808733328,-1.5379042808733328,-1.5379042808733328
64,0,3840.666666666667,820.0,248,True,-1.4785119890190015,-1.4785119890190015,-1.4785119890190015
65,0,3297.3333333333335,571.0,249,True,-1.1818518637669975,-1.1818518637669975,-1.1818518637669975
66,0,3532.0,819.0,251,True,-1.4023854716252722,-1.4023854716252722,-1.4023854716252722
67,0,3968.3333333333335,844.0,250,True,-1.5255158066314933,-1.5255158066314933,-1.5255158066314933
68,0,3535.8333333333335,1095.0,255,True,-1.5849016643074676,-1.5849016643074676,-1.5849016643074676
69,0,3436.6666666666665,675.0,250,True,-1.2843397460644272,-1.2843397460644272,-1.2843397460644272
70,0,3361.8333333333335,586.0,250,True,-1.207490455968773,-1.207490455968773,-1.207490455968773
71,0,3523.333333333333,829.0,253,True,-1.406845429588641,-1.406845429588641,-1.406845429588641
72,0,3878.5,1199.0,252,True,-1.7371042980311413,-1.7371042980311413,-1.7371042980311413
73,0,3334.3333333333335,608.0,247,True,-1.2152404237978816,-1.2152404237978816,-1.2152404237978816
74,0,3650.0,854.0,248,True,-1.4542626431604686,-1.4542626431604686,-1.4542626431604686
75,0,3903.666666666667,909.0,251,True,-1.5524680435808347,-1.5524680435808347,-1.5524680435808347
76,0,3577.166666666667,699.0,250,True,-1.334481297988247,-1.334481297988247,-1.334481297988247
77,0,3621.666666666667,885.0,251,True,-1.4677299146398994,-1.4677299146398994,-1.4677299146398994
78,0,4019.666666666667,755.0,249,True,-1.4795141122978583,-1.4795141122978583,-1.4795141122978583
79,0,3340.3333333333335,679.0,247,True,-1.2634179427787067,-1.2634179427787067,-1.2634179427787067
80,0,3778.666666666667,844.0,251,True,-1.4791425384978334,-1.4791425384978334,-1.4791425384978334
81,0,3568.0,740.0,249,True,-1.3592137434049665,-1.3592137434049665,-1.3592137434049665
82,0,3503.0,854.0,248,True,-1.4183213228670692,-1.4183213228670692,-1.4183213228670692
83,0,3356.3333333333335,566.0,249,True,-1.1929878179556466,-1.1929878179556466,-1.1929878179556466
84,0,3471.166666666667,807.0,253,True,-1.379617059151546,-1.379617059151546,-1.379617059151546
85,0,3798.333333333333,924.0,252,True,-1.5365825934028225,-1.5365825934028225,-1.5365825934028225
86,0,3742.666666666667,850.0,249,True,-1.474287950928665,-1.474287950928665,-1.474287950928665
87,0,3349.5,620.0,250,True,-1.2268433920988282,-1.2268433920988282,-1.2268433920988282
88,0,3688.0,731.0,250,True,-1.3826325440741214,-1.3826325440741214,-1.3826325440741214
89,0,3551.8333333333335,1173.0,254,True,-1.6401294342212505,-1.6401294342212505,-1.6401294342212505
90,0,4045.6666666666665,1206.0,254,True,-1.7825816068288076,-1.7825816068288076,-1.7825816068288076
91,0,3662.5,770.0,250,True,-1.4020557199845578,-1.4020557199845578,-1.4020557199845578
92,0,3781.1666666666665,783.0,249,True,-1.4396222064942306,-1.4396222064942306,-1.4396222064942306
93,0,4010.0,939.0,251,True,-1.5982032556942483,-1.5982032556942483,-1.5982032556942483
94,0,3537.6666666666665,881.0,253,True,-1.4445604383820192,-1.4445604383820192,-1.4445604383820192
95,0,3421.8333333333335,694.0,249,True,-1.2932130141980864,-1.2932130141980864,-1.2932130141980864
96,0,3881.666666666667,1050.0,251,True,-1.6398522283704358,-1.6398522283704358,-1.6398522283704358
97,0,3780.833333333333,1228.0,255,True,-1.732303864796466,-1.732303864796466,-1.732303864796466
98,0,3665.0,699.0,250,True,-1.3559564406125328,-1.3559564406125328,-1.3559564406125328
99,0,3398.3333333333335,944.0,252,True,-1.45194097713722,-1.45194097713722,-1.45194097713722
100,0,3774.1666666666665,1258.0,254,True,-1.7504107150516885,-1.7504107150516885,-1.7504107150516885
101,0,3194.8333333333335,559.0,248,True,-1.1488960022305155,-1.1488960022305155,-1.1488960022305155
102,0,3841.8333333333335,1236.0,257,True,-1.7524814481190747,-1.7524814481190747,-1.7524814481190747
103,0,3504.3333333333335,766.0,251,True,-1.3607525843949728,-1.3607525843949728,-1.3607525843949728
104,0,3484.8333333333335,854.0,251,True,-1.413879595075709,-1.413879595075709,-1.413879595075709
105,0,3612.333333333333,855.0,252,True,-1.445711083944581,-1.445711083944581,-1.445711083944581
106,0,3744.833333333333,1106.0,252,True,-1.6432387509115074,-1.6432387509115074,-1.6432387509115074
107,0,3318.8333333333335,905.0,253,True,-1.4068454295886414,-1.4068454295886414,-1.4068454295886414
108,0,3785.666666666667,820.0,251,True,-1.4650645562561653,-1.4650645562561653,-1.4650645562561653
109,0,3385.8333333333335,675.0,251,True,-1.2719110582078668,-1.2719110582078668,-1.2719110582078668
110,0,3898.6666666666665,1065.0,252,True,-1.6538771286406726,-1.6538771286406726,-1.6538771286406726
111,0,3659.8333333333335,1011.0,253,True,-1.5599563548234872,-1.5599563548234872,-1.5599563548234872
