global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,4382.666666666667,726.0,258,True,-726.0,-726.0,-726.0
2,0,4348.5,447.0,255,True,-447.0,-447.0,-447.0
3,0,4495.833333333334,923.0,261,True,-923.0,-923.0,-923.0
4,0,4215.166666666666,496.0,255,True,-496.0,-496.0,-496.0
5,0,4379.833333333334,582.0,257,True,-582.0,-582.0,-582.0
6,0,4183.666666666667,434.0,256,True,-434.0,-434.0,-434.0
7,0,5096.333333333334,1064.0,258,True,-1064.0,-1064.0,-1064.0
8,0,4299.333333333334,680.0,258,True,-680.0,-680.0,-680.0
9,0,4436.666666666666,653.0,256,True,-653.0,-653.0,-653.0
10,0,4289.0,543.0,256,True,-543.0,-543.0,-543.0
11,0,4286.833333333333,817.0,259,True,-817.0,-817.0,-817.0
12,0,4368.0,813.0,259,True,-813.0,-813.0,-813.0
13,0,4594.333333333334,566.0,254,True,-566.0,-566.0,-566.0
14,0,5016.833333333334,785.0,256,True,-785.0,-785.0,-785.0
15,0,4263.333333333333,549.0,257,True,-549.0,-549.0,-549.0
16,0,4139.666666666667,530.0,254,True,-530.0,-530.0,-530.0
17,0,4413.0,670.0,256,True,-670.0,-670.0,-670.0
18,0,4268.0,464.0,258,True,-464.0,-464.0,-464.0
19,0,4420.166666666668,625.0,256,True,-625.0,-625.0,-625.0
20,0,4263.666666666666,622.0,256,True,-622.0,-622.0,-622.0
21,0,4171.0,595.0,256,True,-595.0,-595.0,-595.0
22,0,4213.5,589.0,258,True,-589.0,-589.0,-589.0
23,0,4508.666666666667,950.0,260,True,-950.0,-950.0,-950.0
24,0,4452.333333333334,599.0,258,True,-599.0,-599.0,-599.0
25,0,4929.833333333334,750.0,259,True,-750.0,-750.0,-750.0
26,0,4354.333333333334,599.0,257,True,-599.0,-599.0,-599.0
27,0,4361.5,506.0,256,True,-506.0,-506.0,-506.0
28,0,4268.833333333334,778.0,258,True,-778.0,-778.0,-778.0
29,0,4851.833333333334,1040.0,259,True,-1040.0,-1040.0,-1040.0
30,0,4401.166666666666,630.0,257,True,-630.0,-630.0,-630.0
31,0,4586.833333333334,818.0,258,True,-818.0,-818.0,-818.0
32,0,4318.833333333334,637.0,256,True,-637.0,-637.0,-637.0
33,0,4239.833333333334,795.0,258,True,-795.0,-795.0,-795.0
34,0,4756.833333333334,831.0,258,True,-831.0,-831.0,-831.0
35,0,4193.333333333334,575.0,256,True,-575.0,-575.0,-575.0
36,0,4391.0,549.0,257,True,-549.0,-549.0,-549.0
37,0,4249.666666666666,514.0,257,True,-514.0,-514.0,-514.0
38,0,5265.833333333334,1075.0,260,True,-1075.0,-1075.0,-1075.0
39,0,4123.833333333334,551.0,257,True,-551.0,-551.0,-551.0
40,0,4514.833333333334,759.0,257,True,-759.0,-759.0,-759.0
41,0,4245.666666666667,749.0,257,True,-749.0,-749.0,-749.0
42,0,4405.333333333333,641.0,259,True,-641.0,-641.0,-641.0
43,0,4119.166666666667,405.0,256,True,-405.0,-405.0,-405.0
44,0,4198.333333333334,621.0,258,True,-621.0,-621.0,-621.0
45,0,4266.833333333333,595.0,255,True,-595.0,-595.0,-595.0
46,0,4998.833333333334,1187.0,259,True,-1187.0,-1187.0,-1187.0
47,0,4333.166666666667,631.0,258,True,-631.0,-631.0,-631.0
48,0,4311.166666666667,694.0,256,True,-694.0,-694.0,-694.0
49,0,4277.333333333334,480.0,257,True,-480.0,-480.0,-480.0
50,0,4298.166666666667,464.0,258,True,-464.0,-464.0,-464.0
51,0,4221.833333333334,680.0,258,True,-680.0,-680.0,-680.0
52,0,4882.833333333334,673.0,257,True,-673.0,-673.0,-673.0
53,0,4839.833333333334,856.0,258,True,-856.0,-856.0,-856.0
54,0,4737.833333333334,829.0,259,True,-829.0,-829.0,-829.0
55,0,4346.0,737.0,260,True,-737.0,-737.0,-737.0
56,0,4848.833333333334,1021.0,261,True,-1021.0,-1021.0,-1021.0
57,0,5086.833333333334,1075.0,258,True,-1075.0,-1075.0,-1075.0
58,0,4968.333333333334,1128.0,264,True,-1128.0,-1128.0,-1128.0
59,0,4191.166666666667,510.0,256,True,-510.0,-510.0,-510.0
60,0,4548.833333333334,750.0,260,True,-750.0,-750.0,-750.0
61,0,4055.6666666666665,362.0,254,True,-362.0,-362.0,-362.0
62,0,4569.666666666666,807.0,260,True,-807.0,-807.0,-807.0
63,0,5074.333333333334,1082.0,261,True,-1082.0,-1082.0,-1082.0
64,0,4900.833333333334,788.0,257,True,-788.0,-788.0,-788.0
65,0,4138.333333333334,536.0,257,True,-536.0,-536.0,-536.0
66,0,4357.333333333334,552.0,257,True,-552.0,-552.0,-552.0
67,0,4547.333333333334,829.0,258,True,-829.0,-829.0,-829.0
68,0,4495.833333333334,884.0,259,True,-884.0,-884.0,-884.0
69,0,4462.833333333334,596.0,258,True,-596.0,-596.0,-596.0
70,0,4271.5,589.0,259,True,-589.0,-589.0,-589.0
71,0,4163.333333333334,481.0,255,True,-481.0,-481.0,-481.0
72,0,4208.5,467.0,254,True,-467.0,-467.0,-467.0
73,0,4149.0,510.0,259,True,-510.0,-510.0,-510.0
74,0,4946.833333333334,739.0,255,True,-739.0,-739.0,-739.0
75,0,5120.333333333334,926.0,259,True,-926.0,-926.0,-926.0
76,0,4330.833333333334,619.0,257,True,-619.0,-619.0,-619.0
77,0,4881.833333333334,653.0,258,True,-653.0,-653.0,-653.0
78,0,4190.5,553.0,257,True,-553.0,-553.0,-553.0
79,0,5030.833333333334,875.0,258,True,-875.0,-875.0,-875.0
80,0,4350.666666666667,737.0,257,True,-737.0,-737.0,-737.0
81,0,4686.666666666666,762.0,258,True,-762.0,-762.0,-762.0
82,0,4138.166666666666,587.0,257,True,-587.0,-587.0,-587.0
83,0,4149.0,460.0,256,True,-460.0,-460.0,-460.0
84,0,5382.833333333334,883.0,258,True,-883.0,-883.0,-883.0
85,0,4132.166666666667,362.0,255,True,-362.0,-362.0,-362.0
86,0,4485.666666666667,753.0,260,True,-753.0,-753.0,-753.0
87,0,4701.833333333334,653.0,256,True,-653.0,-653.0,-653.0
88,0,4353.666666666668,742.0,257,True,-742.0,-742.0,-742.0
89,0,5351.833333333334,897.0,258,True,-897.0,-897.0,-897.0
90,0,4060.166666666667,464.0,256,True,-464.0,-464.0,-464.0
91,0,4882.333333333334,874.0,259,True,-874.0,-874.0,-874.0
92,0,4445.833333333334,726.0,258,True,-726.0,-726.0,-726.0
93,0,4108.666666666666,490.0,257,True,-490.0,-490.0,-490.0
94,0,4256.5,611.0,257,True,-611.0,-611.0,-611.0
95,0,4073.166666666667,536.0,258,True,-536.0,-536.0,-536.0
96,0,4541.333333333333,700.0,259,True,-700.0,-700.0,-700.0
97,0,4844.833333333334,568.0,258,True,-568.0,-568.0,-568.0
98,0,4298.833333333333,634.0,257,True,-634.0,-634.0,-634.0
99,0,4276.833333333334,560.0,258,True,-560.0,-560.0,-560.0
100,0,4215.333333333334,578.0,255,True,-578.0,-578.0,-578.0
101,0,4781.833333333334,534.0,256,True,-534.0,-534.0,-534.0
102,0,4332.5,711.0,259,True,-711.0,-711.0,-711.0
103,0,4808.833333333334,691.0,257,True,-691.0,-691.0,-691.0
104,0,5102.333333333334,741.0,258,True,-741.0,-741.0,-741.0
105,0,4745.333333333334,906.0,259,True,-906.0,-906.0,-906.0
106,0,4263.5,655.0,257,True,-655.0,-655.0,-655.0
107,0,4195.5,467.0,258,True,-467.0,-467.0,-467.0
108,0,4465.833333333334,619.0,256,True,-619.0,-619.0,-619.0
109,0,4048.6666666666665,597.0,259,True,-597.0,-597.0,-597.0
110,0,5010.833333333334,724.0,257,True,-724.0,-724.0,-724.0
111,0,4062.1666666666674,635.0,256,True,-635.0,-635.0,-635.0
112,0,4237.333333333333,510.0,258,True,-510.0,-510.0,-510.0
113,0,5014.333333333334,551.0,254,True,-551.0,-551.0,-551.0
114,0,4293.833333333334,680.0,258,True,-680.0,-680.0,-680.0
115,0,4182.166666666666,615.0,256,True,-615.0,-615.0,-615.0
116,0,4175.666666666666,578.0,255,True,-578.0,-578.0,-578.0
117,0,5075.333333333334,821.0,258,True,-821.0,-821.0,-821.0
118,0,4117.833333333334,465.0,257,True,-465.0,-465.0,-465.0
119,0,4915.833333333334,750.0,258,True,-750.0,-750.0,-750.0
120,0,4542.333333333334,682.0,259,True,-682.0,-682.0,-682.0
121,0,4103.0,493.0,255,True,-493.0,-493.0,-493.0
122,0,4850.333333333334,670.0,256,True,-670.0,-670.0,-670.0
123,0,4964.333333333334,656.0,260,True,-656.0,-656.0,-656.0
124,0,4457.166666666667,595.0,258,True,-595.0,-595.0,-595.0
125,0,4265.166666666666,543.0,256,True,-543.0,-543.0,-543.0
126,0,4122.666666666666,405.0,256,True,-405.0,-405.0,-405.0
127,0,4254.666666666667,683.0,258,True,-683.0,-683.0,-683.0
128,0,4181.333333333334,621.0,258,True,-621.0,-621.0,-621.0
129,0,4196.666666666666,772.0,257,True,-772.0,-772.0,-772.0
130,0,4384.166666666666,859.0,259,True,-859.0,-859.0,-859.0
131,0,4879.833333333334,948.0,263,True,-948.0,-948.0,-948.0
132,0,4331.333333333334,641.0,258,True,-641.0,-641.0,-641.0
133,0,4165.333333333333,510.0,258,True,-510.0,-510.0,-510.0
134,0,4642.833333333334,619.0,257,True,-619.0,-619.0,-619.0
135,0,4879.833333333334,534.0,257,True,-534.0,-534.0,-534.0
136,0,4268.5,831.0,260,True,-831.0,-831.0,-831.0
137,0,5384.833333333334,1145.0,261,True,-1145.0,-1145.0,-1145.0
138,0,4597.833333333334,796.0,260,True,-796.0,-796.0,-796.0
139,0,4884.833333333334,514.0,256,True,-514.0,-514.0,-514.0
140,0,4200.166666666666,421.0,256,True,-421.0,-421.0,-421.0
141,0,4407.833333333334,665.0,260,True,-665.0,-665.0,-665.0
142,0,4408.333333333334,874.0,258,True,-874.0,-874.0,-874.0
143,0,4845.833333333334,620.0,254,True,-620.0,-620.0,-620.0
144,0,4452.833333333334,770.0,261,True,-770.0,-770.0,-770.0
145,0,4342.666666666666,703.0,259,True,-703.0,-703.0,-703.0
146,0,4200.333333333334,506.0,258,True,-506.0,-506.0,-506.0
147,0,4903.333333333334,690.0,257,True,-690.0,-690.0,-690.0
148,0,4882.833333333334,594.0,256,True,-594.0,-594.0,-594.0
149,0,4175.333333333334,647.0,257,True,-647.0,-647.0,-647.0
150,0,4473.833333333334,750.0,261,True,-750.0,-750.0,-750.0
151,0,4272.833333333333,611.0,259,True,-611.0,-611.0,-611.0
152,0,4368.833333333334,560.0,259,True,-560.0,-560.0,-560.0
153,0,4784.333333333334,892.0,259,True,-892.0,-892.0,-892.0
154,0,4785.833333333334,619.0,258,True,-619.0,-619.0,-619.0
155,0,4456.833333333334,699.0,259,True,-699.0,-699.0,-699.0
156,0,4578.833333333334,560.0,258,True,-560.0,-560.0,-560.0
157,0,4501.833333333334,691.0,259,True,-691.0,-691.0,-691.0
158,0,4667.833333333334,804.0,261,True,-804.0,-804.0,-804.0
159,0,4062.8333333333335,665.0,258,True,-665.0,-665.0,-665.0
160,0,4992.333333333334,551.0,256,True,-551.0,-551.0,-551.0
161,0,4249.166666666667,536.0,257,True,-536.0,-536.0,-536.0
162,0,4196.333333333334,447.0,256,True,-447.0,-447.0,-447.0
163,0,4403.666666666666,577.0,256,True,-577.0,-577.0,-577.0
164,0,4264.5,536.0,258,True,-536.0,-536.0,-536.0
