episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,2626.6666666666665,1404.0,2.351154399999359,297.0,-1404.0,-1404.0,-1404.0,1.0
2,3555.666666666667,2551.0,2.4277681000003213,302.0,-2551.0,-2551.0,-2551.0,1.0
3,3138.666666666667,3034.0,2.4645856999995885,311.0,-3034.0,-3034.0,-3034.0,1.0
4,2406.166666666667,1399.0,2.309787799998958,288.0,-1399.0,-1399.0,-1399.0,1.0
5,3092.6666666666665,2757.0,2.5017277999995713,308.0,-2757.0,-2757.0,-2757.0,1.0
6,2567.6666666666665,1851.0,2.824445399999604,300.0,-1851.0,-1851.0,-1851.0,1.0
7,3007.5,2243.0,2.4313000999991345,304.0,-2243.0,-2243.0,-2243.0,1.0
8,3000.8333333333335,2098.0,2.39673109999967,300.0,-2098.0,-2098.0,-2098.0,1.0
9,2749.3333333333335,2216.0,2.3897498000005726,299.0,-2216.0,-2216.0,-2216.0,1.0
10,2537.666666666667,1606.0,2.3445573999997578,293.0,-1606.0,-1606.0,-1606.0,1.0
11,2203.6666666666665,1226.0,2.3511665999994875,298.0,-1226.0,-1226.0,-1226.0,1.0
12,2952.8333333333335,2258.0,2.4178032999989227,301.0,-2258.0,-2258.0,-2258.0,1.0
13,2590.666666666667,1393.0,2.3354584999997314,293.0,-1393.0,-1393.0,-1393.0,1.0
14,2874.0,2598.0,2.5326626999994915,307.0,-2598.0,-2598.0,-2598.0,1.0
15,2763.5,2535.0,2.452638599999773,306.0,-2535.0,-2535.0,-2535.0,1.0
16,3086.666666666667,2258.0,2.4001314000015554,302.0,-2258.0,-2258.0,-2258.0,1.0
17,3204.6666666666665,3023.0,2.54574649999995,311.0,-3023.0,-3023.0,-3023.0,1.0
18,2128.1666666666665,959.0,2.3123728999999003,287.0,-959.0,-959.0,-959.0,1.0
19,2286.0,1445.0,2.375272599998425,294.0,-1445.0,-1445.0,-1445.0,1.0
20,3028.0,2550.0,2.4439149999998335,307.0,-2550.0,-2550.0,-2550.0,1.0
21,2976.5,1948.0,2.354473899998993,300.0,-1948.0,-1948.0,-1948.0,1.0
22,2648.6666666666665,1790.0,2.4520425999999134,301.0,-1790.0,-1790.0,-1790.0,1.0
23,2932.8333333333335,2533.0,2.429425500000434,306.0,-2533.0,-2533.0,-2533.0,1.0
24,3048.8333333333335,2408.0,2.4246848999991926,303.0,-2408.0,-2408.0,-2408.0,1.0
25,2856.0,1996.0,2.2952784999997675,291.0,-1996.0,-1996.0,-1996.0,1.0
26,2897.5,2459.0,2.4404317000007723,304.0,-2459.0,-2459.0,-2459.0,1.0
27,2821.5,1761.0,2.409386799999993,301.0,-1761.0,-1761.0,-1761.0,1.0
28,2568.5,2077.0,2.4248619000009057,301.0,-2077.0,-2077.0,-2077.0,1.0
29,2409.1666666666665,1805.0,2.38217430000077,301.0,-1805.0,-1805.0,-1805.0,1.0
30,2677.5000000000005,1962.0,2.441447999999582,301.0,-1962.0,-1962.0,-1962.0,1.0
31,2812.8333333333335,2037.0,2.367231999998694,293.0,-2037.0,-2037.0,-2037.0,1.0
32,2746.166666666667,1711.0,2.4722581999994873,296.0,-1711.0,-1711.0,-1711.0,1.0
33,2486.666666666667,1444.0,2.5435636000001978,294.0,-1444.0,-1444.0,-1444.0,1.0
34,2562.6666666666665,1539.0,2.3970413000006374,297.0,-1539.0,-1539.0,-1539.0,1.0
35,2413.6666666666665,1145.0,2.3999041999995825,293.0,-1145.0,-1145.0,-1145.0,1.0
36,2581.0,1613.0,2.5588280000010855,293.0,-1613.0,-1613.0,-1613.0,1.0
37,2891.3333333333335,2448.0,2.5407806000002893,306.0,-2448.0,-2448.0,-2448.0,1.0
38,2442.0,1493.0,2.4524834000003466,294.0,-1493.0,-1493.0,-1493.0,1.0
39,2576.6666666666665,2578.0,2.5356276000002254,310.0,-2578.0,-2578.0,-2578.0,1.0
40,2800.6666666666665,2022.0,2.407634799999869,296.0,-2022.0,-2022.0,-2022.0,1.0
41,2763.3333333333335,2045.0,2.4470010999993974,299.0,-2045.0,-2045.0,-2045.0,1.0
42,2723.0,2095.0,2.4517149000002973,298.0,-2095.0,-2095.0,-2095.0,1.0
43,2773.666666666667,2197.0,2.4594319999996515,302.0,-2197.0,-2197.0,-2197.0,1.0
