global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,4830.666666666667,1625.0,277,True,-3.0622902985042613,-3.0622902985042613,-3.0622902985042613
2,0,4941.166666666666,2102.0,282,True,-3.8282706141235066,-3.8282706141235066,-3.8282706141235066
3,0,4735.666666666666,1470.0,275,True,-2.8073793908093787,-2.8073793908093787,-2.8073793908093787
4,0,5287.166666666666,2184.0,284,True,-3.993191966679389,-3.993191966679389,-3.993191966679389
5,0,5375.666666666667,3012.0,295,True,-5.312315499144249,-5.312315499144249,-5.312315499144249
6,0,5094.333333333334,1878.0,279,True,-3.489411227260439,-3.489411227260439,-3.489411227260439
7,0,5023.0,2070.0,279,True,-3.785956916556925,-3.785956916556925,-3.785956916556925
8,0,5323.166666666666,2568.0,289,True,-4.604446679735255,-4.604446679735255,-4.604446679735255
9,0,4950.999999999999,1941.0,282,True,-3.574523439812292,-3.574523439812292,-3.574523439812292
10,0,5966.833333333334,3579.0,303,True,-6.269565669650705,-6.269565669650705,-6.269565669650705
11,0,5547.5,2806.0,290,True,-5.003834786748967,-5.003834786748967,-5.003834786748967
12,0,5474.333333333334,2644.0,291,True,-4.740067516267815,-4.740067516267815,-4.740067516267815
13,0,5549.333333333334,2767.0,289,True,-4.9423123034886265,-4.9423123034886265,-4.9423123034886265
14,0,5289.333333333334,2312.0,279,True,-4.195943876566189,-4.195943876566189,-4.195943876566189
15,0,5143.833333333334,2244.0,285,True,-4.073557343788199,-4.073557343788199,-4.073557343788199
16,0,5717.5,3458.0,302,True,-6.052762633563393,-6.052762633563393,-6.052762633563393
17,0,5038.333333333333,2013.0,283,True,-3.697325836768483,-3.697325836768483,-3.697325836768483
18,0,5534.833333333334,2534.0,287,True,-4.572167340828465,-4.572167340828465,-4.572167340828465
19,0,5282.833333333334,2783.0,292,True,-4.940536248171609,-4.940536248171609,-4.940536248171609
20,0,5066.5,2414.0,286,True,-4.334682943777905,-4.334682943777905,-4.334682943777905
21,0,4787.833333333333,1636.0,275,True,-3.0753409056788312,-3.0753409056788312,-3.0753409056788312
22,0,5400.166666666666,2026.0,278,True,-3.7546795979908105,-3.7546795979908105,-3.7546795979908105
23,0,5338.833333333334,2566.0,286,True,-4.6028748032205336,-4.6028748032205336,-4.6028748032205336
24,0,5333.666666666666,2043.0,276,True,-3.774817911971483,-3.774817911971483,-3.774817911971483
25,0,5333.833333333334,2620.0,291,True,-4.687809538924799,-4.687809538924799,-4.687809538924799
26,0,5127.333333333333,2274.0,287,True,-4.119348300726209,-4.119348300726209,-4.119348300726209
27,0,5048.833333333334,2040.0,279,True,-3.7411147905237,-3.7411147905237,-3.7411147905237
28,0,4958.166666666666,1862.0,278,True,-3.4502520063998894,-3.4502520063998894,-3.4502520063998894
29,0,5256.666666666666,2724.0,291,True,-4.844521702576683,-4.844521702576683,-4.844521702576683
30,0,5195.166666666666,2271.0,286,True,-4.121497432751822,-4.121497432751822,-4.121497432751822
31,0,5699.999999999999,3240.0,299,True,-5.706046866756172,-5.706046866756172,-5.706046866756172
32,0,4989.333333333334,2040.0,277,True,-3.73506599350574,-3.73506599350574,-3.73506599350574
33,0,4995.833333333334,2023.0,280,True,-3.7088280522800674,-3.7088280522800674,-3.7088280522800674
34,0,4952.166666666666,2000.0,281,True,-3.6679964740551365,-3.6679964740551365,-3.6679964740551365
35,0,5532.333333333334,2301.0,281,True,-4.203242303617309,-4.203242303617309,-4.203242303617309
36,0,5150.833333333334,2416.0,284,True,-4.346420865700963,-4.346420865700963,-4.346420865700963
37,0,4818.666666666666,1808.0,276,True,-3.350627335080576,-3.350627335080576,-3.350627335080576
38,0,5021.833333333334,2042.0,280,True,-3.7415345152254744,-3.7415345152254744,-3.7415345152254744
39,0,4837.5,1449.0,270,True,-2.7845039656156043,-2.7845039656156043,-2.7845039656156043
40,0,5002.166666666666,2186.0,281,True,-3.9673832942276595,-3.9673832942276595,-3.9673832942276595
41,0,5401.166666666667,2376.0,284,True,-4.308578726799325,-4.308578726799325,-4.308578726799325
42,0,5052.166666666666,1853.0,278,True,-3.4455675827546095,-3.4455675827546095,-3.4455675827546095
43,0,4826.166666666666,1788.0,276,True,-3.3197442188659467,-3.3197442188659467,-3.3197442188659467
44,0,5548.833333333334,2624.0,286,True,-4.7159956504767715,-4.7159956504767715,-4.7159956504767715
45,0,4957.166666666666,1808.0,272,True,-3.364707307971123,-3.364707307971123,-3.364707307971123
46,0,5195.166666666666,2046.0,279,True,-3.765484774523974,-3.765484774523974,-3.765484774523974
47,0,5376.833333333334,2435.0,286,True,-4.399459419463042,-4.399459419463042,-4.399459419463042
48,0,5250.666666666667,2111.0,281,True,-3.8739750309914234,-3.8739750309914234,-3.8739750309914234
49,0,5249.333333333334,1868.0,279,True,-3.489345812833235,-3.489345812833235,-3.489345812833235
50,0,4851.166666666666,1758.0,276,True,-3.274817375787653,-3.274817375787653,-3.274817375787653
51,0,5151.166666666666,2008.0,281,True,-3.7008851322658276,-3.7008851322658276,-3.7008851322658276
52,0,5470.333333333332,2817.0,288,True,-5.013395051666673,-5.013395051666673,-5.013395051666673
53,0,4680.500000000001,1841.0,277,True,-3.388796438881477,-3.388796438881477,-3.388796438881477
54,0,5279.333333333334,1983.0,279,True,-3.674357651772195,-3.674357651772195,-3.674357651772195
55,0,4870.666666666666,1720.0,278,True,-3.216673172363798,-3.216673172363798,-3.216673172363798
56,0,5084.166666666666,2254.0,286,True,-4.083314388171354,-4.083314388171354,-4.083314388171354
57,0,4703.0,1553.0,272,True,-2.9353875965667053,-2.9353875965667053,-2.9353875965667053
58,0,5300.166666666666,1823.0,278,True,-3.4233110209369046,-3.4233110209369046,-3.4233110209369046
59,0,5162.666666666666,2173.0,283,True,-3.9631301768548766,-3.9631301768548766,-3.9631301768548766
60,0,5011.166666666667,1736.0,278,True,-3.256272921858712,-3.256272921858712,-3.256272921858712
61,0,5153.833333333334,2041.0,284,True,-3.753371416683465,-3.753371416683465,-3.753371416683465
62,0,4713.833333333334,1552.0,274,True,-2.934906639671597,-2.934906639671597,-2.934906639671597
63,0,4990.166666666666,1672.0,276,True,-3.1528722295381524,-3.1528722295381524,-3.1528722295381524
64,0,5262.833333333334,2329.0,283,True,-4.220148608710195,-4.220148608710195,-4.220148608710195
65,0,4638.0,1475.0,272,True,-2.805361945532304,-2.805361945532304,-2.805361945532304
66,0,5207.833333333334,1947.0,278,True,-3.6101269039887787,-3.6101269039887787,-3.6101269039887787
67,0,4755.166666666666,1305.0,271,True,-2.548285820296917,-2.548285820296917,-2.548285820296917
68,0,5019.833333333332,2108.0,284,True,-3.845761574064144,-3.845761574064144,-3.845761574064144
69,0,4866.833333333333,1876.0,279,True,-3.4631189169944507,-3.4631189169944507,-3.4631189169944507
70,0,4961.666666666666,1793.0,274,True,-3.341430602799307,-3.341430602799307,-3.341430602799307
71,0,4876.166666666665,1863.0,276,True,-3.443498127646066,-3.443498127646066,-3.443498127646066
72,0,5001.666666666666,2009.0,280,True,-3.6872691728613765,-3.6872691728613765,-3.6872691728613765
73,0,5226.166666666666,2177.0,281,True,-3.9759147296132182,-3.9759147296132182,-3.9759147296132182
74,0,4561.166666666667,1476.0,272,True,-2.7991333124579083,-2.7991333124579083,-2.7991333124579083
75,0,4910.166666666666,1976.0,281,True,-3.625752051439331,-3.625752051439331,-3.625752051439331
76,0,4845.666666666666,1563.0,274,True,-2.965713939492726,-2.965713939492726,-2.965713939492726
77,0,5040.833333333334,2093.0,280,True,-3.8241622663847044,-3.8241622663847044,-3.8241622663847044
