episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,1226.0,512.0,0.3849603999988176,59.0,-1.224772980422511,-1.224772980422511,-1.224772980422511,1.0
2,1228.3333333333335,771.0,0.3700909000035608,58.0,-1.570223070726903,-1.570223070726903,-1.570223070726903,1.0
3,1228.3333333333335,602.0,0.3571025999990525,59.0,-1.3454890281737113,-1.3454890281737113,-1.3454890281737113,1.0
4,1395.6666666666667,846.0,0.39729600000282517,61.0,-1.7441955042886719,-1.7441955042886719,-1.7441955042886719,1.0
5,1286.3333333333335,761.0,0.38475260000268463,59.0,-1.5826572303296895,-1.5826572303296895,-1.5826572303296895,1.0
6,1255.3333333333335,660.0,0.4726412999953027,58.0,-1.4345953922734678,-1.4345953922734678,-1.4345953922734678,1.0
7,1175.0,623.0,0.3970277999978862,60.0,-1.3497529215201336,-1.3497529215201336,-1.3497529215201336,1.0
8,1302.3333333333335,602.0,0.3986023000034038,60.0,-1.378319551687465,-1.378319551687465,-1.378319551687465,1.0
9,1228.3333333333335,703.0,0.3859530999980052,58.0,-1.4797975388120093,-1.4797975388120093,-1.4797975388120093,1.0
10,1286.3333333333335,856.0,0.4158519999982673,59.0,-1.7089870175637314,-1.7089870175637314,-1.7089870175637314,1.0
11,1286.3333333333335,612.0,0.44582380000065314,57.0,-1.3845189324573488,-1.3845189324573488,-1.3845189324573488,1.0
12,1254.3333333333335,669.0,0.3864296000028844,61.0,-1.4461198216566922,-1.4461198216566922,-1.4461198216566922,1.0
13,1227.0,536.0,0.4062384999997448,60.0,-1.2571315297626913,-1.2571315297626913,-1.2571315297626913,1.0
14,1284.0,613.0,0.37404099999548635,58.0,-1.3848135230040206,-1.3848135230040206,-1.3848135230040206,1.0
15,1286.3333333333335,736.0,0.3904451999987941,59.0,-1.5494125494786253,-1.5494125494786253,-1.5494125494786253,1.0
16,1254.3333333333335,559.0,0.47587960000237217,58.0,-1.2998432259120112,-1.2998432259120112,-1.2998432259120112,1.0
17,1289.3333333333335,755.0,0.39212599999882514,59.0,-1.5760094740949102,-1.5760094740949102,-1.5760094740949102,1.0
18,1286.3333333333335,948.0,0.39335059999575606,60.0,-1.8313274430956463,-1.8313274430956463,-1.8313274430956463,1.0
19,1129.0,613.0,0.35217829999601236,55.0,-1.3160468859144026,-1.3160468859144026,-1.3160468859144026,1.0
20,1254.3333333333335,702.0,0.38372000000526896,59.0,-1.4900028003800962,-1.4900028003800962,-1.4900028003800962,1.0
21,1284.0,690.0,0.39049460000387626,58.0,-1.487207140025297,-1.487207140025297,-1.487207140025297,1.0
22,1230.3333333333335,770.0,0.4070404000012786,63.0,-1.5697805949391779,-1.5697805949391779,-1.5697805949391779,1.0
