episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,1248.0,4205.0,3.13540600000033,196.0,-4205.0,-4205.0,-4205.0,1.0
2,1482.0,4942.0,2.511587000000418,199.0,-4942.0,-4942.0,-4942.0,1.0
3,1247.0,3672.0,2.2308192999998937,188.0,-3672.0,-3672.0,-3672.0,1.0
4,1351.6666666666667,4500.0,2.1225164000002223,196.0,-4500.0,-4500.0,-4500.0,1.0
5,1140.0,3145.0,2.5102034999999887,182.0,-3145.0,-3145.0,-3145.0,1.0
6,1299.6666666666665,4215.0,2.375088699999651,200.0,-4215.0,-4215.0,-4215.0,1.0
7,1207.8333333333333,3673.0,2.9097060000003694,193.0,-3673.0,-3673.0,-3673.0,1.0
8,1344.3333333333333,4279.0,2.2344958000003317,201.0,-4279.0,-4279.0,-4279.0,1.0
9,1252.6666666666665,4111.0,1.5926251999999295,195.0,-4111.0,-4111.0,-4111.0,1.0
10,1314.0,3816.0,1.9229528999999275,190.0,-3816.0,-3816.0,-3816.0,1.0
11,1045.5,3371.0,2.5779892999998992,184.0,-3371.0,-3371.0,-3371.0,1.0
12,1306.5,4049.0,2.158045900000161,197.0,-4049.0,-4049.0,-4049.0,1.0
13,1316.1666666666667,4673.0,2.24204729999974,201.0,-4673.0,-4673.0,-4673.0,1.0
14,1282.6666666666665,4057.0,2.1308395999999448,197.0,-4057.0,-4057.0,-4057.0,1.0
15,1468.3333333333333,5163.0,2.1803195000002233,215.0,-5163.0,-5163.0,-5163.0,1.0
16,1334.8333333333333,4726.0,2.028360600000269,202.0,-4726.0,-4726.0,-4726.0,1.0
17,1248.8333333333335,3952.0,1.54992940000011,193.0,-3952.0,-3952.0,-3952.0,1.0
18,1294.6666666666667,4123.0,1.966352999999799,197.0,-4123.0,-4123.0,-4123.0,1.0
19,1309.3333333333333,4272.0,1.6826405000001614,200.0,-4272.0,-4272.0,-4272.0,1.0
20,1319.5,4668.0,1.754103700000087,200.0,-4668.0,-4668.0,-4668.0,1.0
21,1358.6666666666667,4438.0,1.7502704000003177,204.0,-4438.0,-4438.0,-4438.0,1.0
22,1336.0,4960.0,1.8619346000000405,206.0,-4960.0,-4960.0,-4960.0,1.0
23,1149.6666666666665,3434.0,1.7215940000000955,185.0,-3434.0,-3434.0,-3434.0,1.0
24,1198.0,3885.0,1.682753699999921,191.0,-3885.0,-3885.0,-3885.0,1.0
25,1357.3333333333335,4257.0,1.6572907999998279,199.0,-4257.0,-4257.0,-4257.0,1.0
26,1380.0,4953.0,1.8795141999999032,207.0,-4953.0,-4953.0,-4953.0,1.0
27,1191.6666666666665,3608.0,1.5809893999999076,186.0,-3608.0,-3608.0,-3608.0,1.0
28,1073.1666666666667,3270.0,1.6811336000000665,183.0,-3270.0,-3270.0,-3270.0,1.0
29,1306.3333333333333,3921.0,1.4411880000002384,183.0,-3921.0,-3921.0,-3921.0,1.0
30,1500.3333333333333,6128.0,1.7236489000001711,219.0,-6128.0,-6128.0,-6128.0,1.0
31,1240.4999999999998,3964.0,1.644626799999969,191.0,-3964.0,-3964.0,-3964.0,1.0
32,1105.5,2970.0,1.5729610999997021,180.0,-2970.0,-2970.0,-2970.0,1.0
33,1227.9999999999998,3757.0,1.756167699999878,187.0,-3757.0,-3757.0,-3757.0,1.0
34,1180.3333333333335,2948.0,1.8043913999999859,177.0,-2948.0,-2948.0,-2948.0,1.0
35,1246.6666666666667,3900.0,1.8309693000001062,192.0,-3900.0,-3900.0,-3900.0,1.0
36,1170.5,3499.0,1.6616445999998177,185.0,-3499.0,-3499.0,-3499.0,1.0
37,1282.3333333333333,3686.0,1.6558721999999761,190.0,-3686.0,-3686.0,-3686.0,1.0
38,1261.1666666666667,3546.0,1.7169451999998273,185.0,-3546.0,-3546.0,-3546.0,1.0
39,1151.5,3872.0,1.5884656000002906,185.0,-3872.0,-3872.0,-3872.0,1.0
40,1134.5,3302.0,1.570630600000186,184.0,-3302.0,-3302.0,-3302.0,1.0
41,1328.3333333333335,3887.0,1.709926600000017,188.0,-3887.0,-3887.0,-3887.0,1.0
42,1125.6666666666665,3382.0,1.6091537000002063,186.0,-3382.0,-3382.0,-3382.0,1.0
43,1037.5,2853.0,1.6812479000000167,175.0,-2853.0,-2853.0,-2853.0,1.0
44,1318.6666666666665,3897.0,1.7140097000001333,191.0,-3897.0,-3897.0,-3897.0,1.0
45,1241.0,4048.0,1.7161172999999508,191.0,-4048.0,-4048.0,-4048.0,1.0
46,1200.3333333333335,3072.0,1.5347561999997197,178.0,-3072.0,-3072.0,-3072.0,1.0
47,1153.6666666666665,3444.0,1.694734900000185,188.0,-3444.0,-3444.0,-3444.0,1.0
48,1107.6666666666665,3579.0,1.6596703000000161,189.0,-3579.0,-3579.0,-3579.0,1.0
49,1243.5,3938.0,1.6625817999997707,192.0,-3938.0,-3938.0,-3938.0,1.0
50,1238.0,3641.0,1.6630645999998706,187.0,-3641.0,-3641.0,-3641.0,1.0
51,1258.6666666666665,3763.0,1.6617208000002393,188.0,-3763.0,-3763.0,-3763.0,1.0
52,1300.5,4495.0,1.7845376000000215,205.0,-4495.0,-4495.0,-4495.0,1.0
53,1231.6666666666665,4016.0,1.6306877000001805,190.0,-4016.0,-4016.0,-4016.0,1.0
54,1132.8333333333333,2915.0,1.5050412000000506,175.0,-2915.0,-2915.0,-2915.0,1.0
55,1205.3333333333335,3895.0,1.6236163999997189,191.0,-3895.0,-3895.0,-3895.0,1.0
56,1169.5,2971.0,1.5612248000002182,175.0,-2971.0,-2971.0,-2971.0,1.0
57,1141.1666666666665,3391.0,1.67477609999969,188.0,-3391.0,-3391.0,-3391.0,1.0
58,1159.5,3396.0,1.6185742000002392,182.0,-3396.0,-3396.0,-3396.0,1.0
59,1117.3333333333335,2751.0,1.6607593000003362,170.0,-2751.0,-2751.0,-2751.0,1.0
60,1322.0,3826.0,1.8287599999998747,191.0,-3826.0,-3826.0,-3826.0,1.0
61,1234.5,3862.0,2.017231299999821,188.0,-3862.0,-3862.0,-3862.0,1.0
62,1004.6666666666666,2509.0,1.8307092000000011,171.0,-2509.0,-2509.0,-2509.0,1.0
63,1000.8333333333333,2850.0,1.6006628000000092,176.0,-2850.0,-2850.0,-2850.0,1.0
64,1211.3333333333333,3694.0,1.7876642000001084,190.0,-3694.0,-3694.0,-3694.0,1.0
65,1331.8333333333333,3726.0,1.5870607000001655,189.0,-3726.0,-3726.0,-3726.0,1.0
66,1153.3333333333335,3376.0,1.5839629000001878,182.0,-3376.0,-3376.0,-3376.0,1.0
67,1072.3333333333335,2546.0,1.5488947999997436,170.0,-2546.0,-2546.0,-2546.0,1.0
68,1092.3333333333333,3156.0,1.6075393000000986,182.0,-3156.0,-3156.0,-3156.0,1.0
69,1203.0,3181.0,1.7574109000001954,178.0,-3181.0,-3181.0,-3181.0,1.0
70,1174.3333333333335,3312.0,1.653738599999997,182.0,-3312.0,-3312.0,-3312.0,1.0
71,1111.3333333333335,3010.0,1.569003099999918,177.0,-3010.0,-3010.0,-3010.0,1.0
