global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,4197.833333333333,1586.0,274,True,-4197.833333333333,-4197.833333333333,-4197.833333333333
2,0,3794.0,1208.0,267,True,-3794.0,-3794.0,-3794.0
3,0,4035.0,1499.0,272,True,-4035.0,-4035.0,-4035.0
4,0,4137.833333333333,1682.0,276,True,-4137.833333333333,-4137.833333333333,-4137.833333333333
5,0,4383.833333333333,1970.0,281,True,-4383.833333333333,-4383.833333333333,-4383.833333333333
6,0,4139.833333333333,1619.0,276,True,-4139.833333333333,-4139.833333333333,-4139.833333333333
7,0,4385.0,1793.0,279,True,-4385.0,-4385.0,-4385.0
8,0,4114.833333333333,1514.0,271,True,-4114.833333333333,-4114.833333333333,-4114.833333333333
9,0,4553.833333333334,1937.0,282,True,-4553.833333333334,-4553.833333333334,-4553.833333333334
10,0,4553.0,2258.0,288,True,-4553.0,-4553.0,-4553.0
11,0,4344.0,1937.0,281,True,-4344.0,-4344.0,-4344.0
12,0,4652.833333333333,2162.0,286,True,-4652.833333333333,-4652.833333333333,-4652.833333333333
13,0,4818.333333333334,2177.0,287,True,-4818.333333333334,-4818.333333333334,-4818.333333333334
14,0,4771.833333333334,2546.0,292,True,-4771.833333333334,-4771.833333333334,-4771.833333333334
15,0,4449.833333333333,2234.0,287,True,-4449.833333333333,-4449.833333333333,-4449.833333333333
16,0,5023.166666666666,2612.0,297,True,-5023.166666666666,-5023.166666666666,-5023.166666666666
17,0,4610.833333333333,2354.0,290,True,-4610.833333333333,-4610.833333333333,-4610.833333333333
18,0,4616.833333333334,2315.0,290,True,-4616.833333333334,-4616.833333333334,-4616.833333333334
19,0,4828.000000000001,2618.0,297,True,-4828.000000000001,-4828.000000000001,-4828.000000000001
20,0,4761.833333333334,2636.0,294,True,-4761.833333333334,-4761.833333333334,-4761.833333333334
21,0,4212.833333333333,2066.0,285,True,-4212.833333333333,-4212.833333333333,-4212.833333333333
22,0,4956.000000000001,2810.0,301,True,-4956.000000000001,-4956.000000000001,-4956.000000000001
23,0,5230.0,3167.0,307,True,-5230.0,-5230.0,-5230.0
24,0,4786.666666666667,2705.0,298,True,-4786.666666666667,-4786.666666666667,-4786.666666666667
25,0,4583.833333333333,2489.0,294,True,-4583.833333333333,-4583.833333333333,-4583.833333333333
26,0,5155.833333333334,3218.0,308,True,-5155.833333333334,-5155.833333333334,-5155.833333333334
27,0,4889.166666666667,2738.0,298,True,-4889.166666666667,-4889.166666666667,-4889.166666666667
28,0,4625.166666666667,2444.0,292,True,-4625.166666666667,-4625.166666666667,-4625.166666666667
29,0,4546.166666666666,2444.0,291,True,-4546.166666666666,-4546.166666666666,-4546.166666666666
30,0,5080.166666666667,3155.0,307,True,-5080.166666666667,-5080.166666666667,-5080.166666666667
31,0,5103.833333333333,2840.0,301,True,-5103.833333333333,-5103.833333333333,-5103.833333333333
32,0,5068.333333333333,3002.0,302,True,-5068.333333333333,-5068.333333333333,-5068.333333333333
33,0,4844.833333333334,2993.0,303,True,-4844.833333333334,-4844.833333333334,-4844.833333333334
34,0,4751.833333333333,2777.0,299,True,-4751.833333333333,-4751.833333333333,-4751.833333333333
35,0,5112.333333333333,3263.0,309,True,-5112.333333333333,-5112.333333333333,-5112.333333333333
36,0,5172.0,3290.0,310,True,-5172.0,-5172.0,-5172.0
37,0,5515.833333333334,3698.0,317,True,-5515.833333333334,-5515.833333333334,-5515.833333333334
38,0,5164.833333333334,3314.0,310,True,-5164.833333333334,-5164.833333333334,-5164.833333333334
39,0,5336.0,3425.0,314,True,-5336.0,-5336.0,-5336.0
40,0,6024.166666666667,4532.0,337,True,-6024.166666666667,-6024.166666666667,-6024.166666666667
41,0,4869.0,3128.0,305,True,-4869.0,-4869.0,-4869.0
42,0,4674.833333333334,2771.0,297,True,-4674.833333333334,-4674.833333333334,-4674.833333333334
43,0,5455.833333333333,3755.0,317,True,-5455.833333333333,-5455.833333333333,-5455.833333333333
44,0,5260.0,3521.0,316,True,-5260.0,-5260.0,-5260.0
45,0,4718.833333333333,2603.0,294,True,-4718.833333333333,-4718.833333333333,-4718.833333333333
46,0,5219.833333333334,3377.0,312,True,-5219.833333333334,-5219.833333333334,-5219.833333333334
47,0,5675.666666666667,4178.0,326,True,-5675.666666666667,-5675.666666666667,-5675.666666666667
48,0,5243.833333333333,3563.0,315,True,-5243.833333333333,-5243.833333333333,-5243.833333333333
49,0,5685.833333333334,4139.0,326,True,-5685.833333333334,-5685.833333333334,-5685.833333333334
50,0,5600.833333333333,4052.0,326,True,-5600.833333333333,-5600.833333333333,-5600.833333333333
51,0,5340.833333333333,3788.0,318,True,-5340.833333333333,-5340.833333333333,-5340.833333333333
52,0,5506.166666666667,4082.0,326,True,-5506.166666666667,-5506.166666666667,-5506.166666666667
53,0,5704.833333333333,4268.0,329,True,-5704.833333333333,-5704.833333333333,-5704.833333333333
54,0,6065.166666666667,4907.0,342,True,-6065.166666666667,-6065.166666666667,-6065.166666666667
55,0,5332.833333333333,3347.0,311,True,-5332.833333333333,-5332.833333333333,-5332.833333333333
56,0,5625.833333333334,4049.0,326,True,-5625.833333333334,-5625.833333333334,-5625.833333333334
57,0,5957.166666666666,4301.0,331,True,-5957.166666666666,-5957.166666666666,-5957.166666666666
58,0,5442.166666666666,3986.0,325,True,-5442.166666666666,-5442.166666666666,-5442.166666666666
59,0,5938.166666666667,4460.0,334,True,-5938.166666666667,-5938.166666666667,-5938.166666666667
60,0,5715.333333333333,4154.0,329,True,-5715.333333333333,-5715.333333333333,-5715.333333333333
61,0,5800.166666666666,4178.0,328,True,-5800.166666666666,-5800.166666666666,-5800.166666666666
62,0,6440.833333333334,5738.0,361,True,-6440.833333333334,-6440.833333333334,-6440.833333333334
63,0,6890.166666666666,6059.0,366,True,-6890.166666666666,-6890.166666666666,-6890.166666666666
64,0,6164.166666666666,5003.0,342,True,-6164.166666666666,-6164.166666666666,-6164.166666666666
65,0,6648.0,5585.0,357,True,-6648.0,-6648.0,-6648.0
66,0,6424.333333333333,5498.0,355,True,-6424.333333333333,-6424.333333333333,-6424.333333333333
67,0,5409.833333333334,3818.0,321,True,-5409.833333333334,-5409.833333333334,-5409.833333333334
