global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,1990.9999999999998,6271.0,219,True,-6.1539585564344605,-6.1539585564344605,-12.307917112868921
1,1,1715.8333333333333,4874.0,192,True,-4.835111040129505,-4.835111040129505,-9.67022208025901
1,2,2470.333333333333,8386.0,239,True,-8.170045815004555,-8.170045815004555,-16.34009163000911
1,3,1568.6666666666667,4362.0,187,True,-4.337427209582467,-4.337427209582467,-8.674854419164934
2,0,1677.0,4163.0,188,True,-4.195192515803092,-4.195192515803092,-8.390385031606185
2,1,1458.1666666666667,3675.0,177,True,-3.696536623731395,-3.696536623731395,-7.39307324746279
2,2,1876.3333333333333,5152.0,198,True,-5.130266078130415,-5.130266078130415,-10.26053215626083
2,3,1661.5000000000002,5032.0,196,True,-4.9578400675765915,-4.9578400675765915,-9.915680135153183
3,0,1549.5000000000002,4334.0,187,True,-4.306771062438328,-4.306771062438328,-8.613542124876655
3,1,1658.1666666666665,4497.0,185,True,-4.484333319584189,-4.484333319584189,-8.968666639168378
3,2,1626.5000000000002,4251.0,189,True,-4.2572879802150725,-4.2572879802150725,-8.514575960430145
3,3,1517.3333333333333,3511.0,177,True,-3.570003802716097,-3.570003802716097,-7.140007605432194
4,0,1518.1666666666667,3981.0,183,True,-3.985333683708898,-3.985333683708898,-7.970667367417796
4,1,1309.8333333333333,2831.0,167,True,-2.905292048990784,-2.905292048990784,-5.810584097981568
4,2,1616.3333333333333,3808.0,177,True,-3.8629157724031487,-3.8629157724031487,-7.725831544806297
4,3,1180.3333333333335,2203.0,162,True,-2.3106293669659883,-2.3106293669659883,-4.621258733931977
5,0,1245.5000000000002,3127.0,171,True,-3.146800214268134,-3.146800214268134,-6.293600428536268
5,1,1434.1666666666667,2991.0,166,True,-3.0850507700082788,-3.0850507700082788,-6.1701015400165575
5,2,1562.3333333333333,3888.0,182,True,-3.9168635935779417,-3.9168635935779417,-7.833727187155883
5,3,1379.8333333333335,2371.0,161,True,-2.520702964956098,-2.520702964956098,-5.041405929912196
6,0,1383.6666666666667,2906.0,164,True,-2.9943643680675907,-2.9943643680675907,-5.988728736135181
6,1,1094.6666666666665,2342.0,163,True,-2.4068871622835886,-2.4068871622835886,-4.813774324567177
6,2,1300.1666666666667,2392.0,158,True,-2.5146070249997394,-2.5146070249997394,-5.029214049999479
6,3,1180.5,2489.0,162,True,-2.5632567208507435,-2.5632567208507435,-5.126513441701487
7,0,1246.5,2510.0,163,True,-2.6022169722543174,-2.6022169722543174,-5.204433944508635
7,1,1121.3333333333335,2449.0,160,True,-2.5096305780744603,-2.5096305780744603,-5.019261156148921
7,2,1210.1666666666667,2263.0,158,True,-2.3728450529316296,-2.3728450529316296,-4.745690105863259
7,3,1265.5,2415.0,159,True,-2.5241963101118774,-2.5241963101118774,-5.048392620223755
8,0,1011.0,1080.0,147,True,-1.2664954002735813,-1.2664954002735813,-2.5329908005471626
8,1,1154.6666666666665,2091.0,154,True,-2.2037796005360404,-2.2037796005360404,-4.407559201072081
8,2,1049.1666666666667,1973.0,156,True,-2.066937773706249,-2.066937773706249,-4.133875547412498
8,3,1014.1666666666667,2119.0,155,True,-2.185049212985884,-2.185049212985884,-4.370098425971768
9,0,1233.3333333333335,2120.0,161,True,-2.2537228390266777,-2.2537228390266777,-4.507445678053355
9,1,1093.3333333333335,1937.0,153,True,-2.048806217575882,-2.048806217575882,-4.097612435151764
9,2,1002.8333333333333,1773.0,152,True,-1.8759799642479744,-1.8759799642479744,-3.751959928495949
9,3,1252.0,2020.0,156,True,-2.1711834125942713,-2.1711834125942713,-4.342366825188543
10,0,1115.5,2038.0,151,True,-2.144858944242299,-2.144858944242299,-4.289717888484598
10,1,1104.0,1770.0,152,True,-1.9046224534830452,-1.9046224534830452,-3.8092449069660903
10,2,1164.0,1189.0,146,True,-1.4100812738373525,-1.4100812738373525,-2.820162547674705
10,3,1037.0,1833.0,156,True,-1.9395359945790127,-1.9395359945790127,-3.8790719891580254
11,0,1021.0,1629.0,152,True,-1.7544280669767296,-1.7544280669767296,-3.508856133953459
11,1,1258.3333333333335,1698.0,152,True,-1.888773816941454,-1.888773816941454,-3.777547633882908
11,2,1069.0,1694.0,155,True,-1.826678549813016,-1.826678549813016,-3.653357099626032
11,3,1072.8333333333335,1778.0,154,True,-1.9020473417970403,-1.9020473417970403,-3.8040946835940805
12,0,1118.8333333333335,1861.0,153,True,-1.9895755833150692,-1.9895755833150692,-3.9791511666301385
12,1,1170.1666666666667,1451.0,151,True,-1.6433693169403454,-1.6433693169403454,-3.2867386338806908
12,2,1045.8333333333335,1312.0,147,True,-1.4821563716072812,-1.4821563716072812,-2.9643127432145624
12,3,1098.1666666666667,1748.0,151,True,-1.8833892359005178,-1.8833892359005178,-3.7667784718010355
13,0,1255.0,1575.0,152,True,-1.7791175252340075,-1.7791175252340075,-3.558235050468015
13,1,1075.0,1588.0,151,True,-1.7349224006444433,-1.7349224006444433,-3.4698448012888865
13,2,1079.5,1470.0,151,True,-1.6321047000132296,-1.6321047000132296,-3.264209400026459
13,3,1221.1666666666667,1669.0,155,True,-1.8516669533348256,-1.8516669533348256,-3.703333906669651
14,0,1116.1666666666667,1906.0,155,True,-2.0284917039084878,-2.0284917039084878,-4.0569834078169755
14,1,1051.8333333333335,1551.0,153,True,-1.6950808229685874,-1.6950808229685874,-3.390161645937175
14,2,1315.5,1788.0,157,True,-1.985937948013846,-1.985937948013846,-3.971875896027692
14,3,1196.3333333333335,2024.0,159,True,-2.157497671371333,-2.157497671371333,-4.314995342742666
15,0,1169.3333333333335,1691.0,155,True,-1.8550632805162814,-1.8550632805162814,-3.710126561032563
15,1,1044.3333333333335,1677.0,151,True,-1.804035650288886,-1.804035650288886,-3.608071300577772
15,2,1113.1666666666667,1571.0,153,True,-1.7317144944185912,-1.7317144944185912,-3.4634289888371823
15,3,1129.8333333333335,2320.0,161,True,-2.398335664465984,-2.398335664465984,-4.796671328931968
16,0,1174.5,1678.0,154,True,-1.8451806651326506,-1.8451806651326506,-3.690361330265301
16,1,1322.1666666666667,2089.0,160,True,-2.2538228010784302,-2.2538228010784302,-4.5076456021568605
16,2,1207.1666666666665,1819.0,155,True,-1.9798064363177998,-1.9798064363177998,-3.9596128726355997
16,3,1147.0,1546.0,151,True,-1.720101186423749,-1.720101186423749,-3.440202372847498
17,0,1158.8333333333335,1768.0,156,True,-1.9198167005250755,-1.9198167005250755,-3.839633401050151
17,1,1121.0,1421.0,153,True,-1.6016675983002409,-1.6016675983002409,-3.2033351966004817
17,2,1114.8333333333333,1578.0,153,True,-1.7384119367103479,-1.7384119367103479,-3.4768238734206958
17,3,1189.1666666666667,1632.0,156,True,-1.80909313522181,-1.80909313522181,-3.61818627044362
18,0,1209.8333333333333,2019.0,157,True,-2.1572576987093686,-2.1572576987093686,-4.314515397418737
18,1,1263.1666666666667,1948.0,157,True,-2.1110518602881676,-2.1110518602881676,-4.222103720576335
18,2,1233.3333333333335,1966.0,160,True,-2.1177204840075436,-2.1177204840075436,-4.235440968015087
18,3,1088.5,1435.0,152,True,-1.6039788660160375,-1.6039788660160375,-3.207957732032075
19,0,1218.8333333333335,1682.0,154,True,-1.8624259477266008,-1.8624259477266008,-3.7248518954532015
19,1,1163.1666666666667,1444.0,149,True,-1.6350222200450217,-1.6350222200450217,-3.2700444400900435
19,2,1162.1666666666667,1750.0,154,True,-1.9049513554942232,-1.9049513554942232,-3.8099027109884465
19,3,1192.8333333333335,1849.0,157,True,-2.00186695483418,-2.00186695483418,-4.00373390966836
20,0,1163.5,1824.0,154,True,-1.970715550128335,-1.970715550128335,-3.94143110025667
20,1,1049.0,1548.0,153,True,-1.6915550474340955,-1.6915550474340955,-3.383110094868191
20,2,1048.0,1348.0,151,True,-1.5146193021061405,-1.5146193021061405,-3.029238604212281
20,3,1210.5,1490.0,152,True,-1.6902869847223312,-1.6902869847223312,-3.3805739694446624
21,0,1103.0,1657.0,154,True,-1.804519207419148,-1.804519207419148,-3.609038414838296
21,1,957.0,1361.0,146,True,-1.4979527887136095,-1.4979527887136095,-2.995905577427219
21,2,1053.1666666666665,1377.0,152,True,-1.5418282380913673,-1.5418282380913673,-3.0836564761827345
21,3,1031.8333333333335,1566.0,151,True,-1.7021416008369443,-1.7021416008369443,-3.4042832016738886
22,0,1050.0,1355.0,149,True,-1.521419847810622,-1.521419847810622,-3.042839695621244
22,1,1107.1666666666667,1297.0,146,True,-1.487880416916572,-1.487880416916572,-2.975760833833144
22,2,934.1666666666667,1348.0,147,True,-1.4794094866612502,-1.4794094866612502,-2.9588189733225003
22,3,1045.6666666666667,1187.0,144,True,-1.3717132979698035,-1.3717132979698035,-2.743426595939607
23,0,987.5,1601.0,155,True,-1.719338473085502,-1.719338473085502,-3.438676946171004
23,1,1172.1666666666667,1617.0,153,True,-1.7905878785412046,-1.7905878785412046,-3.581175757082409
23,2,1041.0,1477.0,153,True,-1.6263781810718707,-1.6263781810718707,-3.2527563621437414
23,3,954.8333333333334,1301.0,149,True,-1.4442946860039738,-1.4442946860039738,-2.8885893720079476
24,0,1254.3333333333335,1601.0,154,True,-1.801872754970233,-1.801872754970233,-3.603745509940466
24,1,1218.1666666666667,1737.0,153,True,-1.9107920105508454,-1.9107920105508454,-3.8215840211016907
24,2,1066.8333333333335,1163.0,147,True,-1.3570651924669372,-1.3570651924669372,-2.7141303849338745
24,3,1163.1666666666667,1698.0,157,True,-1.859337792609048,-1.859337792609048,-3.718675585218096
25,0,1147.1666666666667,1488.0,152,True,-1.6689310719540715,-1.6689310719540715,-3.337862143908143
25,1,1183.5,1586.0,152,True,-1.7667162971348687,-1.7667162971348687,-3.5334325942697373
25,2,1160.0,1306.0,149,True,-1.5121704974122014,-1.5121704974122014,-3.024340994824403
25,3,1199.1666666666667,998.0,145,True,-1.2522804383688804,-1.2522804383688804,-2.5045608767377607
26,0,1147.3333333333335,1633.0,155,True,-1.797036789100528,-1.797036789100528,-3.594073578201056
26,1,975.1666666666667,1345.0,151,True,-1.4894418098998279,-1.4894418098998279,-2.9788836197996558
26,2,961.0,1413.0,151,True,-1.545112902789629,-1.545112902789629,-3.090225805579258
26,3,1305.5,1407.0,153,True,-1.646371486786116,-1.646371486786116,-3.292742973572232
27,0,1291.1666666666667,1823.0,155,True,-2.009321025025781,-2.009321025025781,-4.018642050051562
27,1,1190.1666666666667,1407.0,151,True,-1.610697705983971,-1.610697705983971,-3.221395411967942
27,2,1147.1666666666667,1247.0,149,True,-1.456096217670881,-1.456096217670881,-2.912192435341762
27,3,981.1666666666667,1197.0,147,True,-1.3605941093624,-1.3605941093624,-2.7211882187248
28,0,1163.8333333333335,1658.0,155,True,-1.824218712416537,-1.824218712416537,-3.648437424833074
28,1,1186.3333333333335,1498.0,153,True,-1.6898770447035094,-1.6898770447035094,-3.379754089407019
28,2,1163.0,1399.0,152,True,-1.595229720443458,-1.595229720443458,-3.190459440886916
28,3,1098.1666666666667,1430.0,152,True,-1.6025532041077586,-1.6025532041077586,-3.205106408215517
29,0,1141.3333333333333,1619.0,152,True,-1.782817077215229,-1.782817077215229,-3.565634154430458
29,1,1134.1666666666667,1463.0,151,True,-1.6428317344716534,-1.6428317344716534,-3.285663468943307
29,2,1266.8333333333333,1624.0,155,True,-1.826051172982668,-1.826051172982668,-3.652102345965336
29,3,1172.1666666666667,1465.0,153,True,-1.656351787872969,-1.656351787872969,-3.312703575745938
30,0,1180.0,1045.0,146,True,-1.2878592043834094,-1.2878592043834094,-2.575718408766819
30,1,1170.1666666666667,1455.0,151,True,-1.6469018456421416,-1.6469018456421416,-3.293803691284283
30,2,1060.0,1244.0,150,True,-1.4264852787174795,-1.4264852787174795,-2.852970557434959
30,3,891.0,1209.0,146,True,-1.343302222326227,-1.343302222326227,-2.686604444652454
31,0,1175.5,1620.0,154,True,-1.7942683091947806,-1.7942683091947806,-3.5885366183895613
31,1,1147.1666666666667,1426.0,152,True,-1.6141768770762386,-1.6141768770762386,-3.228353754152477
31,2,1247.1666666666667,1152.0,147,True,-1.403129684820121,-1.403129684820121,-2.806259369640242
31,3,1253.1666666666667,1424.0,151,True,-1.645197497971242,-1.645197497971242,-3.290394995942484
32,0,1183.1666666666667,1609.0,153,True,-1.7869252337574715,-1.7869252337574715,-3.573850467514943
32,1,1078.0,1279.0,150,True,-1.4629624891452324,-1.4629624891452324,-2.925924978290465
32,2,1190.0,1790.0,153,True,-1.948885777474548,-1.948885777474548,-3.897771554949096
32,3,1220.5,1148.0,148,True,-1.3913488831004888,-1.3913488831004888,-2.7826977662009775
33,0,1236.0,1525.0,152,True,-1.7290840219363512,-1.7290840219363512,-3.4581680438727025
33,1,1163.0,1452.0,151,True,-1.6420357257422507,-1.6420357257422507,-3.2840714514845013
33,2,1241.3333333333335,1340.0,151,True,-1.567354224081867,-1.567354224081867,-3.134708448163734
33,3,1139.1666666666667,1328.0,150,True,-1.5251554419768931,-1.5251554419768931,-3.0503108839537862
34,0,1157.1666666666667,1506.0,152,True,-1.6879205534938415,-1.6879205534938415,-3.375841106987683
34,1,1222.0,1628.0,154,True,-1.8157162926732264,-1.8157162926732264,-3.631432585346453
34,2,1054.1666666666667,1197.0,150,True,-1.383173756748728,-1.383173756748728,-2.766347513497456
34,3,1152.0,1448.0,152,True,-1.635100784420597,-1.635100784420597,-3.270201568841194
35,0,1006.1666666666667,1088.0,147,True,-1.2720654581926891,-1.2720654581926891,-2.5441309163853782
35,1,1236.0,1598.0,154,True,-1.7935526707441218,-1.7935526707441218,-3.5871053414882437
35,2,1139.0,1490.0,153,True,-1.668171302693257,-1.668171302693257,-3.336342605386514
35,3,1138.5,1484.0,154,True,-1.6627178545214791,-1.6627178545214791,-3.3254357090429583
36,0,990.8333333333334,1038.0,146,True,-1.2231660924349863,-1.2231660924349863,-2.4463321848699726
36,1,988.5000000000001,1225.0,150,True,-1.3875900853548753,-1.3875900853548753,-2.7751801707097505
36,2,1009.0,1048.0,145,True,-1.2376165501828762,-1.2376165501828762,-2.4752331003657524
36,3,919.8333333333334,998.0,144,True,-1.1658797785070387,-1.1658797785070387,-2.3317595570140774
37,0,1098.1666666666667,1079.0,146,True,-1.2925738105251858,-1.2925738105251858,-2.5851476210503717
37,1,1139.1666666666667,1373.0,151,True,-1.5648963898720938,-1.5648963898720938,-3.1297927797441876
37,2,1079.3333333333335,1054.0,146,True,-1.2646701633201156,-1.2646701633201156,-2.5293403266402312
37,3,1229.1666666666667,1209.0,148,True,-1.44790063453367,-1.44790063453367,-2.89580126906734
38,0,982.0,1129.0,148,True,-1.3007988799636803,-1.3007988799636803,-2.6015977599273605
38,1,1152.1666666666667,1562.0,153,True,-1.7358294041281368,-1.7358294041281368,-3.4716588082562736
38,2,1172.1666666666667,1287.0,149,True,-1.4991542606430597,-1.4991542606430597,-2.9983085212861194
38,3,1190.0,1112.0,147,True,-1.3501221625201758,-1.3501221625201758,-2.7002443250403516
