episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,1145.125,3431.0,28.62745090003591,202.0,-3431.0,-3431.0,-6862.0,1.0
2,1064.9583333333333,3225.25,24.086203299928457,198.5,-3225.25,-3225.25,-6450.5,1.0
3,1167.5833333333333,3597.75,22.846643100026995,205.25,-3597.75,-3597.75,-7195.5,1.0
4,1091.2083333333333,3201.5,24.774790100054815,200.25,-3201.5,-3201.5,-6403.0,1.0
5,1042.3333333333333,2809.25,23.799826800008304,193.25,-2809.25,-2809.25,-5618.5,1.0
6,1042.0,2826.5,20.759781799977645,192.5,-2826.5,-2826.5,-5653.0,1.0
7,1148.375,3300.0,21.31636429997161,199.25,-3300.0,-3300.0,-6600.0,1.0
8,1119.3333333333333,3071.25,26.565890700090677,195.75,-3071.25,-3071.25,-6142.5,1.0
9,1041.7916666666665,2753.5,20.413095099967904,189.75,-2753.5,-2753.5,-5507.0,1.0
10,1027.5,2490.75,21.293288100045174,185.5,-2490.75,-2490.75,-4981.5,1.0
11,944.0,2088.75,24.54834129998926,179.5,-2088.75,-2088.75,-4177.5,1.0
12,909.625,1897.75,17.683820400037803,175.0,-1897.75,-1897.75,-3795.5,1.0
13,871.5416666666666,1725.0,22.408841800061055,173.75,-1725.0,-1725.0,-3450.0,1.0
14,974.1666666666666,2036.0,22.280063900048845,178.5,-2036.0,-2036.0,-4072.0,1.0
15,879.125,1757.5,22.448388200020418,173.25,-1757.5,-1757.5,-3515.0,1.0
16,893.0416666666667,1620.0,19.31038450007327,170.25,-1620.0,-1620.0,-3240.0,1.0
17,942.8333333333334,1576.75,20.836401000036858,170.0,-1576.75,-1576.75,-3153.5,1.0
18,856.4166666666666,1594.5,21.131349300034344,171.0,-1594.5,-1594.5,-3189.0,1.0
19,884.8333333333333,1323.0,19.085744900046848,166.5,-1323.0,-1323.0,-2646.0,1.0
20,873.4166666666666,1464.5,22.70351220003795,168.25,-1464.5,-1464.5,-2929.0,1.0
21,888.9166666666666,1327.75,20.55824349995237,169.25,-1327.75,-1327.75,-2655.5,1.0
22,841.375,1455.5,21.307869900017977,170.5,-1455.5,-1455.5,-2911.0,1.0
23,899.3333333333333,1315.25,18.271696500014514,168.0,-1315.25,-1315.25,-2630.5,1.0
24,822.9583333333333,1181.0,23.248904300038703,166.0,-1181.0,-1181.0,-2362.0,1.0
25,849.5,1341.75,17.32169030001387,169.25,-1341.75,-1341.75,-2683.5,1.0
26,801.7916666666667,1293.75,21.560040000011213,168.5,-1293.75,-1293.75,-2587.5,1.0
27,822.625,1151.75,20.024572699912824,166.5,-1151.75,-1151.75,-2303.5,1.0
28,845.8333333333334,1072.0,19.210841799969785,164.75,-1072.0,-1072.0,-2144.0,1.0
29,843.0416666666667,1144.0,22.686107499990612,164.75,-1144.0,-1144.0,-2288.0,1.0
30,811.2083333333333,1100.75,20.534106300096028,164.0,-1100.75,-1100.75,-2201.5,1.0
31,871.125,1323.75,20.357267300016247,167.75,-1323.75,-1323.75,-2647.5,1.0
32,864.875,1189.75,21.198673199978657,165.25,-1189.75,-1189.75,-2379.5,1.0
33,856.25,1139.5,21.282053099945188,166.25,-1139.5,-1139.5,-2279.0,1.0
34,889.375,1145.5,16.77266740007326,164.25,-1145.5,-1145.5,-2291.0,1.0
35,801.4583333333334,1053.25,21.108886200003326,162.5,-1053.25,-1053.25,-2106.5,1.0
36,802.75,1307.5,15.651660699979402,167.25,-1307.5,-1307.5,-2615.0,1.0
37,791.0833333333334,1144.25,22.473697200068273,165.5,-1144.25,-1144.25,-2288.5,1.0
38,778.875,987.0,15.774527599918656,163.5,-987.0,-987.0,-1974.0,1.0
39,834.0,1240.0,22.801857299986295,166.5,-1240.0,-1240.0,-2480.0,1.0
40,826.375,1187.5,20.351688000024296,166.75,-1187.5,-1187.5,-2375.0,1.0
41,931.1666666666666,1212.75,20.869483400019817,165.75,-1212.75,-1212.75,-2425.5,1.0
42,828.0833333333333,1081.0,21.41226240003016,164.75,-1081.0,-1081.0,-2162.0,1.0
43,915.9583333333334,1144.25,21.862653200048953,166.75,-1144.25,-1144.25,-2288.5,1.0
44,835.4583333333333,1121.75,20.00001980003435,165.0,-1121.75,-1121.75,-2243.5,1.0
45,839.6666666666666,1039.25,20.290125400060788,165.0,-1039.25,-1039.25,-2078.5,1.0
46,846.4583333333334,1120.25,21.412373900064267,167.0,-1120.25,-1120.25,-2240.5,1.0
47,839.5416666666667,1007.75,18.662097699940205,164.75,-1007.75,-1007.75,-2015.5,1.0
48,846.4166666666666,1135.75,22.78812869999092,165.5,-1135.75,-1135.75,-2271.5,1.0
49,855.4166666666666,1099.0,19.398021599976346,165.5,-1099.0,-1099.0,-2198.0,1.0
50,833.0833333333333,1240.0,20.914460800006054,167.5,-1240.0,-1240.0,-2480.0,1.0
51,828.7083333333333,1143.0,18.57434839999769,166.5,-1143.0,-1143.0,-2286.0,1.0
52,829.2083333333333,1020.5,22.604922399972565,164.0,-1020.5,-1020.5,-2041.0,1.0
53,874.125,1117.25,19.353176999953575,165.5,-1117.25,-1117.25,-2234.5,1.0
54,843.375,1155.5,20.76259639998898,165.25,-1155.5,-1155.5,-2311.0,1.0
55,813.7083333333333,1065.5,22.131391000002623,164.25,-1065.5,-1065.5,-2131.0,1.0
56,847.25,1051.5,19.167100599966943,164.5,-1051.5,-1051.5,-2103.0,1.0
57,822.8333333333333,1135.75,21.621544699999504,165.5,-1135.75,-1135.75,-2271.5,1.0
58,821.7083333333334,1054.25,21.38493139995262,165.0,-1054.25,-1054.25,-2108.5,1.0
59,849.75,1108.0,20.54048560000956,166.0,-1108.0,-1108.0,-2216.0,1.0
60,798.2916666666666,1052.5,18.237431999994442,164.75,-1052.5,-1052.5,-2105.0,1.0
61,866.5,998.5,21.890045600011945,164.5,-998.5,-998.5,-1997.0,1.0
62,829.7916666666667,1118.0,16.184544299962,166.25,-1118.0,-1118.0,-2236.0,1.0
63,822.4583333333334,996.0,22.731017700047232,164.25,-996.0,-996.0,-1992.0,1.0
64,860.9583333333333,1050.5,17.028668400016613,164.0,-1050.5,-1050.5,-2101.0,1.0
65,796.875,1161.5,21.578122699982487,165.0,-1161.5,-1161.5,-2323.0,1.0
66,850.625,1173.5,20.229768299963325,166.25,-1173.5,-1173.5,-2347.0,1.0
67,843.9583333333333,1311.25,19.85571799997706,167.5,-1311.25,-1311.25,-2622.5,1.0
68,811.3333333333333,1242.0,20.291911800042726,167.75,-1242.0,-1242.0,-2484.0,1.0
69,837.0416666666666,1121.75,22.722069400013424,165.25,-1121.75,-1121.75,-2243.5,1.0
70,829.4583333333333,1046.25,18.134517200058326,165.25,-1046.25,-1046.25,-2092.5,1.0
71,855.4166666666666,1089.75,21.569131599972025,166.5,-1089.75,-1089.75,-2179.5,1.0
72,802.625,912.5,19.77138589997776,163.25,-912.5,-912.5,-1825.0,1.0
73,781.3333333333333,923.0,18.293054599897005,163.75,-923.0,-923.0,-1846.0,1.0
74,793.625,960.25,23.033010500017554,164.25,-960.25,-960.25,-1920.5,1.0
75,862.3333333333333,1105.5,15.810033899964765,166.5,-1105.5,-1105.5,-2211.0,1.0
76,825.5,1129.25,22.899398099980317,166.5,-1129.25,-1129.25,-2258.5,1.0
77,828.25,1199.25,19.48997250001412,167.5,-1199.25,-1199.25,-2398.5,1.0
78,839.7916666666666,1163.0,23.14839490002487,167.75,-1163.0,-1163.0,-2326.0,1.0
79,889.4166666666666,1035.75,19.76798859995324,165.0,-1035.75,-1035.75,-2071.5,1.0
80,850.2916666666666,1160.25,21.58270949998405,166.75,-1160.25,-1160.25,-2320.5,1.0
81,789.625,1060.0,19.758686700020917,165.75,-1060.0,-1060.0,-2120.0,1.0
82,818.0833333333333,1133.25,20.897699399967678,167.0,-1133.25,-1133.25,-2266.5,1.0
83,776.0,1107.5,20.95642589998897,166.75,-1107.5,-1107.5,-2215.0,1.0
84,820.5,926.0,19.51844840007834,163.25,-926.0,-926.0,-1852.0,1.0
85,767.6666666666667,1135.5,21.051268800045364,166.75,-1135.5,-1135.5,-2271.0,1.0
86,802.5833333333334,1055.75,19.93851399992127,165.0,-1055.75,-1055.75,-2111.5,1.0
87,778.375,948.75,22.007733199978247,163.75,-948.75,-948.75,-1897.5,1.0
88,817.8333333333333,966.0,17.747241199947894,163.5,-966.0,-966.0,-1932.0,1.0
89,840.1666666666666,1026.25,23.317979800049216,164.5,-1026.25,-1026.25,-2052.5,1.0
90,797.0833333333333,1028.75,18.012397399987094,165.25,-1028.75,-1028.75,-2057.5,1.0
91,789.9166666666666,949.25,21.58741140004713,162.75,-949.25,-949.25,-1898.5,1.0
92,788.75,1023.75,21.58692259993404,164.75,-1023.75,-1023.75,-2047.5,1.0
93,808.3333333333333,1091.5,19.650114000076428,166.25,-1091.5,-1091.5,-2183.0,1.0
94,817.3333333333333,1000.75,20.95946250006091,164.25,-1000.75,-1000.75,-2001.5,1.0
95,787.25,1099.0,21.65621339995414,165.75,-1099.0,-1099.0,-2198.0,1.0
96,800.0833333333334,1042.75,17.38472410000395,164.75,-1042.75,-1042.75,-2085.5,1.0
97,788.0833333333333,1109.25,20.794265699922107,166.0,-1109.25,-1109.25,-2218.5,1.0
98,822.875,891.25,17.34024859999772,163.0,-891.25,-891.25,-1782.5,1.0
99,777.0833333333333,1067.75,19.10585990000982,165.25,-1067.75,-1067.75,-2135.5,1.0
100,790.5833333333333,953.5,21.966416600043885,163.75,-953.5,-953.5,-1907.0,1.0
101,861.2916666666666,1212.0,15.61147450003773,168.25,-1212.0,-1212.0,-2424.0,1.0
102,745.2083333333333,883.5,23.280411100015044,162.25,-883.5,-883.5,-1767.0,1.0
103,819.2916666666666,916.0,17.847224699915387,163.75,-916.0,-916.0,-1832.0,1.0
104,823.2083333333333,1032.75,22.11270820000209,165.25,-1032.75,-1032.75,-2065.5,1.0
105,828.625,993.75,21.214723899960518,164.75,-993.75,-993.75,-1987.5,1.0
106,833.75,950.25,21.871161699993536,163.75,-950.25,-950.25,-1900.5,1.0
107,827.0833333333333,1013.5,19.0089936000295,164.75,-1013.5,-1013.5,-2027.0,1.0
108,805.7083333333334,844.25,23.158563500037417,162.0,-844.25,-844.25,-1688.5,1.0
109,821.8333333333334,884.0,19.29350929998327,162.75,-884.0,-884.0,-1768.0,1.0
110,805.7083333333333,1031.75,20.02355499996338,165.75,-1031.75,-1031.75,-2063.5,1.0
111,839.7916666666666,1244.75,21.05189309990965,168.25,-1244.75,-1244.75,-2489.5,1.0
112,796.5833333333333,942.5,19.67467370000668,163.5,-942.5,-942.5,-1885.0,1.0
113,816.7083333333334,1016.25,21.275475499918684,165.25,-1016.25,-1016.25,-2032.5,1.0
114,798.3333333333333,1027.25,18.824926699977368,165.0,-1027.25,-1027.25,-2054.5,1.0
115,816.7916666666666,829.0,22.99734390003141,161.75,-829.0,-829.0,-1658.0,1.0
116,802.2083333333333,961.5,18.591059099999256,163.75,-961.5,-961.5,-1923.0,1.0
117,816.4166666666666,975.75,22.07291999994777,164.25,-975.75,-975.75,-1951.5,1.0
118,792.0,819.75,19.994266900001094,161.25,-819.75,-819.75,-1639.5,1.0
119,797.8333333333333,1000.75,20.99631940003019,164.25,-1000.75,-1000.75,-2001.5,1.0
120,817.2083333333333,1036.5,21.697163700009696,164.25,-1036.5,-1036.5,-2073.0,1.0
121,800.5,1046.5,21.4066160999937,164.5,-1046.5,-1046.5,-2093.0,1.0
122,756.9166666666666,982.5,19.672945800004527,163.75,-982.5,-982.5,-1965.0,1.0
123,808.5833333333334,1043.25,20.64540899998974,164.25,-1043.25,-1043.25,-2086.5,1.0
