global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,1229.3333333333333,3429.0,135,True,-1229.3333333333333,-1229.3333333333333,-2458.6666666666665
1,1,1388.0,3352.0,135,True,-1388.0,-1388.0,-2776.0
1,2,1183.6666666666667,2651.0,121,True,-1183.6666666666667,-1183.6666666666667,-2367.3333333333335
1,3,1306.0,2693.0,124,True,-1306.0,-1306.0,-2612.0
2,0,1471.3333333333333,3430.0,137,True,-1471.3333333333333,-1471.3333333333333,-2942.6666666666665
2,1,1322.6666666666667,2903.0,127,True,-1322.6666666666667,-1322.6666666666667,-2645.3333333333335
2,2,1508.9999999999998,4116.0,147,True,-1508.9999999999998,-1508.9999999999998,-3017.9999999999995
2,3,1444.6666666666667,3720.0,139,True,-1444.6666666666667,-1444.6666666666667,-2889.3333333333335
3,0,1284.3333333333335,3455.0,138,True,-1284.3333333333335,-1284.3333333333335,-2568.666666666667
3,1,1290.0,2961.0,126,True,-1290.0,-1290.0,-2580.0
3,2,1156.0,2640.0,121,True,-1156.0,-1156.0,-2312.0
3,3,1219.6666666666667,2662.0,119,True,-1219.6666666666667,-1219.6666666666667,-2439.3333333333335
4,0,1166.0,2803.0,123,True,-1166.0,-1166.0,-2332.0
4,1,1174.8333333333333,3011.0,129,True,-1174.8333333333333,-1174.8333333333333,-2349.6666666666665
4,2,1494.0,3610.0,141,True,-1494.0,-1494.0,-2988.0
4,3,1369.6666666666667,2995.0,129,True,-1369.6666666666667,-1369.6666666666667,-2739.3333333333335
5,0,1202.6666666666665,2670.0,117,True,-1202.6666666666665,-1202.6666666666665,-2405.333333333333
5,1,1512.6666666666667,3413.0,131,True,-1512.6666666666667,-1512.6666666666667,-3025.3333333333335
5,2,1438.8333333333333,3385.0,136,True,-1438.8333333333333,-1438.8333333333333,-2877.6666666666665
5,3,1040.1666666666665,2220.0,115,True,-1040.1666666666665,-1040.1666666666665,-2080.333333333333
6,0,1460.0,3476.0,135,True,-1460.0,-1460.0,-2920.0
6,1,1429.6666666666667,3423.0,136,True,-1429.6666666666667,-1429.6666666666667,-2859.3333333333335
6,2,1119.0,2177.0,115,True,-1119.0,-1119.0,-2238.0
6,3,1433.0,3767.0,142,True,-1433.0,-1433.0,-2866.0
7,0,1246.6666666666665,2591.0,124,True,-1246.6666666666665,-1246.6666666666665,-2493.333333333333
7,1,1359.9999999999998,3720.0,144,True,-1359.9999999999998,-1359.9999999999998,-2719.9999999999995
7,2,1311.0,3053.0,131,True,-1311.0,-1311.0,-2622.0
7,3,1135.8333333333333,2309.0,115,True,-1135.8333333333333,-1135.8333333333333,-2271.6666666666665
8,0,1329.3333333333333,2809.0,125,True,-1329.3333333333333,-1329.3333333333333,-2658.6666666666665
8,1,1338.1666666666665,3604.0,142,True,-1338.1666666666665,-1338.1666666666665,-2676.333333333333
8,2,1085.5,2332.0,117,True,-1085.5,-1085.5,-2171.0
8,3,977.0,1909.0,110,True,-977.0,-977.0,-1954.0
9,0,1217.6666666666665,2890.0,126,True,-1217.6666666666665,-1217.6666666666665,-2435.333333333333
9,1,1304.6666666666667,3001.0,129,True,-1304.6666666666667,-1304.6666666666667,-2609.3333333333335
