global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,3792.333333333333,5383.0,250,True,-13.93158117343111,-13.93158117343111,-27.86316234686222
1,1,3565.1666666666665,4642.0,231,True,-12.050682973581129,-12.050682973581129,-24.101365947162257
1,2,3598.6666666666665,4825.0,239,True,-12.512370822568542,-12.512370822568542,-25.024741645137084
1,3,3693.166666666666,5441.0,252,True,-14.064184307025585,-14.064184307025585,-28.12836861405117
1,4,3642.5,4848.0,234,True,-12.57535044587048,-12.57535044587048,-25.15070089174096
1,5,3392.833333333333,3755.0,218,True,-9.81163951162597,-9.81163951162597,-19.62327902325194
2,0,3327.1666666666665,4400.0,231,True,-11.415930494207847,-11.415930494207847,-22.831860988415695
2,1,3320.333333333333,4888.0,236,True,-12.635076256354692,-12.635076256354692,-25.270152512709384
2,2,3411.1666666666665,4656.0,230,True,-12.066431369280764,-12.066431369280764,-24.132862738561528
2,3,3475.5,4263.0,226,True,-11.091973706142177,-11.091973706142177,-22.183947412284354
2,4,3572.0,4520.0,236,True,-11.746537211434278,-11.746537211434278,-23.493074422868556
2,5,3590.833333333333,4321.0,229,True,-11.251391574297852,-11.251391574297852,-22.502783148595704
3,0,3507.333333333333,3838.0,226,True,-10.033453204433698,-10.033453204433698,-20.066906408867396
3,1,3282.666666666667,3874.0,223,True,-10.095367530627547,-10.095367530627547,-20.190735061255094
3,2,3407.333333333333,4098.0,224,True,-10.67095216268022,-10.67095216268022,-21.34190432536044
3,3,3436.833333333333,4227.0,225,True,-10.997139969997502,-10.997139969997502,-21.994279939995003
3,4,3467.4999999999995,4521.0,232,True,-11.735973622801895,-11.735973622801895,-23.47194724560379
3,5,3297.0,4624.0,235,True,-11.972159346612223,-11.972159346612223,-23.944318693224446
4,0,3667.333333333333,5189.0,242,True,-13.43095487123927,-13.43095487123927,-26.86190974247854
4,1,3168.5,3824.0,218,True,-9.956095507958993,-9.956095507958993,-19.912191015917987
4,2,2736.166666666667,3783.0,218,True,-9.799549337444782,-9.799549337444782,-19.599098674889564
4,3,3186.5,3558.0,213,True,-9.293345695474617,-9.293345695474617,-18.586691390949234
4,4,3440.9999999999995,3628.0,221,True,-9.500160846737224,-9.500160846737224,-19.000321693474447
4,5,3365.666666666667,4097.0,225,True,-10.66324339528294,-10.66324339528294,-21.32648679056588
5,0,3191.833333333333,3004.0,210,True,-7.909012417701476,-7.909012417701476,-15.818024835402952
5,1,3266.333333333333,3533.0,216,True,-9.240825693807812,-9.240825693807812,-18.481651387615624
5,2,3318.833333333333,3503.0,220,True,-9.172388740728396,-9.172388740728396,-18.34477748145679
5,3,3333.5,3210.0,212,True,-8.441722226852232,-8.441722226852232,-16.883444453704463
5,4,3136.166666666667,3558.0,218,True,-9.2870535044587,-9.2870535044587,-18.5741070089174
5,5,3264.833333333333,3234.0,215,True,-8.493138178181512,-8.493138178181512,-16.986276356363025
6,0,2974.666666666667,2439.0,199,True,-6.469364322026837,-6.469364322026837,-12.938728644053674
6,1,3311.833333333333,2815.0,206,True,-7.451513667805641,-7.451513667805641,-14.903027335611283
6,2,3165.8333333333335,2960.0,208,True,-7.795762146845568,-7.795762146845568,-15.591524293691135
6,3,3227.0,3093.0,210,True,-8.13590861738478,-8.13590861738478,-16.27181723476956
6,4,3031.0,2339.0,199,True,-6.22640657554796,-6.22640657554796,-12.45281315109592
6,5,2971.166666666667,2561.0,201,True,-6.773926785565462,-6.773926785565462,-13.547853571130924
7,0,3165.833333333333,2462.0,201,True,-6.550762146845568,-6.550762146845568,-13.101524293691137
7,1,2765.3333333333335,1804.0,191,True,-4.855695474622886,-4.855695474622886,-9.711390949245772
7,2,2545.3333333333335,1207.0,180,True,-3.3356931827652323,-3.3356931827652323,-6.671386365530465
7,3,2900.3333333333335,2157.0,197,True,-5.755071880990084,-5.755071880990084,-11.510143761980167
7,4,2490.8333333333335,2001.0,192,True,-5.3138801150095825,-5.3138801150095825,-10.627760230019165
7,5,3117.666666666667,2162.0,197,True,-5.794740811734309,-5.794740811734309,-11.589481623468618
8,0,2587.3333333333335,1326.0,181,True,-3.6384436203016928,-3.6384436203016928,-7.2768872406033855
8,1,2540.1666666666665,1190.0,181,True,-3.292547295607969,-3.292547295607969,-6.585094591215938
8,2,2694.3333333333335,1309.0,183,True,-3.6093197349779156,-3.6093197349779156,-7.218639469955831
8,3,2374.666666666667,1549.0,188,True,-4.169358071505959,-4.169358071505959,-8.338716143011919
8,4,2381.1666666666665,923.0,178,True,-2.605170639219937,-2.605170639219937,-5.210341278439874
8,5,2744.8333333333335,1119.0,180,True,-3.140632761063423,-3.140632761063423,-6.281265522126846
9,0,2719.3333333333335,976.0,177,True,-2.7799449954162854,-2.7799449954162854,-5.559889990832571
9,1,2624.666666666667,1363.0,182,True,-3.735610675889659,-3.735610675889659,-7.471221351779318
9,2,2162.8333333333335,1048.0,177,True,-2.890376698058172,-2.890376698058172,-5.780753396116344
9,3,2348.8333333333335,819.0,174,True,-2.341128635719644,-2.341128635719644,-4.682257271439288
9,4,2374.666666666667,844.0,176,True,-2.4068580715059587,-2.4068580715059587,-4.813716143011917
9,5,2737.666666666667,767.0,173,True,-2.259736853071091,-2.259736853071091,-4.519473706142182
10,0,2517.8333333333335,659.0,171,True,-1.9622553962830231,-1.9622553962830231,-3.9245107925660463
10,1,2551.666666666667,893.0,175,True,-2.5514849154096217,-2.5514849154096217,-5.1029698308192435
10,2,2618.666666666667,1230.0,181,True,-3.40236061338445,-3.40236061338445,-6.8047212267689
10,3,2728.5,909.0,176,True,-2.6135909242436894,-2.6135909242436894,-5.227181848487379
10,4,2806.0,1415.0,182,True,-3.888279231602636,-3.888279231602636,-7.776558463205272
10,5,2510.666666666667,979.0,176,True,-2.761359488290691,-2.761359488290691,-5.522718976581382
11,0,2126.8333333333335,868.0,172,True,-2.4358763230269194,-2.4358763230269194,-4.871752646053839
11,1,2379.8333333333335,617.0,171,True,-1.8400039586632222,-1.8400039586632222,-3.6800079173264444
11,2,2162.8333333333335,664.0,172,True,-1.9303766980581702,-1.9303766980581702,-3.8607533961163405
11,3,2689.3333333333335,917.0,177,True,-2.628694682890244,-2.628694682890244,-5.257389365780488
11,4,2568.3333333333335,813.0,174,True,-2.3535684223685323,-2.3535684223685323,-4.7071368447370645
11,5,2245.8333333333335,684.0,173,True,-1.9907525627135594,-1.9907525627135594,-3.9815051254271188
12,0,2293.8333333333335,771.0,174,True,-2.21425306275523,-2.21425306275523,-4.42850612551046
