episode,makespan_mean,cost_mean
1,2085.7083,2946.5
2,2063.625,2859.75
3,2254.4167,3220.75
4,2048.0417,2859.75
5,2002.2917,2673.25
6,1857.625,2326.5
7,1731.8333,2068.75
8,1725.25,2061.5
9,1319.7917,968.25
10,1290.3333,963.75
11,1239.875,868.5
12,1202.625,659.5
13,1059.6667,453.0
14,1311.25,917.75
15,1181.8333,709.25
16,1116.1667,549.5
17,1138.25,547.25
18,1062.1667,423.25
19,1038.875,357.5
20,1020.2083,326.5
21,1009.0833,310.5
22,951.0833,203.0
23,945.3333,217.75
24,999.25,324.0
25,968.0833,294.5
26,953.1667,248.75
27,993.4167,337.5
28,960.125,277.75
29,963.3333,203.0
30,956.8333,263.5
31,979.0417,234.0
32,956.125,263.5
33,1020.6667,383.0
34,940.3333,217.75
35,958.5833,263.5
36,965.0417,278.25
37,960.25,248.75
38,956.3333,278.75
39,967.6667,248.75
40,944.125,203.0
41,965.0833,203.0
42,963.3333,233.0
43,1042.9167,417.25
44,956.5417,264.75
45,949.9167,278.5
46,952.5417,203.0
47,1041.6667,407.25
48,981.4167,279.0
49,990.8333,280.75
50,935.0417,214.25
51,959.2917,203.0
52,955.5417,203.0
53,961.5417,203.0
54,962.0833,203.0
55,937.375,203.0
56,943.7083,203.0
57,968.0417,278.75
58,949.3333,263.5
59,959.2917,247.25
60,950.0417,247.25
61,961.5,263.5
62,1000.2917,340.25
63,950.875,263.5
64,979.4167,339.25
65,941.3333,232.5
66,960.375,263.5
67,997.25,294.25
68,926.8333,203.0
69,933.5833,248.75
70,946.375,203.0
71,953.7917,247.75
72,938.875,232.5
73,941.5417,294.5
74,940.375,278.25
75,924.625,217.75
76,923.0833,232.5
77,935.0417,294.5
78,944.8333,263.5
79,932.8333,203.0
80,955.5417,294.5
81,935.9167,203.0
82,951.5833,222.0
83,954.5833,248.75
84,976.125,356.25
85,964.25,278.25
86,950.375,248.75
87,948.125,234.0
88,956.8333,264.0
89,939.125,203.0
90,935.625,203.0
91,1036.4167,436.0
92,1012.7917,395.0
93,953.0,257.0
94,939.625,203.0
95,954.375,263.25
96,920.1667,203.0
97,929.4167,203.0
98,934.9167,233.0
99,940.5417,217.75
100,943.7917,263.5
101,952.6667,277.75
102,944.0417,248.75
103,939.6667,257.25
104,928.375,203.0
105,926.0833,203.0
106,921.0,232.5
107,936.875,248.75
108,942.125,307.75
109,942.5833,279.75
110,932.0833,293.0
111,938.2917,279.75
112,932.5417,203.0
113,924.5833,203.0
114,925.125,203.0
115,936.1667,203.0
116,919.125,203.0
117,935.5417,203.0
118,932.5417,203.0
119,934.0417,234.0
120,941.8333,203.0
121,1000.6667,396.0
122,934.5,298.75
123,929.375,203.0
124,946.5417,203.0
125,930.125,203.0
126,948.8333,279.75
127,922.375,203.0
128,925.7917,217.75
129,936.7917,234.0
130,946.75,217.75
131,950.25,296.0
132,962.2917,341.5
133,937.7917,279.75
134,926.375,234.0
135,947.25,340.25
136,955.0417,294.5
137,932.75,293.0
138,934.3333,278.25
139,926.5833,232.5
140,923.1667,203.0
141,943.0417,234.0
142,929.0417,234.0
143,931.5833,232.5
144,941.7917,279.75
145,933.0833,217.75
146,924.5,219.25
147,934.625,294.5
148,971.4583,263.5
149,942.5833,263.5
150,944.0833,265.0
151,940.75,232.5
152,950.875,248.75
153,952.5833,203.0
154,943.7917,234.0
155,944.2917,203.0
156,931.875,203.0
157,929.0417,217.75
158,933.0417,203.0
159,955.0833,263.5
160,935.3333,279.75
161,928.3333,217.75
162,929.5833,278.75
163,1089.5,602.5
164,958.1667,298.0
165,940.25,294.5
166,935.5417,247.75
167,983.4583,326.5
168,932.625,217.75
169,938.5833,233.0
170,935.6667,232.5
171,970.9167,294.5
172,943.125,203.0
173,921.2917,203.0
174,927.625,203.0
