episode,worker_id,makespan,cost,reward,done
1,0,2463.6667,3786.0,-26.836933,True
1,1,1750.3333,2123.0,-15.456363,True
1,2,1916.8333,2550.0,-18.360086,True
1,3,2212.0,3327.0,-23.635282,True
2,0,2014.3333,2836.0,-20.289477,True
2,1,2172.8333,3001.0,-21.51557,True
2,2,1747.6667,2155.0,-15.657238,True
2,3,2319.6667,3447.0,-24.518582,True
3,0,1996.0,2567.0,-18.555843,True
3,1,2531.3333,3823.0,-27.147372,True
3,2,2220.0,3102.0,-22.211,True
3,3,2270.3333,3391.0,-24.107382,True
4,0,2008.5,2707.0,-19.461375,True
4,1,2205.5,3286.0,-23.366953,True
4,2,2136.1667,3119.0,-22.226647,True
4,3,1842.0,2327.0,-16.857015,True
5,0,1785.1667,2182.0,-15.870649,True
5,1,1804.3333,2109.0,-15.42686,True
5,2,1975.6667,2511.0,-18.176688,True
5,3,2444.0,3891.0,-27.483992,True
6,0,1967.6667,2469.0,-17.900332,True
6,1,1700.0,2035.0,-14.840236,True
6,2,1805.5,2211.0,-16.07783,True
6,3,1957.3333,2591.0,-18.665984,True
7,0,1817.6667,2246.0,-16.314204,True
7,1,1551.5,1650.0,-12.223919,True
7,2,1545.1667,1623.0,-12.044946,True
7,3,2013.0,2756.0,-19.77845,True
8,0,1573.8333,1653.0,-12.267705,True
8,1,1605.5,1751.0,-12.926899,True
8,2,1693.6667,1971.0,-14.425595,True
8,3,2028.0,2871.0,-20.527508,True
9,0,1191.3333,691.0,-5.717664,True
9,1,1354.0,829.0,-6.776387,True
9,2,1344.1667,1071.0,-8.306923,True
9,3,1389.6667,1282.0,-9.701148,True
10,0,1153.1667,723.0,-5.879313,True
10,1,1289.5,692.0,-5.832505,True
10,2,1345.0,1179.0,-8.995742,True
10,3,1373.6667,1261.0,-9.549711,True
11,0,1297.8333,906.0,-7.204771,True
11,1,1112.5,615.0,-5.146479,True
11,2,1469.3333,1370.0,-10.349687,True
11,3,1079.8333,583.0,-4.906562,True
12,0,1159.0,642.0,-5.369835,True
12,1,1140.0,450.0,-4.125911,True
12,2,1239.5,696.0,-5.802734,True
12,3,1272.0,850.0,-6.819538,True
13,0,1003.0,386.0,-3.566886,True
13,1,1081.1667,450.0,-4.060901,True
13,2,1055.0,526.0,-4.516064,True
13,3,1099.5,450.0,-4.081159,True
14,0,1504.3333,1280.0,-9.815113,True
14,1,1086.0,526.0,-4.550318,True
14,2,1308.3333,895.0,-7.146309,True
14,3,1346.3333,970.0,-7.666005,True
15,0,1148.0,634.0,-5.306725,True
15,1,1111.1667,556.0,-4.76921,True
15,2,1270.5,1027.0,-7.945269,True
15,3,1197.6667,620.0,-5.272433,True
16,0,1068.1667,526.0,-4.530613,True
16,1,1087.1667,526.0,-4.551608,True
16,2,1228.3333,696.0,-5.790395,True
16,3,1081.0,450.0,-4.060717,True
17,0,1126.3333,467.0,-4.21909,True
17,1,1128.3333,507.0,-4.476077,True
17,2,1217.3333,765.0,-6.217731,True
17,3,1081.0,450.0,-4.060717,True
18,0,1143.0,590.0,-5.020945,True
18,1,1062.5,450.0,-4.040275,True
18,2,1088.0,450.0,-4.068452,True
18,3,955.1667,203.0,-2.348426,True
19,0,1097.0,450.0,-4.078397,True
19,1,971.0,327.0,-3.155731,True
19,2,956.1667,203.0,-2.349531,True
19,3,1131.3333,450.0,-4.116334,True
20,0,1078.0,450.0,-4.057402,True
20,1,1077.8333,450.0,-4.057218,True
20,2,953.0,203.0,-2.346032,True
20,3,972.0,203.0,-2.367027,True
21,0,946.1667,203.0,-2.338482,True
21,1,1059.1667,386.0,-3.628949,True
21,2,942.0,203.0,-2.333878,True
21,3,1089.0,450.0,-4.069557,True
22,0,949.1667,203.0,-2.341797,True
22,1,965.0,203.0,-2.359292,True
22,2,951.0,203.0,-2.343822,True
22,3,939.1667,203.0,-2.330747,True
23,0,935.0,203.0,-2.326143,True
23,1,953.0,262.0,-2.721828,True
23,2,938.1667,203.0,-2.329642,True
23,3,955.1667,203.0,-2.348426,True
24,0,958.0,203.0,-2.351557,True
24,1,1027.0,386.0,-3.593405,True
24,2,989.0,321.0,-3.137404,True
24,3,1023.0,386.0,-3.588985,True
25,0,941.1667,203.0,-2.332957,True
25,1,958.0,203.0,-2.351557,True
25,2,996.0,386.0,-3.559151,True
25,3,977.1667,386.0,-3.538341,True
26,0,927.1667,203.0,-2.317487,True
26,1,940.1667,203.0,-2.331852,True
26,2,923.1667,203.0,-2.313067,True
26,3,1022.1667,386.0,-3.588065,True
27,0,973.0,321.0,-3.119724,True
27,1,956.1667,262.0,-2.725328,True
27,2,1060.5,385.0,-3.624053,True
27,3,984.0,382.0,-3.520414,True
28,0,931.1667,203.0,-2.321907,True
28,1,935.0,262.0,-2.701939,True
28,2,944.0,203.0,-2.336088,True
28,3,1030.3333,443.0,-3.960146,True
29,0,974.0,203.0,-2.369237,True
29,1,968.1667,203.0,-2.362791,True
29,2,969.1667,203.0,-2.363896,True
29,3,942.0,203.0,-2.333878,True
30,0,992.0,327.0,-3.178935,True
30,1,950.1667,203.0,-2.342902,True
30,2,960.0,321.0,-3.105359,True
30,3,925.1667,203.0,-2.315277,True
31,0,972.1667,327.0,-3.15702,True
31,1,965.0,203.0,-2.359292,True
31,2,1007.0,203.0,-2.405701,True
31,3,972.0,203.0,-2.367027,True
32,0,973.1667,386.0,-3.533921,True
32,1,970.1667,203.0,-2.365001,True
32,2,935.1667,203.0,-2.326327,True
32,3,946.0,262.0,-2.714094,True
33,0,1039.0,443.0,-3.969722,True
33,1,1044.3333,443.0,-3.975616,True
33,2,965.0,203.0,-2.359292,True
33,3,1034.3333,443.0,-3.964566,True
34,0,952.0,262.0,-2.720724,True
34,1,943.1667,203.0,-2.335167,True
34,2,935.0,203.0,-2.326143,True
34,3,931.1667,203.0,-2.321907,True
35,0,967.1667,386.0,-3.527291,True
35,1,946.0,262.0,-2.714094,True
35,2,956.1667,203.0,-2.349531,True
35,3,965.0,203.0,-2.359292,True
36,0,935.0,203.0,-2.326143,True
36,1,1026.1667,386.0,-3.592485,True
36,2,953.0,262.0,-2.721828,True
36,3,946.0,262.0,-2.714094,True
37,0,958.0,203.0,-2.351557,True
37,1,959.1667,203.0,-2.352846,True
37,2,1003.0,386.0,-3.566886,True
37,3,920.8333,203.0,-2.310489,True
38,0,935.1667,203.0,-2.326327,True
38,1,964.0,386.0,-3.523792,True
38,2,991.1667,323.0,-3.152537,True
38,3,935.0,203.0,-2.326143,True
39,0,944.1667,203.0,-2.336272,True
39,1,1016.1667,386.0,-3.581435,True
39,2,956.1667,203.0,-2.349531,True
39,3,954.1667,203.0,-2.347321,True
40,0,965.0,203.0,-2.359292,True
40,1,938.1667,203.0,-2.329642,True
40,2,938.1667,203.0,-2.329642,True
40,3,935.1667,203.0,-2.326327,True
41,0,965.0,203.0,-2.359292,True
41,1,971.1667,203.0,-2.366106,True
41,2,966.1667,203.0,-2.360581,True
41,3,958.0,203.0,-2.351557,True
42,0,989.0,323.0,-3.150143,True
42,1,945.1667,203.0,-2.337377,True
42,2,972.0,203.0,-2.367027,True
42,3,947.1667,203.0,-2.339587,True
43,0,1041.1667,450.0,-4.016702,True
43,1,1008.5,326.0,-3.190798,True
43,2,1025.0,443.0,-3.954253,True
43,3,1097.0,450.0,-4.078397,True
44,0,943.1667,203.0,-2.335167,True
44,1,935.0,203.0,-2.326143,True
44,2,925.1667,203.0,-2.315277,True
44,3,1022.8333,450.0,-3.996445,True
45,0,926.1667,262.0,-2.692178,True
45,1,939.0,262.0,-2.706359,True
45,2,1006.5,387.0,-3.577123,True
45,3,928.0,203.0,-2.318408,True
46,0,958.0,203.0,-2.351557,True
46,1,945.1667,203.0,-2.337377,True
46,2,935.0,203.0,-2.326143,True
46,3,972.0,203.0,-2.367027,True
47,0,965.0,203.0,-2.359292,True
47,1,1031.1667,450.0,-4.005653,True
47,2,1086.5,526.0,-4.550871,True
47,3,1084.0,450.0,-4.064032,True
48,0,1039.5,507.0,-4.377918,True
48,1,946.0,203.0,-2.338297,True
48,2,965.0,203.0,-2.359292,True
48,3,975.1667,203.0,-2.370526,True
49,0,950.1667,203.0,-2.342902,True
49,1,1055.0,450.0,-4.031988,True
49,2,965.0,203.0,-2.359292,True
49,3,993.1667,267.0,-2.798059,True
50,0,942.1667,203.0,-2.334062,True
50,1,987.1667,279.0,-2.867862,True
50,2,895.0,157.0,-1.98895,True
50,3,915.8333,218.0,-2.400506,True
51,0,958.0,203.0,-2.351557,True
51,1,965.0,203.0,-2.359292,True
51,2,963.1667,203.0,-2.357266,True
51,3,951.0,203.0,-2.343822,True
52,0,939.1667,203.0,-2.330747,True
52,1,946.0,203.0,-2.338297,True
52,2,965.0,203.0,-2.359292,True
52,3,972.0,203.0,-2.367027,True
53,0,958.1667,203.0,-2.351741,True
53,1,965.0,203.0,-2.359292,True
53,2,965.0,203.0,-2.359292,True
53,3,958.0,203.0,-2.351557,True
54,0,965.0,203.0,-2.359292,True
54,1,978.1667,203.0,-2.373841,True
54,2,965.0,203.0,-2.359292,True
54,3,940.1667,203.0,-2.331852,True
55,0,920.1667,203.0,-2.309752,True
55,1,912.1667,203.0,-2.300913,True
55,2,945.1667,203.0,-2.337377,True
55,3,972.0,203.0,-2.367027,True
56,0,972.0,203.0,-2.367027,True
56,1,909.8333,203.0,-2.298334,True
56,2,942.0,203.0,-2.333878,True
56,3,951.0,203.0,-2.343822,True
57,0,994.0,323.0,-3.155667,True
57,1,946.0,262.0,-2.714094,True
57,2,958.0,203.0,-2.351557,True
57,3,974.1667,327.0,-3.15923,True
58,0,947.1667,203.0,-2.339587,True
58,1,946.0,262.0,-2.714094,True
58,2,964.0,386.0,-3.523792,True
58,3,940.1667,203.0,-2.331852,True
59,0,953.0,262.0,-2.721828,True
59,1,944.1667,203.0,-2.336272,True
59,2,951.0,203.0,-2.343822,True
59,3,989.0,321.0,-3.137404,True
60,0,946.0,262.0,-2.714094,True
60,1,962.1667,262.0,-2.731957,True
60,2,946.0,203.0,-2.338297,True
60,3,946.0,262.0,-2.714094,True
61,0,946.0,203.0,-2.338297,True
61,1,935.0,262.0,-2.701939,True
61,2,1014.0,386.0,-3.579041,True
61,3,951.0,203.0,-2.343822,True
62,0,1035.0,386.0,-3.602245,True
62,1,997.1667,386.0,-3.56044,True
62,2,1011.0,386.0,-3.575726,True
62,3,958.0,203.0,-2.351557,True
63,0,990.1667,386.0,-3.552706,True
63,1,946.0,262.0,-2.714094,True
63,2,921.1667,203.0,-2.310857,True
63,3,946.1667,203.0,-2.338482,True
64,0,1015.1667,386.0,-3.58033,True
64,1,970.1667,323.0,-3.129332,True
64,2,970.1667,386.0,-3.530606,True
64,3,962.1667,262.0,-2.731957,True
65,0,954.1667,262.0,-2.723118,True
65,1,935.0,203.0,-2.326143,True
65,2,939.0,262.0,-2.706359,True
65,3,937.1667,203.0,-2.328537,True
66,0,952.1667,262.0,-2.720908,True
66,1,946.0,203.0,-2.338297,True
66,2,944.1667,203.0,-2.336272,True
66,3,999.1667,386.0,-3.56265,True
67,0,955.1667,321.0,-3.100019,True
67,1,1012.1667,203.0,-2.41141,True
67,2,976.1667,203.0,-2.371631,True
67,3,1045.5,450.0,-4.021491,True
68,0,909.1667,203.0,-2.297598,True
68,1,928.1667,203.0,-2.318592,True
68,2,915.8333,203.0,-2.304964,True
68,3,954.1667,203.0,-2.347321,True
69,0,928.0,203.0,-2.318408,True
69,1,946.0,262.0,-2.714094,True
69,2,951.1667,327.0,-3.133815,True
69,3,909.1667,203.0,-2.297598,True
70,0,934.1667,203.0,-2.325222,True
70,1,952.1667,203.0,-2.345111,True
70,2,923.0,203.0,-2.312883,True
70,3,976.1667,203.0,-2.371631,True
71,0,936.1667,203.0,-2.327432,True
71,1,951.0,203.0,-2.343822,True
71,2,989.0,323.0,-3.150143,True
71,3,939.0,262.0,-2.706359,True
72,0,939.1667,321.0,-3.082339,True
72,1,926.1667,203.0,-2.316382,True
72,2,965.0,203.0,-2.359292,True
72,3,925.1667,203.0,-2.315277,True
73,0,914.0,203.0,-2.302938,True
73,1,953.0,203.0,-2.346032,True
73,2,950.0,386.0,-3.508322,True
73,3,949.1667,386.0,-3.507402,True
74,0,957.0,386.0,-3.516057,True
74,1,932.1667,321.0,-3.074604,True
74,2,943.1667,203.0,-2.335167,True
74,3,929.1667,203.0,-2.319697,True
75,0,923.1667,203.0,-2.313067,True
75,1,920.1667,203.0,-2.309752,True
75,2,916.1667,203.0,-2.305332,True
75,3,939.0,262.0,-2.706359,True
76,0,904.1667,203.0,-2.292073,True
76,1,939.0,262.0,-2.706359,True
76,2,924.1667,203.0,-2.314172,True
76,3,925.0,262.0,-2.690889,True
77,0,922.8333,203.0,-2.312699,True
77,1,950.0,386.0,-3.508322,True
77,2,918.1667,203.0,-2.307542,True
77,3,949.1667,386.0,-3.507402,True
78,0,914.1667,203.0,-2.303123,True
78,1,939.0,262.0,-2.706359,True
78,2,951.0,203.0,-2.343822,True
78,3,975.1667,386.0,-3.536131,True
79,0,944.0,203.0,-2.336088,True
79,1,936.1667,203.0,-2.327432,True
79,2,937.1667,203.0,-2.328537,True
79,3,914.0,203.0,-2.302938,True
80,0,928.0,203.0,-2.318408,True
80,1,1007.0,386.0,-3.571306,True
80,2,964.0,386.0,-3.523792,True
80,3,923.1667,203.0,-2.313067,True
81,0,948.1667,203.0,-2.340692,True
81,1,945.1667,203.0,-2.337377,True
81,2,934.1667,203.0,-2.325222,True
81,3,916.1667,203.0,-2.305332,True
82,0,957.1667,279.0,-2.834713,True
82,1,951.0,203.0,-2.343822,True
82,2,944.0,203.0,-2.336088,True
82,3,954.1667,203.0,-2.347321,True
83,0,1011.0,386.0,-3.575726,True
83,1,923.1667,203.0,-2.313067,True
83,2,933.1667,203.0,-2.324117,True
83,3,951.0,203.0,-2.343822,True
84,0,1000.5,450.0,-3.971767,True
84,1,1019.0,386.0,-3.584566,True
84,2,946.0,327.0,-3.128106,True
84,3,939.0,262.0,-2.706359,True
85,0,937.1667,203.0,-2.328537,True
85,1,947.8333,321.0,-3.091916,True
85,2,1003.0,386.0,-3.566886,True
85,3,969.0,203.0,-2.363712,True
86,0,944.1667,203.0,-2.336272,True
86,1,942.1667,203.0,-2.334062,True
86,2,964.1667,386.0,-3.523976,True
86,3,951.0,203.0,-2.343822,True
87,0,931.1667,203.0,-2.321907,True
87,1,932.1667,203.0,-2.323012,True
87,2,951.0,203.0,-2.343822,True
87,3,978.1667,327.0,-3.16365,True
88,0,957.1667,327.0,-3.140445,True
88,1,937.1667,203.0,-2.328537,True
88,2,982.0,323.0,-3.142408,True
88,3,951.0,203.0,-2.343822,True
89,0,949.0,203.0,-2.341612,True
89,1,941.1667,203.0,-2.332957,True
89,2,924.1667,203.0,-2.314172,True
89,3,942.1667,203.0,-2.334062,True
90,0,915.1667,203.0,-2.304228,True
90,1,950.1667,203.0,-2.342902,True
90,2,935.0,203.0,-2.326143,True
90,3,942.1667,203.0,-2.334062,True
91,0,1083.3333,539.0,-4.630174,True
91,1,1161.1667,799.0,-6.372229,True
91,2,943.1667,203.0,-2.335167,True
91,3,958.0,203.0,-2.351557,True
92,0,1062.6667,539.0,-4.607338,True
92,1,953.1667,203.0,-2.346216,True
92,2,999.1667,419.0,-3.772841,True
92,3,1036.1667,419.0,-3.813725,True
93,0,919.1667,203.0,-2.308647,True
93,1,1010.5,419.0,-3.785364,True
93,2,927.1667,203.0,-2.317487,True
93,3,955.1667,203.0,-2.348426,True
94,0,917.1667,203.0,-2.306437,True
94,1,965.0,203.0,-2.359292,True
94,2,933.1667,203.0,-2.324117,True
94,3,943.1667,203.0,-2.335167,True
95,0,954.1667,321.0,-3.098914,True
95,1,951.0,203.0,-2.343822,True
95,2,992.1667,326.0,-3.17275,True
95,3,920.1667,203.0,-2.309752,True
96,0,911.1667,203.0,-2.299808,True
96,1,918.1667,203.0,-2.307542,True
96,2,927.1667,203.0,-2.317487,True
96,3,924.1667,203.0,-2.314172,True
97,0,932.1667,203.0,-2.323012,True
97,1,921.1667,203.0,-2.310857,True
97,2,916.1667,203.0,-2.305332,True
97,3,948.1667,203.0,-2.340692,True
98,0,911.1667,203.0,-2.299808,True
98,1,915.1667,203.0,-2.304228,True
98,2,935.1667,203.0,-2.326327,True
98,3,978.1667,323.0,-3.138172,True
99,0,958.0,203.0,-2.351557,True
99,1,939.0,203.0,-2.330563,True
99,2,926.1667,203.0,-2.316382,True
99,3,939.0,262.0,-2.706359,True
100,0,939.0,203.0,-2.330563,True
100,1,947.1667,203.0,-2.339587,True
100,2,939.0,262.0,-2.706359,True
100,3,950.0,386.0,-3.508322,True
101,0,946.0,262.0,-2.714094,True
101,1,1010.3333,443.0,-3.938046,True
101,2,924.1667,203.0,-2.314172,True
101,3,930.1667,203.0,-2.320802,True
102,0,950.0,386.0,-3.508322,True
102,1,922.1667,203.0,-2.311962,True
102,2,958.0,203.0,-2.351557,True
102,3,946.0,203.0,-2.338297,True
103,0,964.1667,344.0,-3.25646,True
103,1,967.1667,279.0,-2.845763,True
103,2,909.1667,203.0,-2.297598,True
103,3,918.1667,203.0,-2.307542,True
104,0,935.0,203.0,-2.326143,True
104,1,906.1667,203.0,-2.294283,True
104,2,949.1667,203.0,-2.341797,True
104,3,923.1667,203.0,-2.313067,True
105,0,925.1667,203.0,-2.315277,True
105,1,951.0,203.0,-2.343822,True
105,2,914.0,203.0,-2.302938,True
105,3,914.1667,203.0,-2.303123,True
106,0,915.8333,203.0,-2.304964,True
106,1,925.0,262.0,-2.690889,True
106,2,904.1667,203.0,-2.292073,True
106,3,939.0,262.0,-2.706359,True
107,0,939.0,203.0,-2.330563,True
107,1,923.1667,203.0,-2.313067,True
107,2,925.1667,203.0,-2.315277,True
107,3,960.1667,386.0,-3.519556,True
108,0,929.1667,262.0,-2.695493,True
108,1,942.1667,321.0,-3.085654,True
108,2,929.1667,262.0,-2.695493,True
108,3,968.0,386.0,-3.528212,True
109,0,939.0,203.0,-2.330563,True
109,1,960.1667,386.0,-3.519556,True
109,2,921.1667,203.0,-2.310857,True
109,3,950.0,327.0,-3.132526,True
110,0,950.0,386.0,-3.508322,True
110,1,932.1667,321.0,-3.074604,True
110,2,921.1667,203.0,-2.310857,True
110,3,925.0,262.0,-2.690889,True
111,0,950.0,327.0,-3.132526,True
111,1,932.1667,203.0,-2.323012,True
111,2,968.0,386.0,-3.528212,True
111,3,903.0,203.0,-2.290784,True
112,0,924.1667,203.0,-2.314172,True
112,1,946.0,203.0,-2.338297,True
112,2,946.0,203.0,-2.338297,True
112,3,914.0,203.0,-2.302938,True
113,0,914.0,203.0,-2.302938,True
113,1,946.0,203.0,-2.338297,True
113,2,919.1667,203.0,-2.308647,True
113,3,919.1667,203.0,-2.308647,True
114,0,924.1667,203.0,-2.314172,True
114,1,919.1667,203.0,-2.308647,True
114,2,922.1667,203.0,-2.311962,True
114,3,935.0,203.0,-2.326143,True
115,0,942.1667,203.0,-2.334062,True
115,1,920.1667,203.0,-2.309752,True
115,2,940.1667,203.0,-2.331852,True
115,3,942.1667,203.0,-2.334062,True
116,0,922.1667,203.0,-2.311962,True
116,1,913.1667,203.0,-2.302018,True
116,2,928.0,203.0,-2.318408,True
116,3,913.1667,203.0,-2.302018,True
117,0,946.0,203.0,-2.338297,True
117,1,939.0,203.0,-2.330563,True
117,2,922.1667,203.0,-2.311962,True
117,3,935.0,203.0,-2.326143,True
118,0,946.0,203.0,-2.338297,True
118,1,921.1667,203.0,-2.310857,True
118,2,935.0,203.0,-2.326143,True
118,3,928.0,203.0,-2.318408,True
119,0,950.0,327.0,-3.132526,True
119,1,928.0,203.0,-2.318408,True
119,2,912.1667,203.0,-2.300913,True
119,3,946.0,203.0,-2.338297,True
120,0,945.1667,203.0,-2.337377,True
120,1,951.0,203.0,-2.343822,True
120,2,913.1667,203.0,-2.302018,True
120,3,958.0,203.0,-2.351557,True
121,0,966.1667,323.0,-3.124912,True
121,1,1048.5,615.0,-5.075761,True
121,2,1030.0,443.0,-3.959778,True
121,3,958.0,203.0,-2.351557,True
122,0,957.0,386.0,-3.516057,True
122,1,903.0,203.0,-2.290784,True
122,2,928.0,203.0,-2.318408,True
122,3,950.0,403.0,-3.616603,True
123,0,921.1667,203.0,-2.310857,True
123,1,928.0,203.0,-2.318408,True
123,2,918.1667,203.0,-2.307542,True
123,3,950.1667,203.0,-2.342902,True
124,0,973.1667,203.0,-2.368316,True
124,1,946.0,203.0,-2.338297,True
124,2,928.0,203.0,-2.318408,True
124,3,939.0,203.0,-2.330563,True
125,0,927.1667,203.0,-2.317487,True
125,1,939.0,203.0,-2.330563,True
125,2,940.1667,203.0,-2.331852,True
125,3,914.1667,203.0,-2.303123,True
126,0,950.0,327.0,-3.132526,True
126,1,945.1667,203.0,-2.337377,True
126,2,972.1667,386.0,-3.532816,True
126,3,928.0,203.0,-2.318408,True
127,0,916.1667,203.0,-2.305332,True
127,1,922.1667,203.0,-2.311962,True
127,2,923.1667,203.0,-2.313067,True
127,3,928.0,203.0,-2.318408,True
128,0,912.8333,203.0,-2.301649,True
128,1,932.1667,203.0,-2.323012,True
128,2,919.1667,203.0,-2.308647,True
128,3,939.0,262.0,-2.706359,True
129,0,923.1667,203.0,-2.313067,True
129,1,928.0,203.0,-2.318408,True
129,2,950.0,327.0,-3.132526,True
129,3,946.0,203.0,-2.338297,True
130,0,951.0,203.0,-2.343822,True
130,1,939.0,203.0,-2.330563,True
130,2,939.0,262.0,-2.706359,True
130,3,958.0,203.0,-2.351557,True
131,0,950.0,386.0,-3.508322,True
131,1,951.0,203.0,-2.343822,True
131,2,950.0,268.0,-2.75673,True
131,3,950.0,327.0,-3.132526,True
132,0,932.1667,262.0,-2.698808,True
132,1,950.0,327.0,-3.132526,True
132,2,950.0,327.0,-3.132526,True
132,3,1017.0,450.0,-3.989999,True
133,0,944.8333,386.0,-3.502613,True
133,1,949.1667,327.0,-3.131605,True
133,2,928.0,203.0,-2.318408,True
133,3,929.1667,203.0,-2.319697,True
134,0,921.1667,203.0,-2.310857,True
134,1,918.1667,203.0,-2.307542,True
134,2,916.1667,203.0,-2.305332,True
134,3,950.0,327.0,-3.132526,True
135,0,950.0,386.0,-3.508322,True
135,1,950.0,327.0,-3.132526,True
135,2,939.0,262.0,-2.706359,True
135,3,950.0,386.0,-3.508322,True
136,0,946.0,203.0,-2.338297,True
136,1,950.0,327.0,-3.132526,True
136,2,957.0,386.0,-3.516057,True
136,3,967.1667,262.0,-2.737482,True
137,0,929.1667,262.0,-2.695493,True
137,1,938.8333,327.0,-3.120187,True
137,2,923.8333,262.0,-2.6896,True
137,3,939.1667,321.0,-3.082339,True
138,0,939.1667,321.0,-3.082339,True
138,1,913.1667,203.0,-2.302018,True
138,2,957.0,386.0,-3.516057,True
138,3,928.0,203.0,-2.318408,True
139,0,940.1667,203.0,-2.331852,True
139,1,925.0,321.0,-3.066685,True
139,2,913.1667,203.0,-2.302018,True
139,3,928.0,203.0,-2.318408,True
140,0,940.1667,203.0,-2.331852,True
140,1,910.1667,203.0,-2.298703,True
140,2,920.1667,203.0,-2.309752,True
140,3,922.1667,203.0,-2.311962,True
141,0,958.0,203.0,-2.351557,True
141,1,946.0,203.0,-2.338297,True
141,2,918.1667,203.0,-2.307542,True
141,3,950.0,327.0,-3.132526,True
142,0,914.0,203.0,-2.302938,True
142,1,939.0,203.0,-2.330563,True
142,2,950.0,327.0,-3.132526,True
142,3,913.1667,203.0,-2.302018,True
143,0,920.1667,203.0,-2.309752,True
143,1,939.0,203.0,-2.330563,True
143,2,939.1667,321.0,-3.082339,True
143,3,928.0,203.0,-2.318408,True
144,0,950.0,386.0,-3.508322,True
144,1,950.0,327.0,-3.132526,True
144,2,928.1667,203.0,-2.318592,True
144,3,939.0,203.0,-2.330563,True
145,0,924.1667,203.0,-2.314172,True
145,1,916.1667,203.0,-2.305332,True
145,2,946.0,262.0,-2.714094,True
145,3,946.0,203.0,-2.338297,True
146,0,914.0,203.0,-2.302938,True
146,1,936.8333,268.0,-2.742181,True
146,2,908.1667,203.0,-2.296493,True
146,3,939.0,203.0,-2.330563,True
147,0,968.1667,386.0,-3.528396,True
147,1,949.1667,386.0,-3.507402,True
147,2,918.1667,203.0,-2.307542,True
147,3,903.0,203.0,-2.290784,True
148,0,928.0,203.0,-2.318408,True
148,1,946.0,262.0,-2.714094,True
148,2,1072.8333,386.0,-3.64405,True
148,3,939.0,203.0,-2.330563,True
149,0,939.0,203.0,-2.330563,True
