global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,8422.16666666667,12036.0,397,True,-12036.0,-12036.0,-24072.0
1,1,8428.666666666668,11957.0,393,True,-11957.0,-11957.0,-23914.0
1,2,8226.333333333336,11414.0,385,True,-11414.0,-11414.0,-22828.0
1,3,9043.66666666667,12903.0,400,True,-12903.0,-12903.0,-25806.0
2,0,8310.000000000004,11539.0,387,True,-11539.0,-11539.0,-23078.0
2,1,8180.833333333335,11436.0,387,True,-11436.0,-11436.0,-22872.0
2,2,7815.16666666667,10746.0,374,True,-10746.0,-10746.0,-21492.0
2,3,7955.500000000003,10889.0,382,True,-10889.0,-10889.0,-21778.0
3,0,9074.500000000002,12406.0,394,True,-12406.0,-12406.0,-24812.0
3,1,7823.166666666667,10161.0,365,True,-10161.0,-10161.0,-20322.0
3,2,7545.66666666667,9650.0,363,True,-9650.0,-9650.0,-19300.0
3,3,8340.000000000004,11205.0,382,True,-11205.0,-11205.0,-22410.0
4,0,7653.500000000002,9658.0,362,True,-9658.0,-9658.0,-19316.0
4,1,7377.666666666669,9285.0,356,True,-9285.0,-9285.0,-18570.0
4,2,7517.333333333337,9673.0,362,True,-9673.0,-9673.0,-19346.0
4,3,8291.166666666672,10772.0,374,True,-10772.0,-10772.0,-21544.0
5,0,6301.833333333334,7783.0,342,True,-7783.0,-7783.0,-15566.0
5,1,7972.333333333334,10154.0,363,True,-10154.0,-10154.0,-20308.0
5,2,7458.833333333334,10143.0,369,True,-10143.0,-10143.0,-20286.0
5,3,7003.500000000001,8694.0,348,True,-8694.0,-8694.0,-17388.0
6,0,7130.666666666669,9731.0,363,True,-9731.0,-9731.0,-19462.0
6,1,6964.0,9069.0,353,True,-9069.0,-9069.0,-18138.0
6,2,8053.000000000002,10896.0,378,True,-10896.0,-10896.0,-21792.0
6,3,6690.5,7877.0,339,True,-7877.0,-7877.0,-15754.0
7,0,6513.666666666668,8184.0,348,True,-8184.0,-8184.0,-16368.0
7,1,6265.333333333333,7348.0,334,True,-7348.0,-7348.0,-14696.0
7,2,6948.500000000002,8385.0,347,True,-8385.0,-8385.0,-16770.0
7,3,6845.333333333334,7677.0,334,True,-7677.0,-7677.0,-15354.0
8,0,6271.0,7501.0,340,True,-7501.0,-7501.0,-15002.0
8,1,6479.166666666668,8041.0,344,True,-8041.0,-8041.0,-16082.0
8,2,5977.000000000001,6475.0,323,True,-6475.0,-6475.0,-12950.0
8,3,5888.333333333333,6307.0,321,True,-6307.0,-6307.0,-12614.0
9,0,6551.000000000001,8189.0,342,True,-8189.0,-8189.0,-16378.0
9,1,6249.166666666668,7327.0,340,True,-7327.0,-7327.0,-14654.0
9,2,5910.166666666667,6009.0,315,True,-6009.0,-6009.0,-12018.0
9,3,6417.333333333335,7333.0,336,True,-7333.0,-7333.0,-14666.0
10,0,5665.5,6053.0,318,True,-6053.0,-6053.0,-12106.0
10,1,5407.0,5323.0,310,True,-5323.0,-5323.0,-10646.0
10,2,5676.666666666668,5923.0,313,True,-5923.0,-5923.0,-11846.0
10,3,6420.166666666669,7158.0,326,True,-7158.0,-7158.0,-14316.0
11,0,5344.0,4935.0,303,True,-4935.0,-4935.0,-9870.0
11,1,5172.500000000001,4722.0,302,True,-4722.0,-4722.0,-9444.0
11,2,5867.500000000001,5096.0,301,True,-5096.0,-5096.0,-10192.0
11,3,5791.666666666667,6110.0,317,True,-6110.0,-6110.0,-12220.0
12,0,4849.5,3764.0,289,True,-3764.0,-3764.0,-7528.0
12,1,4918.0,4258.0,296,True,-4258.0,-4258.0,-8516.0
12,2,4756.500000000001,3938.0,294,True,-3938.0,-3938.0,-7876.0
12,3,4506.833333333333,3546.0,287,True,-3546.0,-3546.0,-7092.0
13,0,5223.333333333334,4322.0,294,True,-4322.0,-4322.0,-8644.0
13,1,5221.000000000001,4402.0,293,True,-4402.0,-4402.0,-8804.0
13,2,4976.166666666667,3597.0,283,True,-3597.0,-3597.0,-7194.0
13,3,5081.333333333334,4096.0,296,True,-4096.0,-4096.0,-8192.0
14,0,4290.5,3075.0,279,True,-3075.0,-3075.0,-6150.0
14,1,4738.166666666666,3564.0,286,True,-3564.0,-3564.0,-7128.0
14,2,5112.333333333334,4471.0,298,True,-4471.0,-4471.0,-8942.0
14,3,4887.333333333334,3991.0,294,True,-3991.0,-3991.0,-7982.0
15,0,4638.333333333334,3522.0,287,True,-3522.0,-3522.0,-7044.0
15,1,4716.833333333334,3035.0,283,True,-3035.0,-3035.0,-6070.0
15,2,4842.166666666667,3361.0,281,True,-3361.0,-3361.0,-6722.0
15,3,5258.333333333334,4148.0,292,True,-4148.0,-4148.0,-8296.0
16,0,4448.166666666666,3295.0,284,True,-3295.0,-3295.0,-6590.0
16,1,5073.5,4417.0,297,True,-4417.0,-4417.0,-8834.0
16,2,4432.0,3049.0,280,True,-3049.0,-3049.0,-6098.0
16,3,4061.4999999999995,1596.0,260,True,-1596.0,-1596.0,-3192.0
17,0,4617.666666666666,3259.0,282,True,-3259.0,-3259.0,-6518.0
17,1,5268.833333333334,3818.0,291,True,-3818.0,-3818.0,-7636.0
17,2,4502.5,2849.0,279,True,-2849.0,-2849.0,-5698.0
17,3,4517.333333333333,2806.0,276,True,-2806.0,-2806.0,-5612.0
18,0,4573.166666666666,2743.0,277,True,-2743.0,-2743.0,-5486.0
18,1,4522.5,2431.0,271,True,-2431.0,-2431.0,-4862.0
18,2,4751.666666666667,3053.0,280,True,-3053.0,-3053.0,-6106.0
