episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,4458.166666666669,3435.5,13.097218199982308,198.75,-5.47859616545248,-5.47859616545248,-10.95719233090496,1.0
2,4174.916666666667,3187.75,11.928348100045696,197.25,-5.094742199269111,-5.094742199269111,-10.189484398538221,1.0
3,4350.291666666667,3093.0,11.67164800001774,196.75,-5.031259474692175,-5.031259474692175,-10.06251894938435,1.0
4,3367.7499999999995,2161.5,11.555292899953201,188.25,-3.612239817230514,-3.612239817230514,-7.224479634461028,1.0
5,2915.083333333333,1568.0,11.08809780003503,181.25,-2.7590310746142395,-2.7590310746142395,-5.518062149228479,1.0
6,2559.5,1204.25,11.336853499989957,178.5,-2.213157139700326,-2.213157139700326,-4.426314279400652,1.0
7,2682.541666666667,1121.0,10.932294000056572,176.75,-2.148261171226399,-2.148261171226399,-4.296522342452798,1.0
8,2592.75,1027.25,11.272684099967591,176.25,-2.008116365852614,-2.008116365852614,-4.016232731705228,1.0
9,2434.041666666667,891.5,10.662411700002849,174.75,-1.796760843324826,-1.796760843324826,-3.593521686649652,1.0
10,2361.958333333333,557.0,10.760863099945709,168.75,-1.3696443931207196,-1.3696443931207196,-2.7392887862414392,1.0
11,2325.7916666666665,663.5,10.702781799947843,170.25,-1.4882703310855439,-1.4882703310855439,-2.9765406621710877,1.0
12,2308.1666666666665,760.25,10.699066399945877,172.0,-1.6005091681754884,-1.6005091681754884,-3.2010183363509768,1.0
13,2143.5,552.0,10.808945199940354,168.5,-1.2994183311235614,-1.2994183311235614,-2.598836662247123,1.0
14,2090.25,545.25,10.60182400001213,168.75,-1.275587817030922,-1.275587817030922,-2.551175634061844,1.0
15,2252.25,627.5,10.748948500026017,169.25,-1.4229828707069836,-1.4229828707069836,-2.845965741413967,1.0
16,2031.0416666666665,442.5,10.664845800027251,167.5,-1.133502570938416,-1.133502570938416,-2.267005141876832,1.0
17,2101.333333333333,469.0,10.827829299960285,167.5,-1.1863064263956011,-1.1863064263956011,-2.3726128527912023,1.0
18,2176.458333333333,492.0,10.657759099965915,167.75,-1.236282190192416,-1.236282190192416,-2.472564380384832,1.0
19,2252.833333333333,522.5,10.78508389997296,168.0,-1.2957270029321046,-1.2957270029321046,-2.5914540058642093,1.0
20,2030.9166666666665,585.75,10.532624799991027,169.25,-1.3073129475975267,-1.3073129475975267,-2.6146258951950534,1.0
21,2070.833333333333,443.0,10.636140800081193,167.25,-1.1457956127720035,-1.1457956127720035,-2.291591225544007,1.0
22,2102.5416666666665,427.5,10.838350999983959,167.25,-1.136297219014489,-1.136297219014489,-2.272594438028978,1.0
23,2121.2916666666665,452.0,10.798911800025962,167.25,-1.1715368366527423,-1.1715368366527423,-2.3430736733054847,1.0
24,2048.3749999999995,483.0,10.776633300003596,167.5,-1.1877436094834832,-1.1877436094834832,-2.3754872189669665,1.0
25,1936.7499999999998,412.0,10.851623200112954,167.0,-1.0687958883994124,-1.0687958883994124,-2.137591776798825,1.0
26,2067.083333333333,507.0,10.879014099948108,167.75,-1.222364194098722,-1.222364194098722,-2.444728388197444,1.0
27,2380.333333333333,595.5,10.671588200028054,169.0,-1.4217641698625183,-1.4217641698625183,-2.8435283397250366,1.0
28,2035.5416666666665,443.0,10.9362690000562,167.25,-1.1354309529580047,-1.1354309529580047,-2.2708619059160093,1.0
29,1959.583333333333,451.5,10.6287108999677,167.25,-1.1234386063707948,-1.1234386063707948,-2.2468772127415897,1.0
30,2062.625,458.5,10.84024849999696,167.5,-1.1621956218011775,-1.1621956218011775,-2.324391243602355,1.0
31,1973.5416666666665,427.5,10.668667499907315,167.0,-1.0984117564594231,-1.0984117564594231,-2.1968235129188463,1.0
32,2171.6666666666665,548.5,10.600518099963665,167.75,-1.3034429071088105,-1.3034429071088105,-2.606885814217621,1.0
33,2186.708333333333,580.75,10.839141399948858,168.25,-1.3469987798734961,-1.3469987798734961,-2.6939975597469923,1.0
34,2424.4166666666665,639.75,10.676310600014403,169.25,-1.4884122732608145,-1.4884122732608145,-2.976824546521629,1.0
35,2023.4166666666665,467.25,10.926867399946786,167.75,-1.16129962481407,-1.16129962481407,-2.32259924962814,1.0
36,1987.4999999999998,412.0,10.586107299895957,167.0,-1.083700440528634,-1.083700440528634,-2.167400881057268,1.0
37,2095.333333333333,483.0,10.751503700041212,167.5,-1.201534603120292,-1.201534603120292,-2.403069206240584,1.0
38,2226.1666666666665,498.5,10.740433699917048,168.25,-1.25876916917345,-1.25876916917345,-2.5175383383469,1.0
39,2204.083333333333,443.0,10.763144299970008,167.5,-1.1849292397910927,-1.1849292397910927,-2.3698584795821853,1.0
40,2229.4583333333335,775.5,10.806380000081845,170.75,-1.5959009333314318,-1.5959009333314318,-3.1918018666628636,1.0
41,2266.958333333333,595.75,10.685780800064094,169.0,-1.3887709453069679,-1.3887709453069679,-2.7775418906139357,1.0
42,2077.25,513.75,10.806664400035515,167.5,-1.2335417468599859,-1.2335417468599859,-2.4670834937199717,1.0
43,2062.375,482.75,10.684905900037847,168.0,-1.1915518120126025,-1.1915518120126025,-2.383103624025205,1.0
44,2201.5416666666665,518.0,10.720783099997789,167.5,-1.2752022059697092,-1.2752022059697092,-2.5504044119394185,1.0
45,2150.208333333333,484.75,10.791767099988647,167.5,-1.219774395401774,-1.219774395401774,-2.439548790803548,1.0
