global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,1210.5,1597.0,90,True,-2.7978835594650295,-2.7978835594650295,-5.595767118930059
1,1,1040.1666666666665,1833.0,91,True,-2.653491210599837,-2.653491210599837,-5.306982421199674
1,2,848.3333333333333,2185.0,97,True,-2.5375243765818842,-2.5375243765818842,-5.0750487531637685
1,3,954.1666666666666,1746.0,89,True,-2.469033096828624,-2.469033096828624,-4.938066193657248
2,0,1331.3333333333335,2213.0,96,True,-3.3242413869410683,-3.3242413869410683,-6.648482773882137
2,1,1721.1666666666665,2707.0,103,True,-4.214294358463685,-4.214294358463685,-8.42858871692737
2,2,811.3333333333333,1717.0,91,True,-2.225172192025228,-2.225172192025228,-4.450344384050456
2,3,1062.0,2192.0,93,True,-2.882632809150381,-2.882632809150381,-5.765265618300762
3,0,968.1666666666666,1948.0,97,True,-2.600704673388379,-2.600704673388379,-5.201409346776758
3,1,786.8333333333334,2003.0,96,True,-2.3407967165954386,-2.3407967165954386,-4.681593433190877
3,2,778.3333333333333,1694.0,92,True,-2.1600106496272633,-2.1600106496272633,-4.320021299254527
3,3,886.3333333333334,1745.0,86,True,-2.360132013886007,-2.360132013886007,-4.720264027772014
4,0,748.3333333333333,1610.0,92,True,-2.0666327814890115,-2.0666327814890115,-4.133265562978023
4,1,907.1666666666666,1813.0,96,True,-2.430208635879562,-2.430208635879562,-4.860417271759124
4,2,809.3333333333334,1787.0,95,True,-2.2598560917251014,-2.2598560917251014,-4.519712183450203
4,3,1029.1666666666665,1770.0,92,True,-2.601828416524903,-2.601828416524903,-5.203656833049806
5,0,654.5,1305.0,87,True,-1.7516959877183516,-1.7516959877183516,-3.503391975436703
5,1,822.3333333333333,1255.0,86,True,-1.9927440770092528,-1.9927440770092528,-3.9854881540185056
5,2,666.5,902.0,83,True,-1.5527917237182411,-1.5527917237182411,-3.1055834474364823
5,3,883.3333333333333,1309.0,87,True,-2.1194089456869007,-2.1194089456869007,-4.2388178913738015
6,0,872.3333333333334,1441.0,88,True,-2.1732656321314465,-2.1732656321314465,-4.346531264262893
6,1,606.0,1225.0,86,True,-1.6309299060896503,-1.6309299060896503,-3.2618598121793005
6,2,748.6666666666667,1542.0,90,True,-2.0303687260556273,-2.0303687260556273,-4.060737452111255
6,3,750.3333333333333,1485.0,93,True,-2.002186977027233,-2.002186977027233,-4.004373954054466
7,0,872.8333333333334,1854.0,92,True,-2.3975492026610237,-2.3975492026610237,-4.795098405322047
7,1,593.5,1032.0,86,True,-1.5065246255342102,-1.5065246255342102,-3.0130492510684204
7,2,727.5,1383.0,89,True,-1.9105171984564964,-1.9105171984564964,-3.8210343969129927
7,3,798.6666666666667,1767.0,95,True,-2.2319941772817176,-2.2319941772817176,-4.463988354563435
8,0,947.3333333333334,1257.0,89,True,-2.1935068392736126,-2.1935068392736126,-4.387013678547225
8,1,700.3333333333333,1252.0,88,True,-1.796232521472137,-1.796232521472137,-3.592465042944274
8,2,870.3333333333334,1301.0,86,True,-2.0943131681949576,-2.0943131681949576,-4.188626336389915
8,3,542.8333333333334,1063.0,85,True,-1.442362350109954,-1.442362350109954,-2.884724700219908
9,0,811.3333333333334,1097.0,83,True,-1.8896743565273917,-1.8896743565273917,-3.7793487130547834
