global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,3126.3333333333335,11752.0,426,True,-3126.3333333333335,-3126.3333333333335,-6252.666666666667
1,1,2967.8333333333335,9997.0,401,True,-2967.8333333333335,-2967.8333333333335,-5935.666666666667
1,2,3200.333333333333,11157.0,420,True,-3200.333333333333,-3200.333333333333,-6400.666666666666
1,3,3156.3333333333335,9963.0,399,True,-3156.3333333333335,-3156.3333333333335,-6312.666666666667
2,0,3204.166666666667,9826.0,394,True,-3204.166666666667,-3204.166666666667,-6408.333333333334
2,1,3309.8333333333335,12379.0,440,True,-3309.8333333333335,-3309.8333333333335,-6619.666666666667
2,2,3224.666666666667,11210.0,418,True,-3224.666666666667,-3224.666666666667,-6449.333333333334
2,3,3278.166666666667,10675.0,406,True,-3278.166666666667,-3278.166666666667,-6556.333333333334
3,0,3106.3333333333335,10795.0,413,True,-3106.3333333333335,-3106.3333333333335,-6212.666666666667
3,1,3117.8333333333335,10199.0,399,True,-3117.8333333333335,-3117.8333333333335,-6235.666666666667
3,2,3412.166666666667,11148.0,424,True,-3412.166666666667,-3412.166666666667,-6824.333333333334
3,3,2833.5,10828.0,415,True,-2833.5,-2833.5,-5667.0
4,0,2682.0,10061.0,400,True,-2682.0,-2682.0,-5364.0
4,1,3155.166666666667,10175.0,404,True,-3155.166666666667,-3155.166666666667,-6310.333333333334
4,2,2965.3333333333335,9822.0,397,True,-2965.3333333333335,-2965.3333333333335,-5930.666666666667
4,3,3537.166666666667,9438.0,393,True,-3537.166666666667,-3537.166666666667,-7074.333333333334
5,0,3346.0000000000005,9767.0,391,True,-3346.0000000000005,-3346.0000000000005,-6692.000000000001
5,1,3166.1666666666665,10233.0,409,True,-3166.1666666666665,-3166.1666666666665,-6332.333333333333
5,2,3090.666666666667,9414.0,394,True,-3090.666666666667,-3090.666666666667,-6181.333333333334
5,3,2946.4999999999995,9874.0,392,True,-2946.4999999999995,-2946.4999999999995,-5892.999999999999
6,0,3005.1666666666665,11068.0,417,True,-3005.1666666666665,-3005.1666666666665,-6010.333333333333
6,1,2920.333333333333,10831.0,412,True,-2920.333333333333,-2920.333333333333,-5840.666666666666
6,2,2733.3333333333335,9936.0,398,True,-2733.3333333333335,-2733.3333333333335,-5466.666666666667
6,3,3425.666666666667,11397.0,424,True,-3425.666666666667,-3425.666666666667,-6851.333333333334
7,0,3050.4999999999995,10155.0,404,True,-3050.4999999999995,-3050.4999999999995,-6100.999999999999
7,1,3023.6666666666665,9626.0,399,True,-3023.6666666666665,-3023.6666666666665,-6047.333333333333
7,2,3063.666666666667,10174.0,401,True,-3063.666666666667,-3063.666666666667,-6127.333333333334
7,3,2847.6666666666665,9273.0,391,True,-2847.6666666666665,-2847.6666666666665,-5695.333333333333
8,0,3419.3333333333335,10499.0,410,True,-3419.3333333333335,-3419.3333333333335,-6838.666666666667
8,1,3224.3333333333335,9542.0,395,True,-3224.3333333333335,-3224.3333333333335,-6448.666666666667
8,2,3156.4999999999995,10477.0,407,True,-3156.4999999999995,-3156.4999999999995,-6312.999999999999
8,3,3267.3333333333335,9833.0,393,True,-3267.3333333333335,-3267.3333333333335,-6534.666666666667
9,0,2907.666666666666,10355.0,405,True,-2907.666666666666,-2907.666666666666,-5815.333333333332
9,1,3007.5,10086.0,401,True,-3007.5,-3007.5,-6015.0
9,2,2853.6666666666665,10773.0,413,True,-2853.6666666666665,-2853.6666666666665,-5707.333333333333
9,3,3431.0,10170.0,402,True,-3431.0,-3431.0,-6862.0
10,0,2887.666666666667,9483.0,387,True,-2887.666666666667,-2887.666666666667,-5775.333333333334
10,1,3064.3333333333335,10272.0,404,True,-3064.3333333333335,-3064.3333333333335,-6128.666666666667
10,2,3033.6666666666665,9190.0,389,True,-3033.6666666666665,-3033.6666666666665,-6067.333333333333
10,3,3036.5000000000005,9705.0,393,True,-3036.5000000000005,-3036.5000000000005,-6073.000000000001
11,0,3303.5000000000005,9272.0,388,True,-3303.5000000000005,-3303.5000000000005,-6607.000000000001
11,1,2991.3333333333335,9704.0,399,True,-2991.3333333333335,-2991.3333333333335,-5982.666666666667
11,2,3115.166666666667,9494.0,392,True,-3115.166666666667,-3115.166666666667,-6230.333333333334
11,3,2743.6666666666665,8568.0,378,True,-2743.6666666666665,-2743.6666666666665,-5487.333333333333
12,0,3056.1666666666665,10029.0,395,True,-3056.1666666666665,-3056.1666666666665,-6112.333333333333
12,1,2854.6666666666665,9596.0,396,True,-2854.6666666666665,-2854.6666666666665,-5709.333333333333
12,2,2914.5,9869.0,405,True,-2914.5,-2914.5,-5829.0
12,3,2806.6666666666665,8278.0,378,True,-2806.6666666666665,-2806.6666666666665,-5613.333333333333
13,0,3043.5,8808.0,385,True,-3043.5,-3043.5,-6087.0
13,1,3195.3333333333335,9891.0,399,True,-3195.3333333333335,-3195.3333333333335,-6390.666666666667
13,2,2598.833333333333,8624.0,376,True,-2598.833333333333,-2598.833333333333,-5197.666666666666
13,3,3208.3333333333335,9934.0,397,True,-3208.3333333333335,-3208.3333333333335,-6416.666666666667
14,0,2800.3333333333335,9945.0,408,True,-2800.3333333333335,-2800.3333333333335,-5600.666666666667
14,1,2798.0,8727.0,381,True,-2798.0,-2798.0,-5596.0
14,2,3093.666666666667,10508.0,413,True,-3093.666666666667,-3093.666666666667,-6187.333333333334
14,3,2760.333333333334,10531.0,414,True,-2760.333333333334,-2760.333333333334,-5520.666666666668
15,0,2693.6666666666665,8665.0,382,True,-2693.6666666666665,-2693.6666666666665,-5387.333333333333
15,1,2898.5,9169.0,390,True,-2898.5,-2898.5,-5797.0
15,2,2887.3333333333335,9690.0,394,True,-2887.3333333333335,-2887.3333333333335,-5774.666666666667
15,3,2754.166666666667,9931.0,401,True,-2754.166666666667,-2754.166666666667,-5508.333333333334
16,0,2615.6666666666665,8222.0,375,True,-2615.6666666666665,-2615.6666666666665,-5231.333333333333
16,1,2566.0,8684.0,377,True,-2566.0,-2566.0,-5132.0
16,2,2683.8333333333335,7754.0,367,True,-2683.8333333333335,-2683.8333333333335,-5367.666666666667
16,3,2604.0000000000005,7644.0,361,True,-2604.0000000000005,-2604.0000000000005,-5208.000000000001
17,0,2330.0,7256.0,358,True,-2330.0,-2330.0,-4660.0
17,1,2416.1666666666665,8125.0,376,True,-2416.1666666666665,-2416.1666666666665,-4832.333333333333
17,2,2655.1666666666665,7442.0,362,True,-2655.1666666666665,-2655.1666666666665,-5310.333333333333
17,3,2589.333333333333,8115.0,376,True,-2589.333333333333,-2589.333333333333,-5178.666666666666
18,0,2397.166666666667,6805.0,354,True,-2397.166666666667,-2397.166666666667,-4794.333333333334
18,1,2550.8333333333335,7549.0,364,True,-2550.8333333333335,-2550.8333333333335,-5101.666666666667
18,2,2533.6666666666665,9573.0,397,True,-2533.6666666666665,-2533.6666666666665,-5067.333333333333
18,3,2260.0,7597.0,363,True,-2260.0,-2260.0,-4520.0
19,0,2275.833333333333,7459.0,362,True,-2275.833333333333,-2275.833333333333,-4551.666666666666
19,1,2221.166666666667,6802.0,350,True,-2221.166666666667,-2221.166666666667,-4442.333333333334
19,2,2310.333333333333,8051.0,372,True,-2310.333333333333,-2310.333333333333,-4620.666666666666
19,3,2676.8333333333335,7470.0,367,True,-2676.8333333333335,-2676.8333333333335,-5353.666666666667
20,0,2216.333333333333,6017.0,341,True,-2216.333333333333,-2216.333333333333,-4432.666666666666
20,1,1963.1666666666665,5612.0,334,True,-1963.1666666666665,-1963.1666666666665,-3926.333333333333
20,2,2187.333333333333,5590.0,330,True,-2187.333333333333,-2187.333333333333,-4374.666666666666
20,3,2051.1666666666665,6075.0,339,True,-2051.1666666666665,-2051.1666666666665,-4102.333333333333
21,0,2081.333333333333,5370.0,328,True,-2081.333333333333,-2081.333333333333,-4162.666666666666
21,1,1839.4999999999998,4918.0,323,True,-1839.4999999999998,-1839.4999999999998,-3678.9999999999995
21,2,2147.1666666666665,6480.0,350,True,-2147.1666666666665,-2147.1666666666665,-4294.333333333333
21,3,1822.6666666666665,4607.0,315,True,-1822.6666666666665,-1822.6666666666665,-3645.333333333333
22,0,2075.5,5643.0,334,True,-2075.5,-2075.5,-4151.0
22,1,1947.4999999999998,4841.0,321,True,-1947.4999999999998,-1947.4999999999998,-3894.9999999999995
22,2,2029.4999999999998,4556.0,314,True,-2029.4999999999998,-2029.4999999999998,-4058.9999999999995
22,3,2194.333333333333,5889.0,334,True,-2194.333333333333,-2194.333333333333,-4388.666666666666
23,0,1945.3333333333333,4375.0,313,True,-1945.3333333333333,-1945.3333333333333,-3890.6666666666665
23,1,2181.6666666666665,4866.0,322,True,-2181.6666666666665,-2181.6666666666665,-4363.333333333333
