episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,2556.916666666667,2139.0,6.735436399932951,159.75,-2556.916666666667,-2556.916666666667,-5113.833333333334,1.0
2,2564.5,2198.25,4.576529899612069,160.25,-2564.5,-2564.5,-5129.0,1.0
3,2570.166666666667,2327.5,4.6290142997168005,161.5,-2570.166666666667,-2570.166666666667,-5140.333333333334,1.0
4,2617.4583333333335,2373.0,4.684835200197995,162.0,-2617.4583333333335,-2617.4583333333335,-5234.916666666667,1.0
5,2586.166666666667,2254.0,4.613704299554229,160.5,-2586.166666666667,-2586.166666666667,-5172.333333333334,1.0
6,2607.75,2329.5,4.641188899986446,162.0,-2607.75,-2607.75,-5215.5,1.0
7,2602.666666666667,2379.5,4.613410199992359,163.25,-2602.666666666667,-2602.666666666667,-5205.333333333334,1.0
8,2636.75,2371.25,4.592077400069684,162.5,-2636.75,-2636.75,-5273.5,1.0
9,2633.25,2246.5,4.726073199883103,161.0,-2633.25,-2633.25,-5266.5,1.0
10,2599.75,2272.25,4.584436600096524,161.5,-2599.75,-2599.75,-5199.5,1.0
11,2673.4583333333335,2671.5,4.613048099912703,166.0,-2673.4583333333335,-2673.4583333333335,-5346.916666666667,1.0
12,2618.0,2212.5,4.672080300282687,162.25,-2618.0,-2618.0,-5236.0,1.0
13,2459.25,2024.0,4.44817310012877,159.5,-2459.25,-2459.25,-4918.5,1.0
14,2565.5,2294.0,4.654800599906594,163.25,-2565.5,-2565.5,-5131.0,1.0
15,2575.5,2175.0,4.551257399842143,162.5,-2575.5,-2575.5,-5151.0,1.0
16,2475.5,2109.0,4.470637399703264,159.25,-2475.5,-2475.5,-4951.0,1.0
17,2480.75,2072.0,4.6826718002557755,161.25,-2480.75,-2480.75,-4961.5,1.0
18,2485.4583333333335,2239.0,4.755470700096339,163.25,-2485.4583333333335,-2485.4583333333335,-4970.916666666667,1.0
19,2385.9583333333335,2192.75,4.645202400162816,162.0,-2385.9583333333335,-2385.9583333333335,-4771.916666666667,1.0
20,2264.5,1559.5,4.592690300196409,154.0,-2264.5,-2264.5,-4529.0,1.0
21,2020.6666666666667,1070.5,4.422904400154948,147.5,-2020.6666666666667,-2020.6666666666667,-4041.3333333333335,1.0
22,2028.125,1032.75,4.424158700276166,147.5,-2028.125,-2028.125,-4056.25,1.0
23,1877.7083333333335,581.5,4.353579199872911,142.0,-1877.7083333333335,-1877.7083333333335,-3755.416666666667,1.0
24,1887.2083333333335,637.25,4.255130499601364,142.5,-1887.2083333333335,-1887.2083333333335,-3774.416666666667,1.0
25,1852.625,448.5,4.31719179963693,140.25,-1852.625,-1852.625,-3705.25,1.0
26,1817.2083333333335,394.5,4.209301100112498,139.5,-1817.2083333333335,-1817.2083333333335,-3634.416666666667,1.0
27,1866.7083333333335,622.75,4.218665400054306,142.5,-1866.7083333333335,-1866.7083333333335,-3733.416666666667,1.0
28,1846.6666666666667,432.25,4.260139300022274,139.75,-1846.6666666666667,-1846.6666666666667,-3693.3333333333335,1.0
29,1856.9583333333335,452.0,4.372303300071508,140.25,-1856.9583333333335,-1856.9583333333335,-3713.916666666667,1.0
30,1866.9583333333335,579.75,4.297755399718881,142.0,-1866.9583333333335,-1866.9583333333335,-3733.916666666667,1.0
31,1838.6666666666667,394.5,4.226768400054425,139.25,-1838.6666666666667,-1838.6666666666667,-3677.3333333333335,1.0
32,1795.6666666666667,355.0,4.133948799688369,138.75,-1795.6666666666667,-1795.6666666666667,-3591.3333333333335,1.0
33,1785.125,261.5,4.104200600180775,137.75,-1785.125,-1785.125,-3570.25,1.0
34,1769.4583333333335,204.0,4.183949099853635,137.0,-1769.4583333333335,-1769.4583333333335,-3538.916666666667,1.0
35,1771.8333333333335,317.25,4.103573899716139,138.5,-1771.8333333333335,-1771.8333333333335,-3543.666666666667,1.0
36,1764.1666666666667,243.5,4.147524999920279,137.5,-1764.1666666666667,-1764.1666666666667,-3528.3333333333335,1.0
37,1741.1666666666667,243.5,4.167525200173259,137.5,-1741.1666666666667,-1741.1666666666667,-3482.3333333333335,1.0
38,1779.1666666666667,301.0,4.132761099841446,138.25,-1779.1666666666667,-1779.1666666666667,-3558.3333333333335,1.0
39,1758.375,283.0,4.0780400997027755,138.0,-1758.375,-1758.375,-3516.75,1.0
40,1752.1666666666667,243.5,4.154992900323123,137.5,-1752.1666666666667,-1752.1666666666667,-3504.3333333333335,1.0
41,1767.375,164.5,4.114092300180346,136.5,-1767.375,-1767.375,-3534.75,1.0
42,1771.9166666666667,261.5,4.0969131998717785,137.75,-1771.9166666666667,-1771.9166666666667,-3543.8333333333335,1.0
43,1789.9166666666667,164.5,4.054925499949604,136.5,-1789.9166666666667,-1789.9166666666667,-3579.8333333333335,1.0
44,1831.6666666666667,204.0,4.1530058002099395,137.0,-1831.6666666666667,-1831.6666666666667,-3663.3333333333335,1.0
45,1896.9166666666667,299.25,4.117831599898636,138.25,-1896.9166666666667,-1896.9166666666667,-3793.8333333333335,1.0
46,1785.9166666666667,261.5,4.172092800028622,137.75,-1785.9166666666667,-1785.9166666666667,-3571.8333333333335,1.0
47,1808.2083333333335,283.0,4.280291500035673,138.0,-1808.2083333333335,-1808.2083333333335,-3616.416666666667,1.0
48,1752.625,204.0,4.175644400063902,137.0,-1752.625,-1752.625,-3505.25,1.0
49,1761.4166666666667,164.5,4.2046129000373185,136.25,-1761.4166666666667,-1761.4166666666667,-3522.8333333333335,1.0
50,1770.875,261.5,4.135096900165081,137.5,-1770.875,-1770.875,-3541.75,1.0
