global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,7926.333333333334,11036.0,376,True,-15.932084593392396,-15.932084593392396,-31.864169186784792
1,1,7532.666666666668,10535.0,378,True,-15.206056706914719,-15.206056706914719,-30.412113413829438
1,2,8513.666666666668,11500.0,380,True,-16.62266858622089,-16.62266858622089,-33.24533717244178
1,3,8611.833333333338,11952.0,386,True,-17.256717485428187,-17.256717485428187,-34.51343497085637
2,0,7245.333333333334,9908.0,365,True,-14.314190079567355,-14.314190079567355,-28.62838015913471
2,1,7227.166666666667,8774.0,348,True,-12.742070612632432,-12.742070612632432,-25.484141225264864
2,2,7016.666666666667,9118.0,356,True,-13.201348710863314,-13.201348710863314,-26.40269742172663
2,3,7043.166666666666,9387.0,363,True,-13.576087212034839,-13.576087212034839,-27.152174424069678
3,0,5773.0,5923.0,314,True,-8.674661326713546,-8.674661326713546,-17.34932265342709
3,1,6236.333333333332,7159.0,331,True,-10.424379353259503,-10.424379353259503,-20.848758706519007
3,2,6207.166666666668,6961.0,329,True,-10.147761209885743,-10.147761209885743,-20.295522419771487
3,3,6569.666666666669,8110.0,350,True,-11.768752911088658,-11.768752911088658,-23.537505822177316
4,0,5339.833333333333,4873.0,302,True,-7.1850225420541705,-7.1850225420541705,-14.370045084108341
4,1,5639.333333333333,6145.0,323,True,-8.9712337350102,-8.9712337350102,-17.9424674700204
4,2,5203.833333333334,5363.0,314,True,-7.852595692786745,-7.852595692786745,-15.70519138557349
4,3,5482.000000000001,4721.0,299,True,-6.986096617930904,-6.986096617930904,-13.972193235861807
5,0,4940.833333333333,3936.0,293,True,-5.8546813545514995,-5.8546813545514995,-11.709362709102999
5,1,4423.0,3048.0,280,True,-4.582510744375255,-4.582510744375255,-9.16502148875051
5,2,5137.833333333333,4469.0,301,True,-6.608983135538782,-6.608983135538782,-13.217966271077564
5,3,4609.0,3348.0,287,True,-5.013200275516507,-5.013200275516507,-10.026400551033014
6,0,4079.9999999999995,2269.0,271,True,-3.4755755611252885,-3.4755755611252885,-6.951151122250577
6,1,3915.0,2099.0,271,True,-3.226654971329498,-3.226654971329498,-6.453309942658996
6,2,4484.833333333332,2984.0,281,True,-4.498913507496612,-4.498913507496612,-8.997827014993224
6,3,4020.4999999999995,1818.0,265,True,-2.846066792410124,-2.846066792410124,-5.692133584820248
7,0,3813.3333333333335,1434.0,261,True,-2.2973066317594717,-2.2973066317594717,-4.594613263518943
7,1,3711.3333333333335,1499.0,262,True,-2.3790114255568215,-2.3790114255568215,-4.758022851113643
7,2,3790.3333333333335,1347.0,258,True,-2.174931282862056,-2.174931282862056,-4.349862565724112
7,3,3961.5,1345.0,258,True,-2.186127908131428,-2.186127908131428,-4.372255816262856
8,0,3804.8333333333335,1392.0,259,True,-2.238441311020975,-2.238441311020975,-4.47688262204195
8,1,3602.8333333333335,911.0,254,True,-1.5557537050596095,-1.5557537050596095,-3.111507410119219
8,2,3848.3333333333335,1354.0,259,True,-2.189359207132085,-2.189359207132085,-4.37871841426417
8,3,4304.333333333334,1518.0,262,True,-2.4537143118047,-2.4537143118047,-4.9074286236094
9,0,3665.333333333333,1039.0,254,True,-1.7381388441054857,-1.7381388441054857,-3.4762776882109714
9,1,3558.8333333333335,1150.0,256,True,-1.8831883621851626,-1.8831883621851626,-3.7663767243703252
9,2,3474.8333333333335,805.0,253,True,-1.398494868271496,-1.398494868271496,-2.796989736542992
9,3,3890.333333333333,909.0,252,True,-1.576442796194184,-1.576442796194184,-3.152885592388368
10,0,3983.6666666666665,1413.0,255,True,-2.282119469948675,-2.282119469948675,-4.56423893989735
10,1,3858.333333333333,1089.0,257,True,-1.8231391673295656,-1.8231391673295656,-3.646278334659131
10,2,4030.0,1481.0,262,True,-2.380082962353963,-2.380082962353963,-4.760165924707926
10,3,3766.333333333333,1418.0,257,True,-2.271310901933815,-2.271310901933815,-4.54262180386763
11,0,4059.666666666667,1971.0,266,True,-3.0611740372556064,-3.0611740372556064,-6.122348074511213
11,1,3558.5,1156.0,257,True,-1.8914714124500502,-1.8914714124500502,-3.7829428249001005
11,2,3606.3333333333335,846.0,254,True,-1.4660115941758196,-1.4660115941758196,-2.932023188351639
11,3,3485.3333333333335,876.0,253,True,-1.4976895882517018,-1.4976895882517018,-2.9953791765034037
12,0,3725.833333333333,1184.0,257,True,-1.9439064952669893,-1.9439064952669893,-3.8878129905339787
12,1,3706.3333333333335,1449.0,260,True,-2.309351362355589,-2.309351362355589,-4.618702724711178
12,2,3462.833333333333,987.0,254,True,-1.6495932650649927,-1.6495932650649927,-3.2991865301299854
12,3,3837.3333333333335,1336.0,257,True,-2.163530890804057,-2.163530890804057,-4.327061781608114
13,0,4204.0,1507.0,261,True,-2.4302919429202836,-2.4302919429202836,-4.860583885840567
13,1,3828.3333333333335,1332.0,258,True,-2.157256350449039,-2.157256350449039,-4.314512700898078
13,2,4197.833333333333,1642.0,259,True,-2.6167693700505836,-2.6167693700505836,-5.233538740101167
13,3,4086.333333333333,974.0,252,True,-1.6824635340703042,-1.6824635340703042,-3.3649270681406085
14,0,4118.166666666666,1882.0,267,True,-2.9426787711698585,-2.9426787711698585,-5.885357542339717
14,1,4068.8333333333335,1271.0,257,True,-2.092392925054358,-2.092392925054358,-4.184785850108716
14,2,4184.5,2416.0,275,True,-3.687703569011657,-3.687703569011657,-7.375407138023314
14,3,3845.3333333333335,1746.0,265,True,-2.732050703837386,-2.732050703837386,-5.464101407674772
15,0,4468.5,1943.0,268,True,-3.0557524995618754,-3.0557524995618754,-6.111504999123751
15,1,4762.833333333334,2891.0,276,True,-4.39278864475383,-4.39278864475383,-8.78557728950766
15,2,3924.0,1661.0,264,True,-2.6207411460335432,-2.6207411460335432,-5.2414822920670865
15,3,4143.5,1724.0,265,True,-2.7259093333100264,-2.7259093333100264,-5.451818666620053
16,0,3784.3333333333335,1868.0,267,True,-2.896048348294816,-2.896048348294816,-5.792096696589632
16,1,3669.3333333333335,1429.0,261,True,-2.2786314376027605,-2.2786314376027605,-4.557262875205521
16,2,3770.9999999999995,2093.0,270,True,-3.20659473562154,-3.20659473562154,-6.41318947124308
16,3,3970.3333333333335,1878.0,268,True,-2.925075829574567,-2.925075829574567,-5.850151659149134
17,0,3475.8333333333335,840.0,253,True,-1.4470529196929052,-1.4470529196929052,-2.8941058393858103
