episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,1250.5833333333335,690.75,3.2188667999580503,57.75,-1.290780141843972,-1.290780141843972,-2.581560283687944,1.0
2,1235.25,676.25,0.4249820001423359,56.5,-1.2709441489361704,-1.2709441489361704,-2.5418882978723407,1.0
3,1220.6666666666667,657.75,0.42602770030498505,56.5,-1.2489472517730498,-1.2489472517730498,-2.4978945035460995,1.0
4,1245.8333333333335,660.75,0.4827621001750231,57.5,-1.2676750886524826,-1.2676750886524826,-2.535350177304965,1.0
5,1178.5833333333335,597.0,0.424093599896878,57.25,-1.1805740248226952,-1.1805740248226952,-2.3611480496453905,1.0
6,1202.8333333333335,658.75,0.501814799848944,58.5,-1.2377548758865249,-1.2377548758865249,-2.4755097517730498,1.0
7,1258.0833333333335,682.25,0.4521277998574078,59.25,-1.2901152482269505,-1.2901152482269505,-2.580230496453901,1.0
8,1219.0,659.75,0.4939653999172151,56.5,-1.2491688829787235,-1.2491688829787235,-2.498337765957447,1.0
9,1246.6666666666667,708.0,0.4225914999842644,57.75,-1.2996453900709222,-1.2996453900709222,-2.5992907801418443,1.0
10,1298.9166666666667,682.0,0.5037916000001132,58.5,-1.3170988475177305,-1.3170988475177305,-2.634197695035461,1.0
11,1231.0833333333335,678.0,0.43522900016978383,58.0,-1.2693373226950357,-1.2693373226950357,-2.5386746453900715,1.0
12,1219.9166666666667,551.0,0.5048094000667334,57.5,-1.1774711879432624,-1.1774711879432624,-2.354942375886525,1.0
13,1278.6666666666667,663.0,0.4197526001371443,57.25,-1.2910017730496455,-1.2910017730496455,-2.582003546099291,1.0
14,1220.6666666666667,598.75,0.4970916002057493,59.0,-1.2097185283687946,-1.2097185283687946,-2.419437056737589,1.0
15,1209.5,545.75,0.48646280029788613,58.0,-1.1670545212765957,-1.1670545212765957,-2.3341090425531914,1.0
16,1249.1666666666667,584.25,0.48965399991720915,58.0,-1.2190270390070925,-1.2190270390070925,-2.438054078014185,1.0
17,1253.3333333333335,534.0,0.4369524996727705,57.75,-1.1883865248226952,-1.1883865248226952,-2.3767730496453905,1.0
18,1304.6666666666667,601.5,0.5057406998239458,58.0,-1.2673980496453905,-1.2673980496453905,-2.534796099290781,1.0
19,1240.25,478.5,0.42862499970942736,57.0,-1.1427859042553195,-1.1427859042553195,-2.285571808510639,1.0
20,1222.25,514.0,0.4869913002476096,56.25,-1.1544215425531916,-1.1544215425531916,-2.3088430851063833,1.0
21,1203.5,421.25,0.4476827997714281,57.0,-1.0802859042553195,-1.0802859042553195,-2.160571808510639,1.0
22,1267.0,469.75,0.48963919980451465,56.25,-1.1547539893617023,-1.1547539893617023,-2.3095079787234045,1.0
23,1237.75,464.0,0.4384623998776078,57.0,-1.1314827127659577,-1.1314827127659577,-2.2629654255319154,1.0
24,1235.0833333333335,416.0,0.5061947996728122,56.75,-1.0977947695035464,-1.0977947695035464,-2.1955895390070927,1.0
25,1205.9166666666667,438.5,0.44172410015016794,57.75,-1.0933621453900713,-1.0933621453900713,-2.1867242907801425,1.0
26,1182.6666666666667,438.5,0.5039148000068963,57.25,-1.0779033687943265,-1.0779033687943265,-2.155806737588653,1.0
27,1209.0833333333335,416.0,0.429196999873966,57.5,-1.0805075354609932,-1.0805075354609932,-2.1610150709219864,1.0
28,1232.5,483.5,0.5144210001453757,58.25,-1.1409574468085109,-1.1409574468085109,-2.2819148936170217,1.0
29,1202.9166666666667,452.25,0.4408488003537059,57.75,-1.1005097517730498,-1.1005097517730498,-2.2010195035460995,1.0
30,1191.6666666666667,421.0,0.5056142997927964,57.75,-1.0722517730496457,-1.0722517730496457,-2.1445035460992914,1.0
31,1202.75,376.0,0.4151115003041923,57.5,-1.0497007978723407,-1.0497007978723407,-2.0994015957446814,1.0
32,1185.0833333333335,426.25,0.49719970021396875,58.25,-1.0713652482269505,-1.0713652482269505,-2.142730496453901,1.0
33,1223.6666666666667,421.0,0.4396402998827398,58.25,-1.0935283687943265,-1.0935283687943265,-2.187056737588653,1.0
34,1196.3333333333335,398.5,0.49780490016564727,58.0,-1.0603945035460995,-1.0603945035460995,-2.120789007092199,1.0
35,1178.0,393.5,0.4261686000972986,57.25,-1.0448803191489362,-1.0448803191489362,-2.0897606382978724,1.0
36,1142.5,384.75,0.4878810001537204,57.5,-1.0154587765957448,-1.0154587765957448,-2.0309175531914896,1.0
37,1182.0833333333335,398.5,0.4255825001746416,57.75,-1.0509197695035464,-1.0509197695035464,-2.1018395390070927,1.0
38,1176.8333333333335,398.5,0.48963400023058057,58.25,-1.0474290780141846,-1.0474290780141846,-2.0948581560283692,1.0
39,1191.6666666666667,446.25,0.43152449978515506,59.0,-1.0890403368794328,-1.0890403368794328,-2.1780806737588656,1.0
40,1128.75,376.0,0.5120680001564324,57.75,-1.000498670212766,-1.000498670212766,-2.000997340425532,1.0
41,1159.8333333333335,398.5,0.4339982997626066,58.25,-1.036125886524823,-1.036125886524823,-2.072251773049646,1.0
42,1193.9166666666667,421.0,0.5123636000789702,58.0,-1.0737477836879434,-1.0737477836879434,-2.147495567375887,1.0
43,1155.8333333333335,398.5,0.40717600006610155,58.0,-1.033466312056738,-1.033466312056738,-2.066932624113476,1.0
44,1217.0,443.5,0.4940735003910959,57.75,-1.10405585106383,-1.10405585106383,-2.20811170212766,1.0
45,1128.0,376.0,0.436315200291574,57.5,-1.0000000000000002,-1.0000000000000002,-2.0000000000000004,1.0
46,1142.5,376.0,0.42489369958639145,57.75,-1.0096409574468088,-1.0096409574468088,-2.0192819148936176,1.0
47,1152.25,376.0,0.5047863000072539,58.0,-1.0161236702127663,-1.0161236702127663,-2.0322473404255326,1.0
48,1185.6666666666667,421.0,0.42531839990988374,58.0,-1.068262411347518,-1.068262411347518,-2.136524822695036,1.0
49,1204.0,443.5,0.49479119991883636,57.75,-1.0954122340425534,-1.0954122340425534,-2.190824468085107,1.0
50,1155.8333333333335,415.25,0.42104220017790794,58.25,-1.0446032801418443,-1.0446032801418443,-2.0892065602836887,1.0
51,1153.3333333333335,398.5,0.48531510028988123,58.0,-1.0318040780141846,-1.0318040780141846,-2.0636081560283692,1.0
52,1128.0,376.0,0.42769329994916916,58.0,-1.0000000000000002,-1.0000000000000002,-2.0000000000000004,1.0
53,1191.1666666666667,421.0,0.5117715001106262,58.25,-1.071919326241135,-1.071919326241135,-2.14383865248227,1.0
54,1188.1666666666667,437.75,0.43555419985204935,58.5,-1.0810616134751776,-1.0810616134751776,-2.162123226950355,1.0
55,1182.0833333333335,398.5,0.4926434000954032,57.75,-1.0509197695035464,-1.0509197695035464,-2.1018395390070927,1.0
56,1191.6666666666667,421.0,0.44182119984179735,58.5,-1.0722517730496457,-1.0722517730496457,-2.1445035460992914,1.0
57,1181.0,376.0,0.49637609999626875,57.5,-1.035239361702128,-1.035239361702128,-2.070478723404256,1.0
58,1128.5,376.0,0.42904970003291965,58.0,-1.0003324468085109,-1.0003324468085109,-2.0006648936170217,1.0
59,1199.6666666666667,421.0,0.5090157999657094,58.25,-1.0775709219858158,-1.0775709219858158,-2.1551418439716317,1.0
60,1153.5833333333335,423.75,0.4301180997863412,58.25,-1.0487588652482271,-1.0487588652482271,-2.0975177304964543,1.0
61,1140.0,376.0,0.507264900021255,58.0,-1.0079787234042556,-1.0079787234042556,-2.0159574468085113,1.0
62,1188.3333333333335,398.5,0.4330881000496447,57.75,-1.0550753546099294,-1.0550753546099294,-2.110150709219859,1.0
