global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,1413.3333333333333,5245.0,217,True,-5245.0,-5245.0,-10490.0
1,1,1668.3333333333333,6457.0,230,True,-6457.0,-6457.0,-12914.0
1,2,1565.3333333333333,5554.0,218,True,-5554.0,-5554.0,-11108.0
1,3,1585.0,6729.0,238,True,-6729.0,-6729.0,-13458.0
2,0,1438.3333333333335,5615.0,217,True,-5615.0,-5615.0,-11230.0
2,1,1335.0000000000002,5028.0,212,True,-5028.0,-5028.0,-10056.0
2,2,1369.3333333333333,4822.0,207,True,-4822.0,-4822.0,-9644.0
2,3,1310.8333333333333,5143.0,210,True,-5143.0,-5143.0,-10286.0
3,0,1700.666666666667,6358.0,227,True,-6358.0,-6358.0,-12716.0
3,1,1561.3333333333335,6296.0,228,True,-6296.0,-6296.0,-12592.0
3,2,1571.1666666666667,5837.0,218,True,-5837.0,-5837.0,-11674.0
3,3,1392.5,5490.0,216,True,-5490.0,-5490.0,-10980.0
4,0,1602.6666666666667,6039.0,221,True,-6039.0,-6039.0,-12078.0
4,1,1382.0000000000002,5464.0,220,True,-5464.0,-5464.0,-10928.0
4,2,1472.0,5405.0,210,True,-5405.0,-5405.0,-10810.0
4,3,1255.3333333333333,4388.0,200,True,-4388.0,-4388.0,-8776.0
5,0,1618.3333333333335,6099.0,229,True,-6099.0,-6099.0,-12198.0
5,1,1428.6666666666665,4834.0,205,True,-4834.0,-4834.0,-9668.0
5,2,1472.1666666666667,5375.0,215,True,-5375.0,-5375.0,-10750.0
5,3,1327.3333333333333,4372.0,200,True,-4372.0,-4372.0,-8744.0
6,0,1398.0,4960.0,206,True,-4960.0,-4960.0,-9920.0
6,1,1348.8333333333333,5060.0,212,True,-5060.0,-5060.0,-10120.0
6,2,1595.1666666666667,6185.0,231,True,-6185.0,-6185.0,-12370.0
6,3,1429.3333333333333,5084.0,212,True,-5084.0,-5084.0,-10168.0
7,0,1489.9999999999998,6036.0,226,True,-6036.0,-6036.0,-12072.0
7,1,1334.3333333333335,4747.0,204,True,-4747.0,-4747.0,-9494.0
7,2,1398.3333333333333,4613.0,204,True,-4613.0,-4613.0,-9226.0
7,3,1387.6666666666665,4878.0,207,True,-4878.0,-4878.0,-9756.0
8,0,1266.6666666666665,4230.0,198,True,-4230.0,-4230.0,-8460.0
8,1,1425.5000000000002,5097.0,208,True,-5097.0,-5097.0,-10194.0
8,2,1280.3333333333333,4124.0,196,True,-4124.0,-4124.0,-8248.0
8,3,1463.3333333333333,5154.0,213,True,-5154.0,-5154.0,-10308.0
9,0,1387.5,5073.0,208,True,-5073.0,-5073.0,-10146.0
9,1,1249.8333333333333,4039.0,198,True,-4039.0,-4039.0,-8078.0
9,2,1388.0000000000002,4551.0,206,True,-4551.0,-4551.0,-9102.0
9,3,1400.6666666666665,4774.0,203,True,-4774.0,-4774.0,-9548.0
10,0,1356.8333333333333,5236.0,215,True,-5236.0,-5236.0,-10472.0
10,1,1347.3333333333333,4811.0,213,True,-4811.0,-4811.0,-9622.0
