episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,1997.0416666666665,1068.75,3.078693199902773,73.5,-1997.0416666666665,-1997.0416666666665,-3994.083333333333,1.0
2,1958.0833333333333,949.25,0.5464409999549389,70.5,-1958.0833333333333,-1958.0833333333333,-3916.1666666666665,1.0
3,2088.8333333333335,1135.75,0.6727427998557687,74.5,-2088.8333333333335,-2088.8333333333335,-4177.666666666667,1.0
4,2041.9583333333333,1018.25,0.5432679997757077,72.0,-2041.9583333333333,-2041.9583333333333,-4083.9166666666665,1.0
5,2108.3333333333335,1113.5,0.6156533998437226,74.5,-2108.3333333333335,-2108.3333333333335,-4216.666666666667,1.0
6,1920.375,990.5,0.6067675999365747,71.25,-1920.375,-1920.375,-3840.75,1.0
7,2152.916666666667,1220.5,0.5553951999172568,75.5,-2152.916666666667,-2152.916666666667,-4305.833333333334,1.0
8,1916.2916666666667,1046.0,0.6058140997774899,72.75,-1916.2916666666667,-1916.2916666666667,-3832.5833333333335,1.0
9,2152.125,1213.75,0.5487902001477778,74.75,-2152.125,-2152.125,-4304.25,1.0
10,1983.3333333333333,1093.25,0.6120465998537838,72.75,-1983.3333333333333,-1983.3333333333333,-3966.6666666666665,1.0
11,2042.25,1097.5,0.6363297002390027,74.75,-2042.25,-2042.25,-4084.5,1.0
12,2039.0833333333335,1060.25,0.5466233999468386,72.75,-2039.0833333333335,-2039.0833333333335,-4078.166666666667,1.0
13,1799.0,894.0,0.6049537998624146,71.75,-1799.0,-1799.0,-3598.0,1.0
14,1867.5416666666665,913.25,0.624965799972415,72.5,-1867.5416666666665,-1867.5416666666665,-3735.083333333333,1.0
15,1880.0833333333335,929.0,0.5441272999159992,71.75,-1880.0833333333335,-1880.0833333333335,-3760.166666666667,1.0
16,1927.2083333333333,1028.0,0.6087344000115991,73.25,-1927.2083333333333,-1927.2083333333333,-3854.4166666666665,1.0
