global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,1285.5,4603.0,224,True,-4.495425798913888,-4.495425798913888,-8.990851597827776
1,1,1388.0,5482.0,240,True,-5.2985530752263115,-5.2985530752263115,-10.597106150452623
1,2,1307.1666666666667,4598.0,221,True,-4.499467400078465,-4.499467400078465,-8.99893480015693
1,3,1362.6666666666665,4174.0,215,True,-4.152675668998941,-4.152675668998941,-8.305351337997882
2,0,1241.5,3929.0,206,True,-3.892990811003492,-3.892990811003492,-7.785981622006984
2,1,1366.5,4765.0,228,True,-4.667476953751772,-4.667476953751772,-9.334953907503545
2,2,1278.3333333333335,4868.0,227,True,-4.72282042122878,-4.72282042122878,-9.44564084245756
2,3,1321.5,4899.0,226,True,-4.766450014163205,-4.766450014163205,-9.53290002832641
3,0,1125.1666666666665,3680.0,208,True,-3.631702084633028,-3.631702084633028,-7.263404169266056
3,1,1265.1666666666665,4214.0,214,True,-4.149688232142834,-4.149688232142834,-8.299376464285668
3,2,1256.8333333333333,4499.0,216,True,-4.39400255105709,-4.39400255105709,-8.78800510211418
3,3,1278.0,4415.0,217,True,-4.329234568970876,-4.329234568970876,-8.658469137941752
4,0,1150.8333333333333,3453.0,202,True,-3.4444716546411738,-3.4444716546411738,-6.8889433092823475
4,1,1316.3333333333333,4763.0,223,True,-4.6463267448141865,-4.6463267448141865,-9.292653489628373
4,2,1146.6666666666667,3528.0,205,True,-3.508001136043867,-3.508001136043867,-7.016002272087734
4,3,1189.0,3486.0,202,True,-3.487903504239716,-3.487903504239716,-6.975807008479432
5,0,1044.8333333333333,3323.0,201,True,-3.2905400633787014,-3.2905400633787014,-6.581080126757403
5,1,1243.9999999999998,3533.0,196,True,-3.5500091962788396,-3.5500091962788396,-7.100018392557679
5,2,1129.8333333333333,2970.0,196,True,-3.0168316363942593,-3.0168316363942593,-6.033663272788519
5,3,1105.3333333333333,3127.0,196,True,-3.1437144601168123,-3.1437144601168123,-6.287428920233625
6,0,1083.0,2684.0,188,True,-2.7503008070131467,-2.7503008070131467,-5.500601614026293
6,1,1132.8333333333333,3388.0,200,True,-3.3810498770686257,-3.3810498770686257,-6.762099754137251
6,2,1120.5,2778.0,193,True,-2.846456725112675,-2.846456725112675,-5.69291345022535
6,3,1013.1666666666667,2446.0,186,True,-2.5165604161909036,-2.5165604161909036,-5.033120832381807
7,0,1019.1666666666667,2310.0,182,True,-2.40075833355585,-2.40075833355585,-4.8015166671117
7,1,986.3333333333334,2595.0,187,True,-2.635591839829019,-2.635591839829019,-5.271183679658038
7,2,938.0,2010.0,180,True,-2.1087816527048164,-2.1087816527048164,-4.217563305409633
7,3,1048.6666666666665,2325.0,185,True,-2.425202378820587,-2.425202378820587,-4.850404757641174
8,0,1077.0,2472.0,187,True,-2.563844638345365,-2.563844638345365,-5.12768927669073
8,1,972.5,2003.0,176,True,-2.1160522774374484,-2.1160522774374484,-4.232104554874897
8,2,889.5,1810.0,175,True,-1.916301874715126,-1.916301874715126,-3.832603749430252
8,3,990.5,2482.0,187,True,-2.5390571470771617,-2.5390571470771617,-5.078114294154323
9,0,913.5,2137.0,179,True,-2.209607730625401,-2.209607730625401,-4.419215461250802
9,1,882.8333333333333,1638.0,173,True,-1.7643300524869459,-1.7643300524869459,-3.5286601049738917
9,2,932.0,1517.0,168,True,-1.6782606316919275,-1.6782606316919275,-3.356521263383855
9,3,1094.5,2158.0,179,True,-2.2978893746474367,-2.2978893746474367,-4.595778749294873
10,0,770.3333333333333,1519.0,172,True,-1.6174372837123907,-1.6174372837123907,-3.2348745674247814
10,1,878.5,1166.0,164,True,-1.3526937067763225,-1.3526937067763225,-2.705387413552645
10,2,962.1666666666667,1799.0,171,True,-1.934867695890543,-1.934867695890543,-3.869735391781086
10,3,823.8333333333334,1518.0,173,True,-1.6372717245515618,-1.6372717245515618,-3.2745434491031236
11,0,922.5,1375.0,171,True,-1.5512491347562014,-1.5512491347562014,-3.102498269512403
11,1,783.6666666666667,1181.0,167,True,-1.3290242402706642,-1.3290242402706642,-2.6580484805413285
11,2,942.3333333333334,1550.0,170,True,-1.7109217621676116,-1.7109217621676116,-3.421843524335223
11,3,881.5,1598.0,172,True,-1.729071762158274,-1.729071762158274,-3.458143524316548
12,0,908.0,1400.0,168,True,-1.5673519963954317,-1.5673519963954317,-3.1347039927908633
12,1,892.5,1113.0,163,True,-1.3120777297496544,-1.3120777297496544,-2.624155459499309
12,2,984.0,1637.0,175,True,-1.8026101560155707,-1.8026101560155707,-3.6052203120311415
12,3,798.6666666666667,1058.0,167,True,-1.227996161650603,-1.227996161650603,-2.455992323301206
13,0,880.5,1002.0,165,True,-1.2110241069479613,-1.2110241069479613,-2.4220482138959225
13,1,862.5,1214.0,167,True,-1.3881929489469278,-1.3881929489469278,-2.7763858978938556
13,2,916.5,1516.0,171,True,-1.6713940083582501,-1.6713940083582501,-3.3427880167165003
13,3,816.6666666666667,1110.0,166,True,-1.2801266827089601,-1.2801266827089601,-2.5602533654179203
14,0,926.8333333333333,1367.0,170,True,-1.5459775476353235,-1.5459775476353235,-3.091955095270647
14,1,854.6666666666667,1205.0,166,True,-1.3773446449741558,-1.3773446449741558,-2.7546892899483115
14,2,865.8333333333334,1523.0,173,True,-1.6578673371889874,-1.6578673371889874,-3.3157346743779748
14,3,872.3333333333333,1727.0,175,True,-1.8375685262818449,-1.8375685262818449,-3.6751370525636897
15,0,864.0,1646.0,174,True,-1.7639905464120793,-1.7639905464120793,-3.5279810928241586
15,1,842.1666666666667,1192.0,164,True,-1.3612162391532934,-1.3612162391532934,-2.7224324783065867
15,2,821.1666666666666,1572.0,174,True,-1.6831419418096831,-1.6831419418096831,-3.3662838836193663
15,3,903.5,1405.0,170,True,-1.5699534136120232,-1.5699534136120232,-3.1399068272240465
16,0,871.0,1637.0,172,True,-1.758882326283226,-1.758882326283226,-3.517764652566452
16,1,834.8333333333333,1377.0,170,True,-1.5190617106721855,-1.5190617106721855,-3.038123421344371
16,2,830.5,1286.0,168,True,-1.438346036646565,-1.438346036646565,-2.87669207329313
16,3,892.3333333333334,1497.0,173,True,-1.6455395806907647,-1.6455395806907647,-3.2910791613815293
17,0,879.0,1402.0,171,True,-1.5578669263907434,-1.5578669263907434,-3.115733852781487
17,1,886.5,1322.0,170,True,-1.4912845605028326,-1.4912845605028326,-2.9825691210056653
17,2,902.8333333333333,1355.0,169,True,-1.5262675226457203,-1.5262675226457203,-3.0525350452914406
17,3,953.8333333333334,1546.0,172,True,-1.711897706756156,-1.711897706756156,-3.423795413512312
18,0,888.8333333333334,1075.0,168,True,-1.277653621270536,-1.277653621270536,-2.555307242541072
18,1,870.0,1534.0,172,True,-1.6690338604185997,-1.6690338604185997,-3.3380677208371994
18,2,807.6666666666667,1250.0,170,True,-1.398242082284009,-1.398242082284009,-2.796484164568018
18,3,887.5,1587.0,171,True,-1.7218394536980897,-1.7218394536980897,-3.4436789073961793
19,0,909.5000000000001,1656.0,174,True,-1.7902833518223669,-1.7902833518223669,-3.5805667036447337
19,1,961.5,1577.0,176,True,-1.7417897956596176,-1.7417897956596176,-3.483579591319235
19,2,898.3333333333334,1313.0,170,True,-1.488046704772561,-1.488046704772561,-2.976093409545122
19,3,880.6666666666667,1345.0,168,True,-1.5090040626078938,-1.5090040626078938,-3.0180081252157875
20,0,825.1666666666667,1541.0,173,True,-1.657764525592451,-1.657764525592451,-3.315529051184902
20,1,846.1666666666667,1625.0,174,True,-1.7388498246731783,-1.7388498246731783,-3.4776996493463566
20,2,940.8333333333334,1393.0,167,True,-1.573977667887173,-1.573977667887173,-3.147955335774346
20,3,797.8333333333333,1517.0,172,True,-1.62634189580028,-1.62634189580028,-3.25268379160056
21,0,775.8333333333333,1205.0,167,True,-1.3468383566800557,-1.3468383566800557,-2.6936767133601114
21,1,870.5,1483.0,173,True,-1.6249308785275207,-1.6249308785275207,-3.2498617570550414
21,2,840.5,1549.0,171,True,-1.6706465609558305,-1.6706465609558305,-3.341293121911661
21,3,816.5,1148.0,165,True,-1.3130673987340318,-1.3130673987340318,-2.6261347974680636
22,0,822.5,1216.0,165,True,-1.374451187552366,-1.374451187552366,-2.748902375104732
22,1,858.5,1531.0,172,True,-1.6619780084762616,-1.6619780084762616,-3.3239560169525233
22,2,861.8333333333334,1147.0,168,True,-1.3297415686928424,-1.3297415686928424,-2.659483137385685
22,3,879.0,1587.0,173,True,-1.7185501921695507,-1.7185501921695507,-3.4371003843391015
23,0,858.5,1479.0,170,True,-1.6168129824195159,-1.6168129824195159,-3.2336259648390318
23,1,825.8333333333333,1005.0,164,True,-1.1924753152269654,-1.1924753152269654,-2.3849506304539307
23,2,857.0,1147.0,166,True,-1.3278712042942615,-1.3278712042942615,-2.655742408588523
23,3,829.0,980.0,164,True,-1.1719867715496814,-1.1719867715496814,-2.343973543099363
24,0,865.6666666666667,1532.0,170,True,-1.6656198656054877,-1.6656198656054877,-3.3312397312109754
24,1,754.8333333333334,1217.0,167,True,-1.3491346441656296,-1.3491346441656296,-2.698269288331259
24,2,876.3333333333334,1060.0,166,True,-1.2597880990628765,-1.2597880990628765,-2.519576198125753
24,3,791.8333333333333,1479.0,171,True,-1.5910148527839147,-1.5910148527839147,-3.1820297055678295
25,0,872.5,1144.0,167,True,-1.3312635948543412,-1.3312635948543412,-2.6625271897086824
25,1,863.6666666666667,1023.0,166,True,-1.2227498012763505,-1.2227498012763505,-2.445499602552701
25,2,836.5,1282.0,169,True,-1.4371936355401724,-1.4371936355401724,-2.874387271080345
25,3,940.5,1222.0,165,True,-1.425325226167774,-1.425325226167774,-2.850650452335548
26,0,934.5,1405.0,169,True,-1.5819495438925768,-1.5819495438925768,-3.1638990877851536
26,1,996.5,1200.0,166,True,-1.4278873748069016,-1.4278873748069016,-2.8557747496138033
26,2,823.1666666666667,1063.0,165,True,-1.2418197652586804,-1.2418197652586804,-2.483639530517361
26,3,784.6666666666666,971.0,163,True,-1.1470139916014177,-1.1470139916014177,-2.2940279832028354
27,0,765.3333333333333,1042.0,165,True,-1.2012001657384175,-1.2012001657384175,-2.402400331476835
27,1,803.3333333333334,1035.0,165,True,-1.2098251922769188,-1.2098251922769188,-2.4196503845538375
27,2,801.3333333333333,1105.0,166,True,-1.2698503219257777,-1.2698503219257777,-2.5397006438515555
