episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,2199.75,7205.25,5.027841399889439,222.5,-3.838589468355168,-3.838589468355168,-7.677178936710336,1.0
2,2184.666666666667,6866.25,2.8773123999126256,220.25,-3.740032717924598,-3.740032717924598,-7.480065435849196,1.0
3,1994.0833333333335,5907.75,2.818966699996963,209.0,-3.3240884178305157,-3.3240884178305157,-6.648176835661031,1.0
4,1831.6666666666665,5079.75,2.5782713999506086,195.25,-2.966833938866709,-2.966833938866709,-5.933667877733418,1.0
5,1586.5416666666665,4009.5,2.5468017000239342,183.25,-2.472401360099028,-2.472401360099028,-4.944802720198056,1.0
6,1613.875,4196.75,2.4554334999993443,184.75,-2.5444735155561276,-2.5444735155561276,-5.088947031112255,1.0
7,1353.9583333333333,3040.25,2.3267142000840977,171.0,-2.01480049406287,-2.01480049406287,-4.02960098812574,1.0
8,1185.6666666666667,2696.0,2.3676540000597015,166.5,-1.7727601425945616,-1.7727601425945616,-3.545520285189123,1.0
9,1065.5416666666665,2260.75,2.2458226000890136,161.75,-1.5527184973676214,-1.5527184973676214,-3.1054369947352427,1.0
10,1044.6666666666667,2149.75,2.2260955000529066,158.75,-1.5056592423967246,-1.5056592423967246,-3.011318484793449,1.0
11,1028.5416666666667,2004.0,2.17903210001532,158.25,-1.454339888547669,-1.454339888547669,-2.908679777095338,1.0
12,1030.4583333333335,2000.5,2.2666660000104457,157.0,-1.4552454784385804,-1.4552454784385804,-2.910490956877161,1.0
13,1076.8333333333333,1871.5,2.197745900019072,155.5,-1.466102883452686,-1.466102883452686,-2.932205766905372,1.0
14,1002.25,1763.25,2.1539931000443175,154.25,-1.3698894036080826,-1.3698894036080826,-2.7397788072161653,1.0
15,1161.2083333333335,1846.75,2.1848285000305623,155.75,-1.5382274645156098,-1.5382274645156098,-3.0764549290312195,1.0
16,980.0833333333334,1807.0,2.2439945000223815,155.5,-1.3602321582131807,-1.3602321582131807,-2.7204643164263613,1.0
17,1090.0833333333333,1937.25,2.176758800051175,158.5,-1.4947991979380622,-1.4947991979380622,-2.9895983958761243,1.0
18,1011.4583333333334,1701.5,2.159431800013408,155.0,-1.3630316958519362,-1.3630316958519362,-2.7260633917038724,1.0
19,1038.875,1842.25,2.208040300058201,156.75,-1.4235822803857063,-1.4235822803857063,-2.8471645607714127,1.0
20,1079.5,1708.25,2.192238499992527,154.25,-1.4278566149039331,-1.4278566149039331,-2.8557132298078662,1.0
21,1105.2916666666667,1874.0,2.138738000066951,155.5,-1.493135203358047,-1.493135203358047,-2.986270406716094,1.0
22,1033.5833333333333,1531.0,2.183639599941671,152.0,-1.341033912290942,-1.341033912290942,-2.682067824581884,1.0
23,956.2916666666667,1440.75,2.2619586000218987,151.0,-1.2467970549276965,-1.2467970549276965,-2.493594109855393,1.0
24,938.625,1300.75,2.1206303999060765,149.0,-1.1954813403615128,-1.1954813403615128,-2.3909626807230255,1.0
25,1123.6666666666667,1557.0,2.193737900000997,153.5,-1.431114721474044,-1.431114721474044,-2.862229442948088,1.0
26,1027.9166666666667,1585.0,2.161064299987629,154.75,-1.3492450603454182,-1.3492450603454182,-2.6984901206908365,1.0
27,1154.4166666666667,1740.75,2.2564311999594793,155.0,-1.5054844346521306,-1.5054844346521306,-3.010968869304261,1.0
28,1102.5833333333335,1728.0,2.2449568000156432,156.25,-1.4542038687428722,-1.4542038687428722,-2.9084077374857444,1.0
29,1117.5833333333335,1479.0,2.146530499914661,151.5,-1.4060132951104898,-1.4060132951104898,-2.8120265902209796,1.0
30,1056.6666666666667,1698.0,2.1509524000575766,155.5,-1.404111023949786,-1.404111023949786,-2.808222047899572,1.0
31,1153.9166666666667,1816.75,2.253050500061363,156.5,-1.5239777913470018,-1.5239777913470018,-3.0479555826940037,1.0
32,1129.375,1792.75,2.1674393999855965,157.0,-1.495217120709213,-1.495217120709213,-2.990434241418426,1.0
33,1290.375,1802.25,2.148484000004828,157.75,-1.6469913360505704,-1.6469913360505704,-3.2939826721011407,1.0
34,1244.0,1886.75,2.2711231999564916,157.5,-1.6250339060925874,-1.6250339060925874,-3.2500678121851747,1.0
35,1226.5833333333333,2392.25,2.2350414999527857,160.75,-1.7349629075416524,-1.7349629075416524,-3.4699258150833048,1.0
36,1322.4166666666667,2366.0,2.24706750002224,162.0,-1.8173464180512648,-1.8173464180512648,-3.6346928361025297,1.0
37,1133.625,1788.5,2.130996000021696,155.5,-1.4981009148192665,-1.4981009148192665,-2.996201829638533,1.0
38,1163.625,2227.5,2.285339300055057,160.0,-1.6354438882828632,-1.6354438882828632,-3.2708877765657265,1.0
39,1028.5833333333333,1755.0,2.2015660000033677,155.25,-1.3922683023875764,-1.3922683023875764,-2.7845366047751527,1.0
