episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,2424.7916666666665,7986.25,5.07373559998814,229.75,-7986.25,-7986.25,-15972.5,1.0
2,2284.958333333333,7233.75,2.9473911999957636,223.75,-7233.75,-7233.75,-14467.5,1.0
3,2031.3333333333333,6605.0,2.902585900039412,211.75,-6605.0,-6605.0,-13210.0,1.0
4,2492.7916666666665,8183.25,2.873763100011274,231.75,-8183.25,-8183.25,-16366.5,1.0
5,2247.166666666667,7429.75,2.926924000028521,222.75,-7429.75,-7429.75,-14859.5,1.0
6,2248.1666666666665,7284.75,2.770146300084889,218.75,-7284.75,-7284.75,-14569.5,1.0
7,2456.6666666666665,7873.25,2.940864700009115,228.25,-7873.25,-7873.25,-15746.5,1.0
8,1944.6666666666665,5775.25,2.64465339994058,201.75,-5775.25,-5775.25,-11550.5,1.0
9,2254.875,7513.25,2.9171512000029907,228.25,-7513.25,-7513.25,-15026.5,1.0
10,2050.25,6396.5,2.8220021999441087,209.0,-6396.5,-6396.5,-12793.0,1.0
11,2149.8333333333335,6957.5,2.770005000056699,216.0,-6957.5,-6957.5,-13915.0,1.0
12,2063.8333333333335,6352.25,2.7170679999981076,209.25,-6352.25,-6352.25,-12704.5,1.0
13,2012.875,6213.25,2.8015435999259353,210.5,-6213.25,-6213.25,-12426.5,1.0
14,2251.875,7153.75,2.7202518000267446,222.75,-7153.75,-7153.75,-14307.5,1.0
15,2005.7916666666665,6211.25,2.7412436000304297,207.75,-6211.25,-6211.25,-12422.5,1.0
16,2037.9166666666665,6296.25,2.65948789997492,209.0,-6296.25,-6296.25,-12592.5,1.0
17,1989.125,5619.5,2.610420399927534,201.0,-5619.5,-5619.5,-11239.0,1.0
18,1858.7083333333333,5578.75,2.6343410001136363,204.0,-5578.75,-5578.75,-11157.5,1.0
19,1659.6666666666665,4726.0,2.563757700030692,193.25,-4726.0,-4726.0,-9452.0,1.0
20,1540.75,3943.5,2.558945400058292,182.0,-3943.5,-3943.5,-7887.0,1.0
21,1403.375,3312.5,2.3077824000502005,172.25,-3312.5,-3312.5,-6625.0,1.0
22,1346.0416666666667,2816.25,2.26622580003459,169.25,-2816.25,-2816.25,-5632.5,1.0
23,1405.4166666666667,2992.5,2.2796152000082657,169.75,-2992.5,-2992.5,-5985.0,1.0
24,1321.7916666666667,2588.25,2.2532084999838844,165.5,-2588.25,-2588.25,-5176.5,1.0
25,1170.7083333333335,1853.5,2.183840599958785,156.25,-1853.5,-1853.5,-3707.0,1.0
26,1144.125,1814.5,2.1780957999872044,156.0,-1814.5,-1814.5,-3629.0,1.0
27,1222.4583333333335,1923.5,2.1088465999346226,158.5,-1923.5,-1923.5,-3847.0,1.0
28,1327.5,2474.0,2.339358599972911,163.75,-2474.0,-2474.0,-4948.0,1.0
29,1263.7083333333333,1606.5,2.1471006999490783,154.0,-1606.5,-1606.5,-3213.0,1.0
30,1134.375,1708.75,2.1414020999800414,156.0,-1708.75,-1708.75,-3417.5,1.0
31,1208.2083333333333,1884.75,2.2526745999930426,158.0,-1884.75,-1884.75,-3769.5,1.0
32,1107.7916666666667,1638.5,2.1122651000041515,155.75,-1638.5,-1638.5,-3277.0,1.0
33,1181.7083333333335,1490.0,2.233218399924226,152.5,-1490.0,-1490.0,-2980.0,1.0
34,1092.0416666666667,1496.75,2.0936836999608204,151.0,-1496.75,-1496.75,-2993.5,1.0
35,1153.2083333333333,1919.5,2.2075049999402836,157.0,-1919.5,-1919.5,-3839.0,1.0
36,1081.8333333333335,1415.75,2.111276700044982,152.0,-1415.75,-1415.75,-2831.5,1.0
37,1113.7083333333335,1446.5,2.1896676999749616,153.5,-1446.5,-1446.5,-2893.0,1.0
38,1141.625,1711.5,2.1574076999677345,155.5,-1711.5,-1711.5,-3423.0,1.0
39,994.5833333333334,1355.5,2.14954409992788,151.5,-1355.5,-1355.5,-2711.0,1.0
40,1010.6666666666667,1234.5,2.0601617000065744,149.75,-1234.5,-1234.5,-2469.0,1.0
41,1156.9166666666667,1351.25,2.1553572999546304,151.75,-1351.25,-1351.25,-2702.5,1.0
42,1202.7916666666667,1525.0,2.1867213000077754,153.5,-1525.0,-1525.0,-3050.0,1.0
43,1040.2916666666667,1187.5,2.138669600011781,148.75,-1187.5,-1187.5,-2375.0,1.0
44,1178.0,1458.0,2.1953437000047415,153.5,-1458.0,-1458.0,-2916.0,1.0
45,1100.875,1683.0,2.205391600029543,156.25,-1683.0,-1683.0,-3366.0,1.0
46,1104.3333333333335,1256.75,2.0525696999393404,149.25,-1256.75,-1256.75,-2513.5,1.0
47,1053.6666666666667,1428.5,2.2366664999863133,152.5,-1428.5,-1428.5,-2857.0,1.0
48,1001.75,1532.25,2.0729241999797523,153.0,-1532.25,-1532.25,-3064.5,1.0
49,1069.6666666666667,1645.5,2.1330712999915704,157.0,-1645.5,-1645.5,-3291.0,1.0
50,1100.875,1492.75,2.0931717000203207,153.5,-1492.75,-1492.75,-2985.5,1.0
51,1212.25,1765.0,2.221473400015384,157.5,-1765.0,-1765.0,-3530.0,1.0
52,1082.3333333333335,1605.0,2.131003300077282,154.25,-1605.0,-1605.0,-3210.0,1.0
53,1124.9166666666667,1743.25,2.1464225000236183,157.75,-1743.25,-1743.25,-3486.5,1.0
54,1106.375,1600.0,2.1048989000264555,155.0,-1600.0,-1600.0,-3200.0,1.0
55,1161.875,1588.0,2.127826099982485,155.75,-1588.0,-1588.0,-3176.0,1.0
56,1074.9583333333335,1322.5,2.128118299995549,150.75,-1322.5,-1322.5,-2645.0,1.0
57,1090.75,1436.25,2.098812500014901,153.5,-1436.25,-1436.25,-2872.5,1.0
58,1108.0833333333335,1556.5,2.114669199916534,154.5,-1556.5,-1556.5,-3113.0,1.0
59,1187.6666666666667,1724.25,2.2199047999456525,156.5,-1724.25,-1724.25,-3448.5,1.0
60,1177.1666666666667,1606.0,2.100214199977927,154.5,-1606.0,-1606.0,-3212.0,1.0
61,1100.2083333333335,1580.25,2.185201699961908,155.5,-1580.25,-1580.25,-3160.5,1.0
62,1200.5833333333335,1770.5,2.270507500041276,158.25,-1770.5,-1770.5,-3541.0,1.0
63,1129.2916666666665,1462.75,2.125178199959919,153.5,-1462.75,-1462.75,-2925.5,1.0
64,1116.9583333333333,1371.75,2.120723200030625,151.75,-1371.75,-1371.75,-2743.5,1.0
65,974.6666666666667,1217.5,2.1168587000574917,150.0,-1217.5,-1217.5,-2435.0,1.0
66,1051.25,1755.0,2.321481499937363,159.5,-1755.0,-1755.0,-3510.0,1.0
67,1023.1250000000001,1367.5,2.182190699968487,152.0,-1367.5,-1367.5,-2735.0,1.0
68,1133.125,1320.0,2.2268152999458835,152.0,-1320.0,-1320.0,-2640.0,1.0
69,1138.3333333333335,1626.0,2.2801646000007167,155.5,-1626.0,-1626.0,-3252.0,1.0
70,1101.4166666666667,1711.0,2.189309599925764,158.0,-1711.0,-1711.0,-3422.0,1.0
71,1042.125,1415.75,2.142161999945529,153.25,-1415.75,-1415.75,-2831.5,1.0
72,1021.5833333333334,1464.5,2.1201407000189647,153.25,-1464.5,-1464.5,-2929.0,1.0
73,1100.2083333333335,1321.25,2.2813301000278443,151.25,-1321.25,-1321.25,-2642.5,1.0
74,1125.4166666666667,1355.0,2.084006799967028,152.25,-1355.0,-1355.0,-2710.0,1.0
75,991.6666666666666,1491.5,2.1088534999871626,154.25,-1491.5,-1491.5,-2983.0,1.0
