global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,1589.0,6501.0,231,True,-1589.0,-1589.0,-3178.0
1,1,1445.0,5346.0,212,True,-1445.0,-1445.0,-2890.0
1,2,1463.0,5474.0,219,True,-1463.0,-1463.0,-2926.0
1,3,1461.6666666666667,4957.0,208,True,-1461.6666666666667,-1461.6666666666667,-2923.3333333333335
2,0,1673.0,6390.0,229,True,-1673.0,-1673.0,-3346.0
2,1,1589.3333333333333,6126.0,220,True,-1589.3333333333333,-1589.3333333333333,-3178.6666666666665
2,2,1567.6666666666667,6436.0,234,True,-1567.6666666666667,-1567.6666666666667,-3135.3333333333335
2,3,1625.5,5815.0,221,True,-1625.5,-1625.5,-3251.0
3,0,1415.0,5450.0,218,True,-1415.0,-1415.0,-2830.0
3,1,1626.1666666666665,6302.0,228,True,-1626.1666666666665,-1626.1666666666665,-3252.333333333333
3,2,1489.0,5388.0,216,True,-1489.0,-1489.0,-2978.0
3,3,1556.0,5842.0,217,True,-1556.0,-1556.0,-3112.0
4,0,1471.5000000000002,5778.0,224,True,-1471.5000000000002,-1471.5000000000002,-2943.0000000000005
4,1,1523.3333333333333,5887.0,221,True,-1523.3333333333333,-1523.3333333333333,-3046.6666666666665
4,2,1503.5,5534.0,215,True,-1503.5,-1503.5,-3007.0
4,3,1407.0,4951.0,206,True,-1407.0,-1407.0,-2814.0
5,0,1549.8333333333333,5839.0,223,True,-1549.8333333333333,-1549.8333333333333,-3099.6666666666665
5,1,1481.0,4924.0,207,True,-1481.0,-1481.0,-2962.0
5,2,1285.8333333333333,4460.0,203,True,-1285.8333333333333,-1285.8333333333333,-2571.6666666666665
5,3,1480.0,5815.0,223,True,-1480.0,-1480.0,-2960.0
6,0,1571.3333333333333,6115.0,221,True,-1571.3333333333333,-1571.3333333333333,-3142.6666666666665
6,1,1368.5,4471.0,200,True,-1368.5,-1368.5,-2737.0
6,2,1294.6666666666665,4428.0,201,True,-1294.6666666666665,-1294.6666666666665,-2589.333333333333
6,3,1565.0000000000002,6225.0,227,True,-1565.0000000000002,-1565.0000000000002,-3130.0000000000005
7,0,1740.0,7038.0,241,True,-1740.0,-1740.0,-3480.0
7,1,1432.6666666666667,5038.0,211,True,-1432.6666666666667,-1432.6666666666667,-2865.3333333333335
7,2,1358.5,5066.0,208,True,-1358.5,-1358.5,-2717.0
7,3,1628.3333333333333,6284.0,232,True,-1628.3333333333333,-1628.3333333333333,-3256.6666666666665
8,0,1417.3333333333333,5433.0,217,True,-1417.3333333333333,-1417.3333333333333,-2834.6666666666665
8,1,1465.1666666666667,5311.0,211,True,-1465.1666666666667,-1465.1666666666667,-2930.3333333333335
