episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,2038.6666666666667,0.0,13.265026400098577,152.66666666666666,-2038.6666666666667,-2038.6666666666667,-4077.3333333333335,1.0
2,2120.6666666666665,0.0,14.952790699899197,157.16666666666666,-2120.6666666666665,-2120.6666666666665,-4241.333333333333,1.0
3,2105.8333333333335,0.0,14.86542130005546,151.83333333333334,-2105.8333333333335,-2105.8333333333335,-4211.666666666667,1.0
4,1950.0,0.0,14.309151000110433,142.5,-1950.0,-1950.0,-3900.0,1.0
5,2137.8333333333335,0.0,14.307007199851796,153.16666666666666,-2137.8333333333335,-2137.8333333333335,-4275.666666666667,1.0
6,2062.3333333333335,0.0,14.9431708001066,151.33333333333334,-2062.3333333333335,-2062.3333333333335,-4124.666666666667,1.0
7,2103.3333333333335,0.0,14.930775800021365,154.0,-2103.3333333333335,-2103.3333333333335,-4206.666666666667,1.0
8,1898.1666666666667,0.0,14.515937700169161,141.66666666666666,-1898.1666666666667,-1898.1666666666667,-3796.3333333333335,1.0
9,1877.3333333333333,0.0,14.127595299854875,136.33333333333334,-1877.3333333333333,-1877.3333333333333,-3754.6666666666665,1.0
10,1591.0,0.0,12.804978299885988,117.16666666666667,-1591.0,-1591.0,-3182.0,1.0
11,1419.5,0.0,12.155931900022551,105.16666666666667,-1419.5,-1419.5,-2839.0,1.0
12,1253.6666666666667,0.0,11.894174300134182,96.5,-1253.6666666666667,-1253.6666666666667,-2507.3333333333335,1.0
13,1222.0,0.0,11.712115499889478,96.0,-1222.0,-1222.0,-2444.0,1.0
14,1066.8333333333333,0.0,11.045932600041851,84.5,-1066.8333333333333,-1066.8333333333333,-2133.6666666666665,1.0
15,1089.0,0.0,11.017405399819836,82.0,-1089.0,-1089.0,-2178.0,1.0
16,1035.1666666666667,0.0,10.822943799896166,82.33333333333333,-1035.1666666666667,-1035.1666666666667,-2070.3333333333335,1.0
17,934.8333333333334,0.0,10.68053050013259,77.16666666666667,-934.8333333333334,-934.8333333333334,-1869.6666666666667,1.0
18,914.5,0.0,10.665123000042513,75.66666666666667,-914.5,-914.5,-1829.0,1.0
19,979.0,0.0,10.75748289981857,76.16666666666667,-979.0,-979.0,-1958.0,1.0
20,983.0,0.0,10.696926499949768,75.66666666666667,-983.0,-983.0,-1966.0,1.0
21,959.8333333333334,0.0,10.444151500007138,75.33333333333333,-959.8333333333334,-959.8333333333334,-1919.6666666666667,1.0
22,918.3333333333334,0.0,10.099566000048071,74.0,-918.3333333333334,-918.3333333333334,-1836.6666666666667,1.0
23,890.0,0.0,10.221461999928579,74.66666666666667,-890.0,-890.0,-1780.0,1.0
24,917.5,0.0,10.501106900162995,71.5,-917.5,-917.5,-1835.0,1.0
25,894.1666666666666,0.0,10.484026700025424,74.0,-894.1666666666666,-894.1666666666666,-1788.3333333333333,1.0
26,925.8333333333334,0.0,10.58794580004178,73.66666666666667,-925.8333333333334,-925.8333333333334,-1851.6666666666667,1.0
27,886.8333333333334,0.0,10.474727999884635,73.0,-886.8333333333334,-886.8333333333334,-1773.6666666666667,1.0
28,929.6666666666666,0.0,10.462247899966314,73.16666666666667,-929.6666666666666,-929.6666666666666,-1859.3333333333333,1.0
29,904.8333333333334,0.0,10.329588199965656,71.16666666666667,-904.8333333333334,-904.8333333333334,-1809.6666666666667,1.0
30,890.6666666666666,0.0,10.043223700020462,73.0,-890.6666666666666,-890.6666666666666,-1781.3333333333333,1.0
31,888.8333333333334,0.0,9.933959200046957,71.16666666666667,-888.8333333333334,-888.8333333333334,-1777.6666666666667,1.0
32,836.8333333333334,0.0,9.973031400004402,71.5,-836.8333333333334,-836.8333333333334,-1673.6666666666667,1.0
33,880.6666666666666,0.0,10.235376599943265,72.33333333333333,-880.6666666666666,-880.6666666666666,-1761.3333333333333,1.0
34,934.1666666666666,0.0,10.032201600028202,73.16666666666667,-934.1666666666666,-934.1666666666666,-1868.3333333333333,1.0
35,912.5,0.0,10.267665599938482,71.0,-912.5,-912.5,-1825.0,1.0
36,929.5,0.0,10.419037000043318,72.83333333333333,-929.5,-929.5,-1859.0,1.0
37,873.0,0.0,10.51202469994314,73.16666666666667,-873.0,-873.0,-1746.0,1.0
38,911.5,0.0,10.565245599951595,73.0,-911.5,-911.5,-1823.0,1.0
39,887.1666666666666,0.0,10.468147800071165,71.0,-887.1666666666666,-887.1666666666666,-1774.3333333333333,1.0
40,855.8333333333334,0.0,10.494818299775943,71.16666666666667,-855.8333333333334,-855.8333333333334,-1711.6666666666667,1.0
41,915.0,0.0,10.290709999855608,73.0,-915.0,-915.0,-1830.0,1.0
42,850.5,0.0,10.255071500083432,71.16666666666667,-850.5,-850.5,-1701.0,1.0
43,907.8333333333334,0.0,10.314605100080371,73.16666666666667,-907.8333333333334,-907.8333333333334,-1815.6666666666667,1.0
44,877.8333333333334,0.0,10.175657300045714,72.83333333333333,-877.8333333333334,-877.8333333333334,-1755.6666666666667,1.0
45,856.5,0.0,10.220617699902505,71.0,-856.5,-856.5,-1713.0,1.0
46,928.8333333333334,0.0,10.276215199846774,72.33333333333333,-928.8333333333334,-928.8333333333334,-1857.6666666666667,1.0
47,907.6666666666666,0.0,10.366138800047338,72.66666666666667,-907.6666666666666,-907.6666666666666,-1815.3333333333333,1.0
48,874.6666666666666,0.0,10.133024499984458,73.66666666666667,-874.6666666666666,-874.6666666666666,-1749.3333333333333,1.0
49,885.8333333333334,0.0,10.210731099825352,72.5,-885.8333333333334,-885.8333333333334,-1771.6666666666667,1.0
50,892.8333333333334,0.0,10.363283900078386,73.33333333333333,-892.8333333333334,-892.8333333333334,-1785.6666666666667,1.0
51,847.0,0.0,10.404903500108048,71.5,-847.0,-847.0,-1694.0,1.0
52,880.3333333333334,0.0,10.441376300062984,72.66666666666667,-880.3333333333334,-880.3333333333334,-1760.6666666666667,1.0
53,874.0,0.0,10.376950399950147,73.16666666666667,-874.0,-874.0,-1748.0,1.0
54,850.5,0.0,10.43621820001863,71.66666666666667,-850.5,-850.5,-1701.0,1.0
55,872.5,0.0,10.313391200033948,73.0,-872.5,-872.5,-1745.0,1.0
56,885.6666666666666,0.0,10.34450210002251,72.66666666666667,-885.6666666666666,-885.6666666666666,-1771.3333333333333,1.0
57,843.8333333333334,0.0,10.448326000012457,71.66666666666667,-843.8333333333334,-843.8333333333334,-1687.6666666666667,1.0
58,866.3333333333334,0.0,10.4142193000298,72.66666666666667,-866.3333333333334,-866.3333333333334,-1732.6666666666667,1.0
59,931.1666666666666,0.0,10.519534300081432,74.5,-931.1666666666666,-931.1666666666666,-1862.3333333333333,1.0
60,885.1666666666666,0.0,10.846690699923784,75.16666666666667,-885.1666666666666,-885.1666666666666,-1770.3333333333333,1.0
61,879.1666666666666,0.0,10.813807799946517,75.83333333333333,-879.1666666666666,-879.1666666666666,-1758.3333333333333,1.0
62,853.5,0.0,10.34974840003997,72.66666666666667,-853.5,-853.5,-1707.0,1.0
63,852.5,0.0,10.460005600005388,72.66666666666667,-852.5,-852.5,-1705.0,1.0
64,843.8333333333334,0.0,10.299405500059947,72.83333333333333,-843.8333333333334,-843.8333333333334,-1687.6666666666667,1.0
65,918.8333333333334,0.0,10.62895889999345,75.33333333333333,-918.8333333333334,-918.8333333333334,-1837.6666666666667,1.0
66,875.3333333333334,0.0,10.443302199942991,74.66666666666667,-875.3333333333334,-875.3333333333334,-1750.6666666666667,1.0
67,861.5,0.0,10.2025960998144,72.16666666666667,-861.5,-861.5,-1723.0,1.0
68,810.0,0.0,10.049858799902722,73.0,-810.0,-810.0,-1620.0,1.0
69,834.8333333333334,0.0,10.211910800077021,71.33333333333333,-834.8333333333334,-834.8333333333334,-1669.6666666666667,1.0
70,896.8333333333334,0.0,10.60998379997909,74.16666666666667,-896.8333333333334,-896.8333333333334,-1793.6666666666667,1.0
71,839.5,0.0,10.568333399947733,71.16666666666667,-839.5,-839.5,-1679.0,1.0
72,871.5,0.0,10.566882100189105,73.83333333333333,-871.5,-871.5,-1743.0,1.0
73,890.1666666666666,0.0,10.35807879990898,72.16666666666667,-890.1666666666666,-890.1666666666666,-1780.3333333333333,1.0
74,880.8333333333334,0.0,10.539208999834955,72.33333333333333,-880.8333333333334,-880.8333333333334,-1761.6666666666667,1.0
75,838.3333333333334,0.0,10.34736939985305,70.66666666666667,-838.3333333333334,-838.3333333333334,-1676.6666666666667,1.0
76,845.3333333333334,0.0,10.127103899838403,72.5,-845.3333333333334,-845.3333333333334,-1690.6666666666667,1.0
77,836.8333333333334,0.0,10.157081800047308,72.66666666666667,-836.8333333333334,-836.8333333333334,-1673.6666666666667,1.0
78,853.8333333333334,0.0,10.10265040001832,72.0,-853.8333333333334,-853.8333333333334,-1707.6666666666667,1.0
79,886.8333333333334,0.0,9.96269530011341,71.16666666666667,-886.8333333333334,-886.8333333333334,-1773.6666666666667,1.0
80,863.5,0.0,9.907660000026226,71.5,-863.5,-863.5,-1727.0,1.0
81,838.6666666666666,0.0,9.854067099979147,71.16666666666667,-838.6666666666666,-838.6666666666666,-1677.3333333333333,1.0
82,873.5,0.0,10.289389099925756,72.66666666666667,-873.5,-873.5,-1747.0,1.0
83,858.5,0.0,10.336367900017649,71.66666666666667,-858.5,-858.5,-1717.0,1.0
84,855.1666666666666,0.0,10.365644499892369,72.16666666666667,-855.1666666666666,-855.1666666666666,-1710.3333333333333,1.0
85,841.1666666666666,0.0,10.681483199819922,71.66666666666667,-841.1666666666666,-841.1666666666666,-1682.3333333333333,1.0
86,805.1666666666666,0.0,10.668501100037247,72.5,-805.1666666666666,-805.1666666666666,-1610.3333333333333,1.0
87,869.0,0.0,10.401591399917379,71.83333333333333,-869.0,-869.0,-1738.0,1.0
88,844.3333333333334,0.0,10.18360079987906,71.5,-844.3333333333334,-844.3333333333334,-1688.6666666666667,1.0
89,853.6666666666666,0.0,10.163788799894974,72.0,-853.6666666666666,-853.6666666666666,-1707.3333333333333,1.0
90,845.8333333333334,0.0,10.324490299914032,73.83333333333333,-845.8333333333334,-845.8333333333334,-1691.6666666666667,1.0
91,863.0,0.0,10.318877500016242,73.33333333333333,-863.0,-863.0,-1726.0,1.0
92,860.6666666666666,0.0,10.338787999935448,72.66666666666667,-860.6666666666666,-860.6666666666666,-1721.3333333333333,1.0
93,802.3333333333334,0.0,10.194553900044411,73.0,-802.3333333333334,-802.3333333333334,-1604.6666666666667,1.0
94,859.5,0.0,10.263557000085711,72.66666666666667,-859.5,-859.5,-1719.0,1.0
95,836.0,0.0,10.221836100099608,73.0,-836.0,-836.0,-1672.0,1.0
96,869.0,0.0,10.444892199942842,71.83333333333333,-869.0,-869.0,-1738.0,1.0
97,854.5,0.0,10.30687030008994,70.83333333333333,-854.5,-854.5,-1709.0,1.0
98,869.6666666666666,0.0,10.423479499993846,73.5,-869.6666666666666,-869.6666666666666,-1739.3333333333333,1.0
99,837.1666666666666,0.0,10.519449400017038,73.33333333333333,-837.1666666666666,-837.1666666666666,-1674.3333333333333,1.0
100,856.6666666666666,0.0,10.550365899922326,73.66666666666667,-856.6666666666666,-856.6666666666666,-1713.3333333333333,1.0
101,843.3333333333334,0.0,10.703073299955577,73.83333333333333,-843.3333333333334,-843.3333333333334,-1686.6666666666667,1.0
102,838.8333333333334,0.0,10.643130499869585,73.66666666666667,-838.8333333333334,-838.8333333333334,-1677.6666666666667,1.0
103,871.3333333333334,0.0,11.327283999882638,75.5,-871.3333333333334,-871.3333333333334,-1742.6666666666667,1.0
