global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,2460.0,0.0,258,True,-2460.0,-2460.0,-4920.0
1,1,2383.0,0.0,248,True,-2383.0,-2383.0,-4766.0
1,2,2486.0,0.0,266,True,-2486.0,-2486.0,-4972.0
1,3,2655.0,0.0,281,True,-2655.0,-2655.0,-5310.0
2,0,2297.0,0.0,244,True,-2297.0,-2297.0,-4594.0
2,1,2400.0,0.0,233,True,-2400.0,-2400.0,-4800.0
2,2,2511.0,0.0,250,True,-2511.0,-2511.0,-5022.0
2,3,2440.0,0.0,257,True,-2440.0,-2440.0,-4880.0
3,0,2433.0,0.0,264,True,-2433.0,-2433.0,-4866.0
3,1,2485.0,0.0,266,True,-2485.0,-2485.0,-4970.0
3,2,2288.0,0.0,252,True,-2288.0,-2288.0,-4576.0
3,3,2399.0,0.0,257,True,-2399.0,-2399.0,-4798.0
4,0,2304.0,0.0,239,True,-2304.0,-2304.0,-4608.0
4,1,2488.0,0.0,259,True,-2488.0,-2488.0,-4976.0
4,2,2163.0,0.0,229,True,-2163.0,-2163.0,-4326.0
4,3,2072.0,0.0,227,True,-2072.0,-2072.0,-4144.0
5,0,2502.0,0.0,256,True,-2502.0,-2502.0,-5004.0
5,1,2628.0,0.0,282,True,-2628.0,-2628.0,-5256.0
5,2,2336.0,0.0,239,True,-2336.0,-2336.0,-4672.0
5,3,2258.0,0.0,242,True,-2258.0,-2258.0,-4516.0
6,0,2136.0,0.0,238,True,-2136.0,-2136.0,-4272.0
6,1,2162.0,0.0,208,True,-2162.0,-2162.0,-4324.0
6,2,2566.0,0.0,260,True,-2566.0,-2566.0,-5132.0
6,3,2297.0,0.0,257,True,-2297.0,-2297.0,-4594.0
7,0,2271.0,0.0,255,True,-2271.0,-2271.0,-4542.0
7,1,2308.0,0.0,252,True,-2308.0,-2308.0,-4616.0
7,2,2568.0,0.0,264,True,-2568.0,-2568.0,-5136.0
7,3,2441.0,0.0,262,True,-2441.0,-2441.0,-4882.0
8,0,2372.0,0.0,245,True,-2372.0,-2372.0,-4744.0
8,1,2086.0,0.0,222,True,-2086.0,-2086.0,-4172.0
8,2,2463.0,0.0,251,True,-2463.0,-2463.0,-4926.0
8,3,2359.0,0.0,241,True,-2359.0,-2359.0,-4718.0
9,0,2210.0,0.0,242,True,-2210.0,-2210.0,-4420.0
9,1,1904.0,0.0,211,True,-1904.0,-1904.0,-3808.0
9,2,2189.0,0.0,234,True,-2189.0,-2189.0,-4378.0
9,3,2015.0,0.0,219,True,-2015.0,-2015.0,-4030.0
10,0,1888.0,0.0,199,True,-1888.0,-1888.0,-3776.0
10,1,2037.0,0.0,215,True,-2037.0,-2037.0,-4074.0
10,2,1810.0,0.0,197,True,-1810.0,-1810.0,-3620.0
10,3,1826.0,0.0,204,True,-1826.0,-1826.0,-3652.0
11,0,1928.0,0.0,198,True,-1928.0,-1928.0,-3856.0
11,1,1811.0,0.0,172,True,-1811.0,-1811.0,-3622.0
11,2,1639.0,0.0,181,True,-1639.0,-1639.0,-3278.0
11,3,1658.0,0.0,194,True,-1658.0,-1658.0,-3316.0
12,0,1803.0,0.0,177,True,-1803.0,-1803.0,-3606.0
12,1,1580.0,0.0,166,True,-1580.0,-1580.0,-3160.0
12,2,1498.0,0.0,175,True,-1498.0,-1498.0,-2996.0
12,3,1532.0,0.0,172,True,-1532.0,-1532.0,-3064.0
13,0,1590.0,0.0,166,True,-1590.0,-1590.0,-3180.0
13,1,1668.0,0.0,182,True,-1668.0,-1668.0,-3336.0
13,2,1733.0,0.0,176,True,-1733.0,-1733.0,-3466.0
13,3,1695.0,0.0,183,True,-1695.0,-1695.0,-3390.0
14,0,1335.0,0.0,157,True,-1335.0,-1335.0,-2670.0
14,1,1751.0,0.0,187,True,-1751.0,-1751.0,-3502.0
14,2,1445.0,0.0,168,True,-1445.0,-1445.0,-2890.0
14,3,1444.0,0.0,166,True,-1444.0,-1444.0,-2888.0
15,0,1505.0,0.0,155,True,-1505.0,-1505.0,-3010.0
15,1,1168.0,0.0,156,True,-1168.0,-1168.0,-2336.0
15,2,1328.0,0.0,167,True,-1328.0,-1328.0,-2656.0
15,3,1446.0,0.0,153,True,-1446.0,-1446.0,-2892.0
16,0,1358.0,0.0,149,True,-1358.0,-1358.0,-2716.0
16,1,1214.0,0.0,146,True,-1214.0,-1214.0,-2428.0
16,2,1312.0,0.0,157,True,-1312.0,-1312.0,-2624.0
16,3,1199.0,0.0,145,True,-1199.0,-1199.0,-2398.0
17,0,1352.0,0.0,151,True,-1352.0,-1352.0,-2704.0
17,1,1308.0,0.0,142,True,-1308.0,-1308.0,-2616.0
