global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,1601.0,1743.0,90,True,-8.41628153283266,-8.41628153283266,-8.41628153283266
2,0,1798.3333333333333,2205.0,98,True,-10.59792027729636,-10.59792027729636,-10.59792027729636
3,0,1544.0,1491.0,85,True,-7.237266512613135,-7.237266512613135,-7.237266512613135
4,0,1523.8333333333335,1623.0,89,True,-7.844008761794723,-7.844008761794723,-7.844008761794723
5,0,1403.1666666666665,1278.0,82,True,-6.220645580589254,-6.220645580589254,-6.220645580589254
6,0,1539.3333333333333,1426.0,86,True,-6.935329610372937,-6.935329610372937,-6.935329610372937
7,0,1559.8333333333333,1618.0,88,True,-7.828659573785223,-7.828659573785223,-7.828659573785223
8,0,1259.3333333333333,892.0,76,True,-4.402448809294563,-4.402448809294563,-4.402448809294563
9,0,1383.3333333333333,1198.0,82,True,-5.84597856088324,-5.84597856088324,-5.84597856088324
10,0,1483.1666666666667,1408.0,84,True,-6.839828454971432,-6.839828454971432,-6.839828454971432
11,0,1482.3333333333335,1302.0,82,True,-6.348907182746002,-6.348907182746002,-6.348907182746002
12,0,1372.5,1109.0,79,True,-5.431594614545221,-5.431594614545221,-5.431594614545221
13,0,1466.1666666666665,1399.0,84,True,-6.794478946017074,-6.794478946017074,-6.794478946017074
14,0,1409.3333333333333,1235.0,82,True,-6.022907439501894,-6.022907439501894,-6.022907439501894
15,0,1733.333333333333,2074.0,94,True,-9.977357340008984,-9.977357340008984,-9.977357340008984
16,0,1451.1666666666665,1255.0,82,True,-6.124562712625972,-6.124562712625972,-6.124562712625972
17,0,1493.0,1258.0,82,True,-6.147514282046343,-6.147514282046343,-6.147514282046343
18,0,1200.3333333333333,743.0,74,True,-3.6998523653636313,-3.6998523653636313,-3.6998523653636313
19,0,1316.1666666666667,944.0,77,True,-4.655501797291227,-4.655501797291227,-4.655501797291227
20,0,1292.3333333333333,760.0,74,True,-3.798486744977213,-3.798486744977213,-3.798486744977213
21,0,1220.6666666666665,762.0,75,True,-3.7922202965530527,-3.7922202965530527,-3.7922202965530527
22,0,1303.1666666666665,838.0,75,True,-4.161944765389307,-4.161944765389307,-4.161944765389307
23,0,1206.0,667.0,73,True,-3.3492281276076774,-3.3492281276076774,-3.3492281276076774
24,0,1073.8333333333335,466.0,70,True,-2.3900402785801402,-2.3900402785801402,-2.3900402785801402
25,0,1350.3333333333333,939.0,74,True,-4.6397554400154055,-4.6397554400154055,-4.6397554400154055
26,0,1164.0,564.0,71,True,-2.863277488927401,-2.863277488927401,-2.863277488927401
27,0,1200.3333333333335,640.0,73,True,-3.2230005135117787,-3.2230005135117787,-3.2230005135117787
28,0,1207.3333333333335,786.0,74,True,-3.9004429039091084,-3.9004429039091084,-3.9004429039091084
29,0,1096.8333333333335,466.0,70,True,-2.3950229475576097,-2.3950229475576097,-2.3950229475576097
30,0,1131.8333333333335,666.0,72,True,-3.328531195840555,-3.328531195840555,-3.328531195840555
31,0,1167.1666666666667,603.0,72,True,-3.044519064124784,-3.044519064124784,-3.044519064124784
32,0,1212.3333333333333,799.0,74,True,-3.961711278002439,-3.961711278002439,-3.961711278002439
33,0,1222.5,767.0,74,True,-3.8157656139675202,-3.8157656139675202,-3.8157656139675202
34,0,1177.3333333333335,576.0,72,True,-2.921721548238014,-2.921721548238014,-2.921721548238014
35,0,1133.0,526.0,70,True,-2.6806357917709738,-2.6806357917709738,-2.6806357917709738
36,0,1201.1666666666665,603.0,72,True,-3.0518847487001723,-3.0518847487001723,-3.0518847487001723
37,0,1224.0,667.0,72,True,-3.353127607677,-3.353127607677,-3.353127607677
38,0,1239.1666666666665,895.0,76,True,-4.411968836253931,-4.411968836253931,-4.411968836253931
39,0,1281.3333333333333,881.0,77,True,-4.356288914564478,-4.356288914564478,-4.356288914564478
40,0,1091.1666666666665,527.0,71,True,-2.676202740869118,-2.676202740869118,-2.676202740869118
41,0,991.0,344.0,67,True,-1.8072806341870467,-1.8072806341870467,-1.8072806341870467
42,0,1040.1666666666667,267.0,66,True,-1.4614505103023296,-1.4614505103023296,-1.4614505103023296
43,0,1232.8333333333333,723.0,72,True,-3.614300500673984,-3.614300500673984,-3.614300500673984
44,0,1253.6666666666667,726.0,73,True,-3.6327026766801467,-3.6327026766801467,-3.6327026766801467
45,0,1214.3333333333333,863.0,76,True,-4.258440849861994,-4.258440849861994,-4.258440849861994
46,0,1034.5,277.0,67,True,-1.5065191925027275,-1.5065191925027275,-1.5065191925027275
47,0,1214.5,787.0,75,True,-3.9066251043070785,-3.9066251043070785,-3.9066251043070785
48,0,1227.1666666666667,655.0,72,True,-3.298258071763272,-3.298258071763272,-3.298258071763272
49,0,1219.1666666666667,775.0,75,True,-3.852080525065793,-3.852080525065793,-3.852080525065793
50,0,1180.3333333333333,682.0,73,True,-3.4131122023236395,-3.4131122023236395,-3.4131122023236395
51,0,1179.5,703.0,74,True,-3.510153893061173,-3.510153893061173,-3.510153893061173
52,0,1192.5,665.0,73,True,-3.337044258296425,-3.337044258296425,-3.337044258296425
53,0,1228.0,622.0,73,True,-3.145660825470184,-3.145660825470184,-3.145660825470184
54,0,1173.3333333333335,667.0,73,True,-3.3421512934077917,-3.3421512934077917,-3.3421512934077917
55,0,1144.5,723.0,73,True,-3.5951641632967455,-3.5951641632967455,-3.5951641632967455
56,0,1265.3333333333333,958.0,77,True,-4.709304191539894,-4.709304191539894,-4.709304191539894
57,0,1300.6666666666667,946.0,76,True,-4.661403170935232,-4.661403170935232,-4.661403170935232
58,0,1249.0,814.0,73,True,-4.039099107773286,-4.039099107773286,-4.039099107773286
59,0,1249.1666666666665,851.0,74,True,-4.210431510366519,-4.210431510366519,-4.210431510366519
60,0,1145.8333333333333,542.0,70,True,-2.757490050709288,-2.757490050709288,-2.757490050709288
61,0,1227.1666666666667,726.0,74,True,-3.626961775466974,-3.626961775466974,-3.626961775466974
62,0,1233.3333333333333,785.0,75,True,-3.9014458566018355,-3.9014458566018355,-3.9014458566018355
63,0,1266.3333333333333,831.0,76,True,-4.12155786635856,-4.12155786635856,-4.12155786635856
64,0,1191.3333333333333,723.0,74,True,-3.605310032736375,-3.605310032736375,-3.605310032736375
65,0,1187.5,647.0,72,True,-3.2526277360549463,-3.2526277360549463,-3.2526277360549463
66,0,1278.0,831.0,74,True,-4.124085307144232,-4.124085307144232,-4.124085307144232
67,0,1184.1666666666665,603.0,72,True,-3.0482019064124795,-3.0482019064124795,-3.0482019064124795
68,0,1028.3333333333335,463.0,69,True,-2.3662943706271267,-2.3662943706271267,-2.3662943706271267
69,0,1219.5,571.0,71,True,-2.907708293215225,-2.907708293215225,-2.907708293215225
70,0,1152.0,684.0,74,True,-3.4162333911034075,-3.4162333911034075,-3.4162333911034075
71,0,1228.1666666666667,836.0,76,True,-4.136437672507864,-4.136437672507864,-4.136437672507864
72,0,1048.5,419.0,68,True,-2.166959528852943,-2.166959528852943,-2.166959528852943
73,0,1123.1666666666667,603.0,71,True,-3.0349870017331013,-3.0349870017331013,-3.0349870017331013
74,0,1368.8333333333333,1020.0,78,True,-5.018763238975543,-5.018763238975543,-5.018763238975543
75,0,1137.3333333333333,603.0,71,True,-3.0380560369728484,-3.0380560369728484,-3.0380560369728484
