episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,1448.5,1169.0,0.49205940000001647,76.0,-5.0155270566986605,-5.0155270566986605,-5.0155270566986605,1.0
2,1234.5,857.0,0.5094025999999303,72.0,-3.7158758897899906,-3.7158758897899906,-3.7158758897899906,1.0
3,1405.6666666666667,938.0,0.5071338000000196,72.0,-4.079386089173779,-4.079386089173779,-4.079386089173779,1.0
4,1555.5,1144.0,0.5027060999998412,78.0,-4.939416811275988,-4.939416811275988,-4.939416811275988,1.0
5,1619.5,1128.0,0.5554279000000406,78.0,-4.889694815313243,-4.889694815313243,-4.889694815313243,1.0
6,1445.5,1033.0,0.5678863999999066,75.0,-4.469395208414492,-4.469395208414492,-4.469395208414492,1.0
7,1324.5,1054.0,0.5482291000000714,75.0,-4.526301926550272,-4.526301926550272,-4.526301926550272,1.0
8,1871.5,1357.0,0.563035900000159,81.0,-5.865037450862344,-5.865037450862344,-5.865037450862344,1.0
9,1339.5,609.0,0.5137638999999581,67.0,-2.7449290824096044,-2.7449290824096044,-2.7449290824096044,1.0
10,1421.5,1182.0,0.5786282999999912,79.0,-5.061570368665226,-5.061570368665226,-5.061570368665226,1.0
11,1508.5,1340.0,0.6018940999999813,80.0,-5.714901990296419,-5.714901990296419,-5.714901990296419,1.0
12,1429.8333333333335,1214.0,0.6293116000001646,78.0,-5.191794011403479,-5.191794011403479,-5.191794011403479,1.0
13,1275.5,886.0,0.5249562000001333,71.0,-3.841442522222615,-3.841442522222615,-3.841442522222615,1.0
14,1391.4999999999998,850.0,0.5459983999999167,70.0,-3.7232465382299824,-3.7232465382299824,-3.7232465382299824,1.0
15,1440.5,863.0,0.49979750000011336,69.0,-3.786448188546942,-3.786448188546942,-3.786448188546942,1.0
16,1459.5,828.0,0.5500171999999566,71.0,-3.6503634415837376,-3.6503634415837376,-3.6503634415837376,1.0
17,1075.0,695.0,0.5192726000000221,70.0,-3.030133335694303,-3.030133335694303,-3.030133335694303,1.0
18,1036.6666666666665,497.0,0.5456460999998853,64.0,-2.2273612635903253,-2.2273612635903253,-2.2273612635903253,1.0
19,1047.5,567.0,0.7304486000000452,64.0,-2.5105557424655593,-2.5105557424655593,-2.5105557424655593,1.0
20,1226.5,564.0,0.5256065999999464,66.0,-2.538936059071431,-2.538936059071431,-2.538936059071431,1.0
21,1080.5,685.0,0.5151582000000872,68.0,-2.9912681056769492,-2.9912681056769492,-2.9912681056769492,1.0
22,1226.5,545.0,0.5214057999999113,65.0,-2.4627328505152812,-2.4627328505152812,-2.4627328505152812,1.0
23,1182.5,442.0,0.47393090000014126,64.0,-2.0396974714027696,-2.0396974714027696,-2.0396974714027696,1.0
24,1156.5,397.0,0.5002326999999696,63.0,-1.8533462301235968,-1.8533462301235968,-1.8533462301235968,1.0
25,1081.5,485.0,0.5054454000000987,65.0,-2.189354835853667,-2.189354835853667,-2.189354835853667,1.0
26,1119.5,573.0,0.48799989999997706,64.0,-2.550875181499452,-2.550875181499452,-2.550875181499452,1.0
27,1297.1666666666665,858.0,0.5228409999999712,72.0,-3.7340346885292344,-3.7340346885292344,-3.7340346885292344,1.0
28,1108.5,560.0,0.4964247999998861,65.0,-2.496252700357688,-2.496252700357688,-2.496252700357688,1.0
29,1009.3333333333334,334.0,0.4679740000001402,62.0,-1.5674469667457591,-1.5674469667457591,-1.5674469667457591,1.0
30,1190.5,562.0,0.5336428000000524,66.0,-2.5227870347416514,-2.5227870347416514,-2.5227870347416514,1.0
31,1149.5,675.0,0.5278117000000293,67.0,-2.9667391188865655,-2.9667391188865655,-2.9667391188865655,1.0
32,1391.5,699.0,0.5305670999998711,68.0,-3.11763156496795,-3.11763156496795,-3.11763156496795,1.0
33,1188.5,561.0,0.4882505000000492,66.0,-2.518324804334738,-2.518324804334738,-2.518324804334738,1.0
34,1157.5,776.0,0.5147954999999911,69.0,-3.3736254736693003,-3.3736254736693003,-3.3736254736693003,1.0
35,1180.5,500.0,0.47898490000011407,64.0,-2.2718662570386363,-2.2718662570386363,-2.2718662570386363,1.0
36,1267.5,624.0,0.5197797999999239,67.0,-2.7888342423061934,-2.7888342423061934,-2.7888342423061934,1.0
37,1218.5,334.0,0.47016569999982494,61.0,-1.6146700251443136,-1.6146700251443136,-1.6146700251443136,1.0
38,1143.1666666666665,810.0,0.49701520000007804,70.0,-3.5067531076247493,-3.5067531076247493,-3.5067531076247493,1.0
39,1239.5,739.0,0.5064519000000018,70.0,-3.2437426957537987,-3.2437426957537987,-3.2437426957537987,1.0
40,1182.5,497.0,0.47499790000006215,64.0,-2.260285706696887,-2.260285706696887,-2.260285706696887,1.0
41,1028.5,375.0,0.43981349999990016,62.0,-1.736212681942133,-1.736212681942133,-1.736212681942133,1.0
42,1053.5,420.0,0.4875870999999279,63.0,-1.9223381556114323,-1.9223381556114323,-1.9223381556114323,1.0
43,1094.5,502.0,0.4979684999998426,64.0,-2.2604716329638412,-2.2604716329638412,-2.2604716329638412,1.0
44,1162.5,503.0,0.47345050000012634,65.0,-2.27983452562241,-2.27983452562241,-2.27983452562241,1.0
45,1132.5,394.0,0.4823793000000478,63.0,-1.8358957219251333,-1.8358957219251333,-1.8358957219251333,1.0
46,1223.5,691.0,0.4953403999998045,68.0,-3.0476170450118643,-3.0476170450118643,-3.0476170450118643,1.0
47,1316.5,719.0,0.5159873999998581,68.0,-3.180912897970746,-3.180912897970746,-3.180912897970746,1.0
48,1347.5,579.0,0.48090959999990446,66.0,-2.6264143676736196,-2.6264143676736196,-2.6264143676736196,1.0
49,1366.4999999999998,579.0,0.48231780000014624,66.0,-2.6307039522612183,-2.6307039522612183,-2.6307039522612183,1.0
50,1113.3333333333333,424.0,0.47273939999990944,64.0,-1.95188936501753,-1.95188936501753,-1.95188936501753,1.0
51,1241.5,838.0,0.5179181000000881,69.0,-3.641253054502956,-3.641253054502956,-3.641253054502956,1.0
52,977.3333333333333,465.0,0.4856969000002209,63.0,-2.085623472748522,-2.085623472748522,-2.085623472748522,1.0
53,1138.5,452.0,0.45665710000002946,63.0,-2.069870648439989,-2.069870648439989,-2.069870648439989,1.0
54,1127.5,533.0,0.5072953000001235,66.0,-2.3922535148918076,-2.3922535148918076,-2.3922535148918076,1.0
55,1261.5,757.0,0.4987071999998989,68.0,-3.3209020965399985,-3.3209020965399985,-3.3209020965399985,1.0
56,1267.5,547.0,0.4910194000001411,64.0,-2.480010712894429,-2.480010712894429,-2.480010712894429,1.0
57,1096.5,474.0,0.4863164999999299,65.0,-2.148623702942947,-2.148623702942947,-2.148623702942947,1.0
58,1050.6666666666665,437.0,0.4636026000000584,63.0,-1.9898802988986082,-1.9898802988986082,-1.9898802988986082,1.0
