global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,1063.0,819.0,140,True,-819.0,-819.0,-819.0
2,0,1343.1666666666665,875.0,138,True,-875.0,-875.0,-875.0
3,0,975.1666666666667,565.0,138,True,-565.0,-565.0,-565.0
4,0,1117.0,553.0,135,True,-553.0,-553.0,-553.0
5,0,1473.1666666666665,600.0,137,True,-600.0,-600.0,-600.0
6,0,1002.6666666666667,644.0,138,True,-644.0,-644.0,-644.0
7,0,1092.1666666666667,637.0,139,True,-637.0,-637.0,-637.0
8,0,1405.0,976.0,143,True,-976.0,-976.0,-976.0
9,0,1264.3333333333335,744.0,140,True,-744.0,-744.0,-744.0
10,0,991.0,685.0,139,True,-685.0,-685.0,-685.0
11,0,1301.1666666666665,731.0,138,True,-731.0,-731.0,-731.0
12,0,1417.1666666666665,1066.0,142,True,-1066.0,-1066.0,-1066.0
13,0,968.4999999999999,590.0,137,True,-590.0,-590.0,-590.0
14,0,1239.1666666666667,672.0,137,True,-672.0,-672.0,-672.0
15,0,1010.6666666666666,455.0,135,True,-455.0,-455.0,-455.0
16,0,1044.0,496.0,137,True,-496.0,-496.0,-496.0
17,0,1132.0,603.0,140,True,-603.0,-603.0,-603.0
18,0,1167.6666666666667,934.0,142,True,-934.0,-934.0,-934.0
19,0,1100.3333333333335,737.0,140,True,-737.0,-737.0,-737.0
20,0,1338.1666666666665,780.0,138,True,-780.0,-780.0,-780.0
21,0,1388.0,817.0,140,True,-817.0,-817.0,-817.0
22,0,1028.3333333333335,721.0,139,True,-721.0,-721.0,-721.0
23,0,983.0,666.0,139,True,-666.0,-666.0,-666.0
24,0,1328.1666666666665,644.0,139,True,-644.0,-644.0,-644.0
25,0,1126.1666666666667,793.0,141,True,-793.0,-793.0,-793.0
26,0,1204.6666666666665,903.0,142,True,-903.0,-903.0,-903.0
27,0,1018.0,597.0,138,True,-597.0,-597.0,-597.0
28,0,1026.3333333333335,542.0,138,True,-542.0,-542.0,-542.0
29,0,1061.0,610.0,138,True,-610.0,-610.0,-610.0
30,0,1042.1666666666667,500.0,138,True,-500.0,-500.0,-500.0
31,0,1019.3333333333334,692.0,141,True,-692.0,-692.0,-692.0
32,0,1146.1666666666667,688.0,140,True,-688.0,-688.0,-688.0
33,0,1121.3333333333335,545.0,138,True,-545.0,-545.0,-545.0
34,0,907.8333333333333,698.0,141,True,-698.0,-698.0,-698.0
35,0,1102.1666666666665,792.0,142,True,-792.0,-792.0,-792.0
36,0,1062.0,720.0,142,True,-720.0,-720.0,-720.0
37,0,1061.1666666666665,709.0,140,True,-709.0,-709.0,-709.0
38,0,943.3333333333334,443.0,137,True,-443.0,-443.0,-443.0
39,0,941.3333333333334,516.0,137,True,-516.0,-516.0,-516.0
40,0,1066.0,622.0,140,True,-622.0,-622.0,-622.0
41,0,1003.1666666666666,511.0,138,True,-511.0,-511.0,-511.0
42,0,950.8333333333334,550.0,139,True,-550.0,-550.0,-550.0
43,0,1056.0,474.0,137,True,-474.0,-474.0,-474.0
44,0,1008.0,569.0,139,True,-569.0,-569.0,-569.0
45,0,1250.5,725.0,141,True,-725.0,-725.0,-725.0
46,0,1458.1666666666665,833.0,143,True,-833.0,-833.0,-833.0
47,0,900.0,450.0,137,True,-450.0,-450.0,-450.0
48,0,957.3333333333334,509.0,138,True,-509.0,-509.0,-509.0
49,0,1217.8333333333333,841.0,142,True,-841.0,-841.0,-841.0
50,0,1113.6666666666665,507.0,138,True,-507.0,-507.0,-507.0
51,0,1322.1666666666665,916.0,144,True,-916.0,-916.0,-916.0
52,0,1005.1666666666667,500.0,138,True,-500.0,-500.0,-500.0
53,0,1024.6666666666665,628.0,140,True,-628.0,-628.0,-628.0
54,0,1161.6666666666665,441.0,137,True,-441.0,-441.0,-441.0
55,0,854.0,389.0,136,True,-389.0,-389.0,-389.0
56,0,1131.0,748.0,142,True,-748.0,-748.0,-748.0
57,0,1022.0,416.0,136,True,-416.0,-416.0,-416.0
58,0,965.1666666666666,389.0,136,True,-389.0,-389.0,-389.0
59,0,1143.3333333333335,619.0,140,True,-619.0,-619.0,-619.0
60,0,1129.6666666666665,628.0,140,True,-628.0,-628.0,-628.0
61,0,1129.1666666666665,665.0,141,True,-665.0,-665.0,-665.0
62,0,1368.5,881.0,144,True,-881.0,-881.0,-881.0
63,0,1050.5,689.0,141,True,-689.0,-689.0,-689.0
64,0,990.3333333333334,396.0,136,True,-396.0,-396.0,-396.0
65,0,1376.5,697.0,141,True,-697.0,-697.0,-697.0
66,0,1473.0,794.0,143,True,-794.0,-794.0,-794.0
67,0,1238.6666666666667,770.0,142,True,-770.0,-770.0,-770.0
68,0,1225.3333333333333,912.0,145,True,-912.0,-912.0,-912.0
69,0,1082.3333333333333,623.0,140,True,-623.0,-623.0,-623.0
70,0,1430.0,933.0,145,True,-933.0,-933.0,-933.0
71,0,1350.0,663.0,140,True,-663.0,-663.0,-663.0
72,0,995.8333333333333,525.0,138,True,-525.0,-525.0,-525.0
73,0,1046.0,543.0,138,True,-543.0,-543.0,-543.0
74,0,1163.0,613.0,140,True,-613.0,-613.0,-613.0
75,0,1104.0,826.0,143,True,-826.0,-826.0,-826.0
76,0,1127.1666666666665,555.0,139,True,-555.0,-555.0,-555.0
77,0,1041.1666666666667,682.0,141,True,-682.0,-682.0,-682.0
78,0,1071.3333333333335,593.0,139,True,-593.0,-593.0,-593.0
79,0,1170.0,621.0,140,True,-621.0,-621.0,-621.0
80,0,1031.8333333333333,511.0,138,True,-511.0,-511.0,-511.0
81,0,946.1666666666666,645.0,140,True,-645.0,-645.0,-645.0
82,0,1000.0,695.0,141,True,-695.0,-695.0,-695.0
83,0,1280.0,877.0,144,True,-877.0,-877.0,-877.0
84,0,1033.6666666666667,644.0,140,True,-644.0,-644.0,-644.0
85,0,1122.6666666666665,515.0,138,True,-515.0,-515.0,-515.0
86,0,972.1666666666667,560.0,139,True,-560.0,-560.0,-560.0
87,0,1006.0,492.0,138,True,-492.0,-492.0,-492.0
88,0,1398.1666666666667,742.0,141,True,-742.0,-742.0,-742.0
89,0,1056.0,605.0,140,True,-605.0,-605.0,-605.0
90,0,1395.1666666666665,681.0,140,True,-681.0,-681.0,-681.0
91,0,1007.1666666666666,604.0,140,True,-604.0,-604.0,-604.0
92,0,1048.1666666666667,576.0,139,True,-576.0,-576.0,-576.0
93,0,1176.0,737.0,142,True,-737.0,-737.0,-737.0
94,0,1154.1666666666665,536.0,139,True,-536.0,-536.0,-536.0
95,0,1084.5,518.0,138,True,-518.0,-518.0,-518.0
96,0,986.0,560.0,139,True,-560.0,-560.0,-560.0
97,0,1009.1666666666667,567.0,139,True,-567.0,-567.0,-567.0
98,0,1190.0,727.0,142,True,-727.0,-727.0,-727.0
99,0,1183.1666666666667,848.0,143,True,-848.0,-848.0,-848.0
100,0,1129.8333333333333,606.0,139,True,-606.0,-606.0,-606.0
101,0,1141.0,651.0,140,True,-651.0,-651.0,-651.0
102,0,1046.0,639.0,140,True,-639.0,-639.0,-639.0
103,0,1171.1666666666667,622.0,140,True,-622.0,-622.0,-622.0
104,0,1077.0,589.0,140,True,-589.0,-589.0,-589.0
105,0,1056.0,419.0,137,True,-419.0,-419.0,-419.0
106,0,1074.0,638.0,140,True,-638.0,-638.0,-638.0
107,0,1112.1666666666667,617.0,140,True,-617.0,-617.0,-617.0
108,0,1311.1666666666665,717.0,141,True,-717.0,-717.0,-717.0
109,0,1155.0,846.0,144,True,-846.0,-846.0,-846.0
110,0,1038.0,387.0,136,True,-387.0,-387.0,-387.0
111,0,1261.0,614.0,140,True,-614.0,-614.0,-614.0
112,0,1095.6666666666665,455.0,137,True,-455.0,-455.0,-455.0
113,0,878.6666666666667,448.0,137,True,-448.0,-448.0,-448.0
114,0,1177.8333333333333,798.0,142,True,-798.0,-798.0,-798.0
115,0,1393.1666666666665,700.0,141,True,-700.0,-700.0,-700.0
116,0,1081.3333333333333,548.0,139,True,-548.0,-548.0,-548.0
117,0,1274.1666666666667,555.0,139,True,-555.0,-555.0,-555.0
118,0,968.3333333333334,454.0,137,True,-454.0,-454.0,-454.0
119,0,995.0,526.0,139,True,-526.0,-526.0,-526.0
120,0,936.8333333333334,510.0,138,True,-510.0,-510.0,-510.0
121,0,1209.3333333333333,583.0,139,True,-583.0,-583.0,-583.0
122,0,1237.3333333333335,753.0,142,True,-753.0,-753.0,-753.0
123,0,909.1666666666666,432.0,137,True,-432.0,-432.0,-432.0
124,0,1351.1666666666665,777.0,142,True,-777.0,-777.0,-777.0
125,0,1164.5,650.0,140,True,-650.0,-650.0,-650.0
126,0,950.3333333333334,396.0,136,True,-396.0,-396.0,-396.0
127,0,1044.0,390.0,136,True,-390.0,-390.0,-390.0
128,0,1204.1666666666667,807.0,143,True,-807.0,-807.0,-807.0
129,0,1455.5,733.0,141,True,-733.0,-733.0,-733.0
130,0,968.1666666666667,448.0,137,True,-448.0,-448.0,-448.0
131,0,1093.1666666666667,767.0,142,True,-767.0,-767.0,-767.0
132,0,1143.3333333333333,622.0,140,True,-622.0,-622.0,-622.0
133,0,1407.1666666666665,764.0,142,True,-764.0,-764.0,-764.0
134,0,1091.0,499.0,138,True,-499.0,-499.0,-499.0
135,0,1404.8333333333335,804.0,143,True,-804.0,-804.0,-804.0
136,0,920.1666666666666,467.0,138,True,-467.0,-467.0,-467.0
137,0,1028.0,555.0,139,True,-555.0,-555.0,-555.0
138,0,1096.6666666666667,457.0,137,True,-457.0,-457.0,-457.0
139,0,1156.1666666666667,617.0,140,True,-617.0,-617.0,-617.0
140,0,916.6666666666667,525.0,138,True,-525.0,-525.0,-525.0
141,0,1409.5,914.0,145,True,-914.0,-914.0,-914.0
142,0,941.1666666666667,560.0,139,True,-560.0,-560.0,-560.0
143,0,1029.3333333333335,592.0,140,True,-592.0,-592.0,-592.0
144,0,895.3333333333334,327.0,135,True,-327.0,-327.0,-327.0
145,0,1246.0,816.0,143,True,-816.0,-816.0,-816.0
146,0,954.8333333333334,612.0,139,True,-612.0,-612.0,-612.0
147,0,1021.8333333333333,811.0,143,True,-811.0,-811.0,-811.0
148,0,1333.1666666666667,606.0,139,True,-606.0,-606.0,-606.0
149,0,1135.8333333333333,667.0,140,True,-667.0,-667.0,-667.0
150,0,1169.8333333333333,627.0,140,True,-627.0,-627.0,-627.0
151,0,1167.1666666666667,577.0,139,True,-577.0,-577.0,-577.0
152,0,1401.5,698.0,141,True,-698.0,-698.0,-698.0
153,0,1142.1666666666667,655.0,140,True,-655.0,-655.0,-655.0
154,0,1119.3333333333335,519.0,138,True,-519.0,-519.0,-519.0
155,0,1119.8333333333333,606.0,139,True,-606.0,-606.0,-606.0
156,0,942.0,535.0,138,True,-535.0,-535.0,-535.0
157,0,1178.3333333333335,606.0,140,True,-606.0,-606.0,-606.0
158,0,1109.1666666666665,536.0,139,True,-536.0,-536.0,-536.0
159,0,993.1666666666666,532.0,139,True,-532.0,-532.0,-532.0
160,0,1040.0,525.0,138,True,-525.0,-525.0,-525.0
161,0,881.6666666666667,493.0,138,True,-493.0,-493.0,-493.0
162,0,1114.3333333333335,605.0,140,True,-605.0,-605.0,-605.0
163,0,1473.1666666666665,660.0,140,True,-660.0,-660.0,-660.0
164,0,983.8333333333334,513.0,138,True,-513.0,-513.0,-513.0
165,0,1204.8333333333335,604.0,139,True,-604.0,-604.0,-604.0
166,0,1112.1666666666667,804.0,143,True,-804.0,-804.0,-804.0
167,0,953.0,582.0,140,True,-582.0,-582.0,-582.0
168,0,1108.0,508.0,138,True,-508.0,-508.0,-508.0
169,0,1147.3333333333333,634.0,140,True,-634.0,-634.0,-634.0
170,0,1137.6666666666665,688.0,141,True,-688.0,-688.0,-688.0
171,0,1404.0,721.0,141,True,-721.0,-721.0,-721.0
172,0,948.6666666666667,496.0,138,True,-496.0,-496.0,-496.0
173,0,1173.0,786.0,143,True,-786.0,-786.0,-786.0
174,0,1022.0,431.0,137,True,-431.0,-431.0,-431.0
175,0,1137.1666666666667,617.0,140,True,-617.0,-617.0,-617.0
176,0,1171.1666666666667,518.0,138,True,-518.0,-518.0,-518.0
177,0,1122.1666666666667,802.0,143,True,-802.0,-802.0,-802.0
178,0,909.0,389.0,136,True,-389.0,-389.0,-389.0
179,0,946.1666666666666,252.0,134,True,-252.0,-252.0,-252.0
180,0,1429.1666666666665,723.0,141,True,-723.0,-723.0,-723.0
181,0,1110.0,615.0,140,True,-615.0,-615.0,-615.0
182,0,990.0,607.0,140,True,-607.0,-607.0,-607.0
183,0,1184.0,553.0,139,True,-553.0,-553.0,-553.0
184,0,1062.1666666666665,656.0,141,True,-656.0,-656.0,-656.0
185,0,1086.0,441.0,137,True,-441.0,-441.0,-441.0
186,0,1294.3333333333333,732.0,142,True,-732.0,-732.0,-732.0
187,0,1106.6666666666665,632.0,140,True,-632.0,-632.0,-632.0
188,0,1061.8333333333333,557.0,139,True,-557.0,-557.0,-557.0
189,0,1052.0,498.0,138,True,-498.0,-498.0,-498.0
190,0,1039.6666666666667,552.0,139,True,-552.0,-552.0,-552.0
191,0,955.4999999999999,516.0,138,True,-516.0,-516.0,-516.0
192,0,1169.0,555.0,139,True,-555.0,-555.0,-555.0
193,0,1057.3333333333335,602.0,140,True,-602.0,-602.0,-602.0
194,0,947.1666666666666,500.0,138,True,-500.0,-500.0,-500.0
195,0,949.1666666666666,524.0,138,True,-524.0,-524.0,-524.0
196,0,1137.0,728.0,142,True,-728.0,-728.0,-728.0
197,0,1169.3333333333333,645.0,140,True,-645.0,-645.0,-645.0
198,0,1063.3333333333335,658.0,141,True,-658.0,-658.0,-658.0
199,0,1098.1666666666667,605.0,140,True,-605.0,-605.0,-605.0
200,0,1421.5,734.0,141,True,-734.0,-734.0,-734.0
201,0,1042.0,500.0,138,True,-500.0,-500.0,-500.0
