episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,1649.9999999999998,1786.0,0.7469747,90.0,-1649.9999999999998,-1649.9999999999998,-1649.9999999999998,1.0
2,1729.8333333333333,1952.0,0.6899516000000006,94.0,-1729.8333333333333,-1729.8333333333333,-1729.8333333333333,1.0
3,1634.6666666666665,1751.0,0.6542339999999998,89.0,-1634.6666666666665,-1634.6666666666665,-1634.6666666666665,1.0
4,1664.8333333333335,1787.0,0.7565752999999997,91.0,-1664.8333333333335,-1664.8333333333335,-1664.8333333333335,1.0
5,1798.8333333333333,2098.0,0.6847929999999991,97.0,-1798.8333333333333,-1798.8333333333333,-1798.8333333333333,1.0
6,1567.3333333333333,1626.0,0.6440780000000004,89.0,-1567.3333333333333,-1567.3333333333333,-1567.3333333333333,1.0
7,1629.333333333333,1708.0,0.6454105000000006,89.0,-1629.333333333333,-1629.333333333333,-1629.333333333333,1.0
8,1509.333333333333,1502.0,0.6285337000000002,86.0,-1509.333333333333,-1509.333333333333,-1509.333333333333,1.0
9,1450.1666666666667,1302.0,0.6272737999999993,83.0,-1450.1666666666667,-1450.1666666666667,-1450.1666666666667,1.0
10,1332.0,1089.0,0.6030578000000002,79.0,-1332.0,-1332.0,-1332.0,1.0
11,1529.3333333333333,1432.0,0.6703323000000001,86.0,-1529.3333333333333,-1529.3333333333333,-1529.3333333333333,1.0
12,1393.3333333333333,1076.0,0.661225,79.0,-1393.3333333333333,-1393.3333333333333,-1393.3333333333333,1.0
13,1545.1666666666667,1567.0,0.6898009999999992,87.0,-1545.1666666666667,-1545.1666666666667,-1545.1666666666667,1.0
14,1523.8333333333333,1610.0,0.6301898999999977,88.0,-1523.8333333333333,-1523.8333333333333,-1523.8333333333333,1.0
15,1494.0,1209.0,0.5639083000000014,80.0,-1494.0,-1494.0,-1494.0,1.0
16,1370.0,1059.0,0.6422279999999994,79.0,-1370.0,-1370.0,-1370.0,1.0
17,1407.8333333333333,1123.0,0.7041837000000015,80.0,-1407.8333333333333,-1407.8333333333333,-1407.8333333333333,1.0
18,1708.6666666666665,1878.0,0.6764009000000009,93.0,-1708.6666666666665,-1708.6666666666665,-1708.6666666666665,1.0
19,1538.8333333333335,1562.0,0.6454369,88.0,-1538.8333333333335,-1538.8333333333335,-1538.8333333333335,1.0
20,1426.5,1250.0,0.6396188000000009,81.0,-1426.5,-1426.5,-1426.5,1.0
21,1487.3333333333333,1407.0,0.6847430999999986,85.0,-1487.3333333333333,-1487.3333333333333,-1487.3333333333333,1.0
