global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,2641.5,1990.0,299,True,-1.9809262663205576,-1.9809262663205576,-1.9809262663205576
2,0,2548.6666666666665,1707.0,293,True,-1.7675409797583885,-1.7675409797583885,-1.7675409797583885
3,0,3549.5000000000005,2517.0,301,True,-2.555885801138871,-2.555885801138871,-2.555885801138871
4,0,2706.0,2310.0,300,True,-2.2124329121302932,-2.2124329121302932,-2.2124329121302932
5,0,3181.166666666667,2839.0,309,True,-2.684176021964546,-2.684176021964546,-2.684176021964546
6,0,2895.5,1998.0,303,True,-2.0476869152327524,-2.0476869152327524,-2.0476869152327524
7,0,3263.166666666667,3147.0,310,True,-2.911813235716991,-2.911813235716991,-2.911813235716991
8,0,2539.6666666666665,1663.0,294,True,-1.7356771079550404,-1.7356771079550404,-1.7356771079550404
9,0,3361.666666666667,3197.0,313,True,-2.969347529781873,-2.969347529781873,-2.969347529781873
10,0,2125.833333333333,1075.0,290,True,-1.2389401328314276,-1.2389401328314276,-1.2389401328314276
11,0,2444.666666666667,983.0,289,True,-1.2538871461021817,-1.2538871461021817,-1.2538871461021817
12,0,2533.666666666667,2022.0,298,True,-1.9764678151018857,-1.9764678151018857,-1.9764678151018857
13,0,3048.8333333333335,2360.0,305,True,-2.3289944247488883,-2.3289944247488883,-2.3289944247488883
14,0,2920.3333333333335,2073.0,298,True,-2.104293558456022,-2.104293558456022,-2.104293558456022
15,0,2633.6666666666665,1800.0,295,True,-1.8508287238780317,-1.8508287238780317,-1.8508287238780317
16,0,2865.6666666666665,2648.0,312,True,-2.4790761267056296,-2.4790761267056296,-2.4790761267056296
17,0,2979.0,1964.0,300,True,-2.044917275410361,-2.044917275410361,-2.044917275410361
18,0,2544.0,1315.0,289,True,-1.5019061616403329,-1.5019061616403329,-1.5019061616403329
19,0,2378.6666666666665,1245.0,292,True,-1.4147306737053367,-1.4147306737053367,-1.4147306737053367
20,0,3315.666666666667,2397.0,302,True,-2.418423563026899,-2.418423563026899,-2.418423563026899
21,0,2840.333333333333,2423.0,305,True,-2.3211341161854415,-2.3211341161854415,-2.3211341161854415
22,0,2793.6666666666665,1912.0,301,True,-1.9650558405379503,-1.9650558405379503,-1.9650558405379503
23,0,2462.0,1312.0,291,True,-1.480071916848751,-1.480071916848751,-1.480071916848751
24,0,2799.5,2005.0,299,True,-2.0292181216200675,-2.0292181216200675,-2.0292181216200675
25,0,2924.8333333333335,1970.0,295,True,-2.0358800152753753,-2.0358800152753753,-2.0358800152753753
26,0,3383.666666666667,2907.0,310,True,-2.778980883828685,-2.778980883828685,-2.778980883828685
27,0,2635.0,1723.0,294,True,-1.7991940218250062,-1.7991940218250062,-1.7991940218250062
28,0,3097.8333333333335,2050.0,295,True,-2.131655291641643,-2.131655291641643,-2.131655291641643
29,0,2340.6666666666665,1164.0,291,True,-1.3508945810019788,-1.3508945810019788,-1.3508945810019788
30,0,2527.6666666666665,1762.0,298,True,-1.7995797098330764,-1.7995797098330764,-1.7995797098330764
