episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,2996.666666666666,1173.0,1.1672440000002098,170.0,-2.359378168437001,-2.359378168437001,-2.359378168437001,1.0
2,2660.333333333333,846.0,1.268540099998063,169.0,-1.836857201202764,-1.836857201202764,-1.836857201202764,1.0
3,2873.6666666666665,1200.0,1.2887686000030953,170.0,-2.361673918850365,-2.361673918850365,-2.361673918850365,1.0
4,2343.333333333333,793.0,1.3300139000020863,167.0,-1.6810517727520429,-1.6810517727520429,-1.6810517727520429,1.0
5,2746.1666666666665,1111.0,1.3709205999984988,168.0,-2.209716186678619,-2.209716186678619,-2.209716186678619,1.0
6,2744.3333333333335,1052.0,1.2829410999984248,169.0,-2.131383071375451,-2.131383071375451,-2.131383071375451,1.0
7,2349.6666666666665,760.0,1.260276500001055,168.0,-1.6392320381864938,-1.6392320381864938,-1.6392320381864938,1.0
8,2913.8333333333335,1238.0,1.3269261999994342,172.0,-2.422688171351218,-2.422688171351218,-2.422688171351218,1.0
9,2865.4999999999995,948.0,1.2788085000029241,168.0,-2.027007503811953,-2.027007503811953,-2.027007503811953,1.0
10,2715.5,757.0,1.2512002000003122,168.0,-1.734389218872977,-1.734389218872977,-1.734389218872977,1.0
11,2744.333333333334,1046.0,1.2509439999994356,170.0,-2.123467504093129,-2.123467504093129,-2.123467504093129,1.0
12,2658.333333333334,1175.0,1.2593520999980683,171.0,-2.2703522819418365,-2.2703522819418365,-2.2703522819418365,1.0
13,2602.0,827.0,1.2810460000000603,167.0,-1.795987029707146,-1.795987029707146,-1.795987029707146,1.0
14,2938.5000000000005,1099.0,1.2624142999993637,169.0,-2.2459937850680074,-2.2459937850680074,-2.2459937850680074,1.0
15,2530.1666666666665,755.0,1.2552374999977474,169.0,-1.6815384685036954,-1.6815384685036954,-1.6815384685036954,1.0
16,2373.833333333333,596.0,1.2788782000025094,168.0,-1.4294206569165473,-1.4294206569165473,-1.4294206569165473,1.0
17,2279.6666666666665,447.0,1.2911294999976235,167.0,-1.2073382281701168,-1.2073382281701168,-1.2073382281701168,1.0
18,2434.833333333333,822.0,1.1892364999985148,167.0,-1.7441003777521542,-1.7441003777521542,-1.7441003777521542,1.0
19,2762.333333333333,793.0,1.27927279999858,169.0,-1.7945711441960968,-1.7945711441960968,-1.7945711441960968,1.0
20,2391.833333333333,695.0,1.260568299996521,168.0,-1.5649042442490668,-1.5649042442490668,-1.5649042442490668,1.0
21,2392.0,889.0,1.2243890999998257,169.0,-1.8208860745920505,-1.8208860745920505,-1.8208860745920505,1.0
22,2080.666666666666,634.0,1.2485211999992316,168.0,-1.400125146932077,-1.400125146932077,-1.400125146932077,1.0
23,2009.4999999999998,472.0,1.2336624999988999,166.0,-1.1671236960187688,-1.1671236960187688,-1.1671236960187688,1.0
24,2380.6666666666665,570.0,1.221621500000765,168.0,-1.396971215490769,-1.396971215490769,-1.396971215490769,1.0
25,2603.333333333333,695.0,1.2841527000018687,168.0,-1.6222057885460053,-1.6222057885460053,-1.6222057885460053,1.0
26,2001.8333333333333,476.0,1.23433180000211,166.0,-1.1703236163364876,-1.1703236163364876,-1.1703236163364876,1.0
27,2496.0,731.0,1.1973745999966923,167.0,-1.6406194487196626,-1.6406194487196626,-1.6406194487196626,1.0
28,2401.833333333333,631.0,1.2285855999980413,170.0,-1.4831808194455267,-1.4831808194455267,-1.4831808194455267,1.0
29,2432.833333333333,569.0,1.2913931000002776,168.0,-1.4097854321060026,-1.4097854321060026,-1.4097854321060026,1.0
30,2288.6666666666665,536.0,1.228375300001062,169.0,-1.3271908397783285,-1.3271908397783285,-1.3271908397783285,1.0
31,2373.6666666666665,693.0,1.2915367000023252,169.0,-1.5573438397661756,-1.5573438397661756,-1.5573438397661756,1.0
32,2364.833333333333,569.0,1.3477469999997993,167.0,-1.391362240558996,-1.391362240558996,-1.391362240558996,1.0
33,1890.4999999999998,474.0,1.2544879999986733,167.0,-1.1375216332389484,-1.1375216332389484,-1.1375216332389484,1.0
34,2188.6666666666665,509.0,1.2318090000007942,168.0,-1.2644778582622827,-1.2644778582622827,-1.2644778582622827,1.0
35,2327.6666666666665,567.0,1.2845397000019148,167.0,-1.3786541796144411,-1.3786541796144411,-1.3786541796144411,1.0
36,2299.833333333333,664.0,1.2788110000001325,168.0,-1.4990816521777879,-1.4990816521777879,-1.4990816521777879,1.0
37,2474.833333333333,667.0,1.2166470000011032,167.0,-1.5504520611237445,-1.5504520611237445,-1.5504520611237445,1.0
38,2248.5,632.0,1.2618103999993764,170.0,-1.4429575899159977,-1.4429575899159977,-1.4429575899159977,1.0
39,2436.6666666666665,631.0,1.2389927000003809,167.0,-1.4926181896252426,-1.4926181896252426,-1.4926181896252426,1.0
40,2351.6666666666665,511.0,1.1828244999996969,167.0,-1.3112778545450468,-1.3112778545450468,-1.3112778545450468,1.0
41,2149.5,379.0,1.2157893000003241,166.0,-1.0823625033866162,-1.0823625033866162,-1.0823625033866162,1.0
42,2354.6666666666665,447.0,1.2745658999992884,166.0,-1.227657924729315,-1.227657924729315,-1.227657924729315,1.0
43,2319.6666666666665,453.0,1.2301875999983167,167.0,-1.2260909669506777,-1.2260909669506777,-1.2260909669506777,1.0
44,2177.6666666666665,507.0,1.262940399999934,168.0,-1.2588591136728267,-1.2588591136728267,-1.2588591136728267,1.0
45,2306.6666666666665,572.0,1.2404346999974223,168.0,-1.379560970646468,-1.379560970646468,-1.379560970646468,1.0
46,2054.5,419.0,1.2589031000024988,167.0,-1.1093946696271109,-1.1093946696271109,-1.1093946696271109,1.0
47,2104.5,474.0,1.2527723999992304,168.0,-1.195500500754527,-1.195500500754527,-1.195500500754527,1.0
48,2370.6666666666665,447.0,1.2007813999989594,167.0,-1.2319927933286108,-1.2319927933286108,-1.2319927933286108,1.0
49,2120.5,412.0,1.256843499999377,167.0,-1.118041174103163,-1.118041174103163,-1.118041174103163,1.0
50,2345.6666666666665,569.0,1.2638121000018145,169.0,-1.3861694292160893,-1.3861694292160893,-1.3861694292160893,1.0
