episode,makespan_mean,cost_mean,runtime_sec,steps_mean,upper_reward_mean,lower_reward_mean,total_reward_mean,done_rate
1,2173.0,524.0,0.9414436000001842,140.0,-524.0,-524.0,-524.0,1.0
2,1993.4999999999998,306.0,0.92338269999982,136.0,-306.0,-306.0,-306.0,1.0
3,1836.5000000000002,299.0,1.0028194999999869,137.0,-299.0,-299.0,-299.0,1.0
4,2102.6666666666665,373.0,0.994304800000009,137.0,-373.0,-373.0,-373.0,1.0
5,2127.333333333333,651.0,1.6365257000002202,143.0,-651.0,-651.0,-651.0,1.0
6,1942.6666666666665,262.0,1.137572099999943,136.0,-262.0,-262.0,-262.0,1.0
7,2107.833333333333,383.0,1.0736637999998493,140.0,-383.0,-383.0,-383.0,1.0
8,1723.8333333333333,298.0,0.9803213999998661,136.0,-298.0,-298.0,-298.0,1.0
9,1996.1666666666665,517.0,1.0221714999997857,140.0,-517.0,-517.0,-517.0,1.0
10,1660.8333333333335,228.0,1.0333889000003182,136.0,-228.0,-228.0,-228.0,1.0
11,2030.1666666666667,355.0,1.0042146999999204,139.0,-355.0,-355.0,-355.0,1.0
12,1763.8333333333333,247.0,0.9934554999999818,137.0,-247.0,-247.0,-247.0,1.0
13,1875.8333333333333,349.0,1.0088840000003074,137.0,-349.0,-349.0,-349.0,1.0
14,1876.0000000000002,301.0,1.0005173999998078,138.0,-301.0,-301.0,-301.0,1.0
15,1795.3333333333333,184.0,0.9371223999996801,136.0,-184.0,-184.0,-184.0,1.0
16,2005.5000000000002,369.0,0.995106300000316,138.0,-369.0,-369.0,-369.0,1.0
17,1849.8333333333335,247.0,0.9854052999999112,137.0,-247.0,-247.0,-247.0,1.0
18,1935.8333333333333,427.0,1.0124980999999025,139.0,-427.0,-427.0,-427.0,1.0
19,2050.6666666666665,369.0,0.9928466999999728,139.0,-369.0,-369.0,-369.0,1.0
20,1917.0,320.0,1.0106885000000148,138.0,-320.0,-320.0,-320.0,1.0
21,1919.0,354.0,1.0777121000000989,140.0,-354.0,-354.0,-354.0,1.0
22,1969.1666666666667,311.0,0.9900185999999849,137.0,-311.0,-311.0,-311.0,1.0
23,1901.6666666666665,284.0,0.9738199000003078,138.0,-284.0,-284.0,-284.0,1.0
24,1971.6666666666665,262.0,0.9490849999997408,137.0,-262.0,-262.0,-262.0,1.0
25,1733.0000000000002,226.0,0.963589100000263,136.0,-226.0,-226.0,-226.0,1.0
26,2036.3333333333335,347.0,0.9932472000000416,137.0,-347.0,-347.0,-347.0,1.0
27,1882.6666666666665,226.0,0.9753689999997732,136.0,-226.0,-226.0,-226.0,1.0
28,1816.5,228.0,1.0576590999999098,136.0,-228.0,-228.0,-228.0,1.0
29,1858.8333333333333,298.0,0.9748838000000433,138.0,-298.0,-298.0,-298.0,1.0
30,1973.5000000000002,369.0,1.019341099999565,139.0,-369.0,-369.0,-369.0,1.0
31,1855.5,250.0,0.972240900000088,136.0,-250.0,-250.0,-250.0,1.0
32,1849.1666666666665,345.0,0.9792840000000069,138.0,-345.0,-345.0,-345.0,1.0
33,1774.5,228.0,0.9547305000000961,136.0,-228.0,-228.0,-228.0,1.0
34,1844.0,294.0,0.9554962000001979,139.0,-294.0,-294.0,-294.0,1.0
35,1996.3333333333333,347.0,1.0792033000002448,139.0,-347.0,-347.0,-347.0,1.0
36,1865.8333333333333,354.0,1.0010815999999068,140.0,-354.0,-354.0,-354.0,1.0
37,2077.333333333333,531.0,0.9792041000000609,143.0,-531.0,-531.0,-531.0,1.0
38,2031.3333333333333,454.0,0.9963399000002937,142.0,-454.0,-454.0,-454.0,1.0
39,1859.0000000000002,301.0,0.9985711999997875,138.0,-301.0,-301.0,-301.0,1.0
40,1584.8333333333335,189.0,0.981582200000048,136.0,-189.0,-189.0,-189.0,1.0
41,1952.6666666666667,298.0,0.9636282000001302,138.0,-298.0,-298.0,-298.0,1.0
42,2066.6666666666665,262.0,0.9854780999999093,137.0,-262.0,-262.0,-262.0,1.0
43,1774.8333333333333,206.0,0.9899712000001273,136.0,-206.0,-206.0,-206.0,1.0
44,1914.8333333333333,354.0,0.9845837000002575,140.0,-354.0,-354.0,-354.0,1.0
45,2015.0,199.0,0.9681714000003012,136.0,-199.0,-199.0,-199.0,1.0
46,2094.666666666667,417.0,1.0109272999998211,141.0,-417.0,-417.0,-417.0,1.0
47,1706.5,211.0,0.9600554000003285,137.0,-211.0,-211.0,-211.0,1.0
48,2031.1666666666665,602.0,1.0842685000002348,145.0,-602.0,-602.0,-602.0,1.0
49,2056.333333333333,369.0,0.9489163000002918,139.0,-369.0,-369.0,-369.0,1.0
50,1823.6666666666667,250.0,0.9720229999998082,137.0,-250.0,-250.0,-250.0,1.0
51,1968.0,298.0,1.0989762999997765,138.0,-298.0,-298.0,-298.0,1.0
52,1744.8333333333333,247.0,0.9607458000000406,137.0,-247.0,-247.0,-247.0,1.0
53,1961.6666666666665,262.0,0.9577885999997306,137.0,-262.0,-262.0,-262.0,1.0
54,1937.0,405.0,0.9761367000000973,141.0,-405.0,-405.0,-405.0,1.0
55,1682.8333333333333,247.0,1.004634299999907,137.0,-247.0,-247.0,-247.0,1.0
56,1842.5,228.0,0.9627467000000252,136.0,-228.0,-228.0,-228.0,1.0
57,1941.6666666666665,427.0,1.0148364000001493,142.0,-427.0,-427.0,-427.0,1.0
58,1759.3333333333333,184.0,0.9686424999999872,136.0,-184.0,-184.0,-184.0,1.0
59,1995.0,342.0,1.0136166999996021,140.0,-342.0,-342.0,-342.0,1.0
60,1804.5,298.0,1.0046207999998842,138.0,-298.0,-298.0,-298.0,1.0
