global_episode,worker_id,makespan,cost,steps,done,upper_reward_sum,lower_reward_sum,total_reward_sum
1,0,2518.8333333333335,1205.0,296,True,-2518.8333333333335,-2518.8333333333335,-2518.8333333333335
2,0,2671.5,1082.0,293,True,-2671.5,-2671.5,-2671.5
3,0,2719.8333333333335,2270.0,307,True,-2719.8333333333335,-2719.8333333333335,-2719.8333333333335
4,0,2551.3333333333335,905.0,293,True,-2551.3333333333335,-2551.3333333333335,-2551.3333333333335
5,0,2442.8333333333335,1201.0,294,True,-2442.8333333333335,-2442.8333333333335,-2442.8333333333335
6,0,2660.333333333333,1596.0,299,True,-2660.333333333333,-2660.333333333333,-2660.333333333333
7,0,2586.6666666666665,1199.0,294,True,-2586.6666666666665,-2586.6666666666665,-2586.6666666666665
8,0,2386.833333333333,1373.0,298,True,-2386.833333333333,-2386.833333333333,-2386.833333333333
9,0,2688.6666666666665,2170.0,303,True,-2688.6666666666665,-2688.6666666666665,-2688.6666666666665
10,0,2714.0,1624.0,299,True,-2714.0,-2714.0,-2714.0
11,0,2789.0000000000005,1439.0,295,True,-2789.0000000000005,-2789.0000000000005,-2789.0000000000005
12,0,2664.0,1410.0,297,True,-2664.0,-2664.0,-2664.0
13,0,2563.166666666667,1519.0,296,True,-2563.166666666667,-2563.166666666667,-2563.166666666667
14,0,2873.0000000000005,1843.0,303,True,-2873.0000000000005,-2873.0000000000005,-2873.0000000000005
15,0,2932.0000000000005,2093.0,302,True,-2932.0000000000005,-2932.0000000000005,-2932.0000000000005
16,0,2618.3333333333335,1105.0,293,True,-2618.3333333333335,-2618.3333333333335,-2618.3333333333335
17,0,2479.5,1372.0,298,True,-2479.5,-2479.5,-2479.5
18,0,2780.833333333333,1766.0,295,True,-2780.833333333333,-2780.833333333333,-2780.833333333333
19,0,2591.5,1993.0,302,True,-2591.5,-2591.5,-2591.5
20,0,2638.5,1633.0,296,True,-2638.5,-2638.5,-2638.5
21,0,2525.3333333333335,1088.0,290,True,-2525.3333333333335,-2525.3333333333335,-2525.3333333333335
22,0,2710.1666666666665,2126.0,305,True,-2710.1666666666665,-2710.1666666666665,-2710.1666666666665
23,0,2811.166666666667,2527.0,305,True,-2811.166666666667,-2811.166666666667,-2811.166666666667
24,0,2620.8333333333335,1741.0,300,True,-2620.8333333333335,-2620.8333333333335,-2620.8333333333335
25,0,2451.833333333333,1275.0,294,True,-2451.833333333333,-2451.833333333333,-2451.833333333333
26,0,2705.5000000000005,2444.0,312,True,-2705.5000000000005,-2705.5000000000005,-2705.5000000000005
27,0,2396.0000000000005,1284.0,296,True,-2396.0000000000005,-2396.0000000000005,-2396.0000000000005
28,0,3012.8333333333335,2012.0,297,True,-3012.8333333333335,-3012.8333333333335,-3012.8333333333335
29,0,2570.1666666666665,1619.0,301,True,-2570.1666666666665,-2570.1666666666665,-2570.1666666666665
30,0,2750.333333333333,1441.0,298,True,-2750.333333333333,-2750.333333333333,-2750.333333333333
31,0,2824.0000000000005,2385.0,303,True,-2824.0000000000005,-2824.0000000000005,-2824.0000000000005
32,0,2735.3333333333335,2133.0,305,True,-2735.3333333333335,-2735.3333333333335,-2735.3333333333335
